郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用　　　　,"59,626","1,039","36,945,047",,,
100,中正區,2表燈營業用　　　　　　,"9,805","16,149","24,148,979",,,
100,中正區,3表燈小計　　　　　　　,**,"17,188","61,094,026",,,
100,中正區,4低壓綜合裝置非營業用　,＊,217,"22,486",,,
100,中正區,5低壓綜合需量非營業用　,677,"30,465","5,778,541",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,682","5,801,027",,,
100,中正區,7低壓綜合裝置營業用　　,27,"1,117","161,348",,,
100,中正區,8低壓綜合需量營業用　　,893,"39,159","10,624,073",,,
100,中正區,9低壓綜合營業用電小計　,**,"40,276","10,785,421",,,
100,中正區,10低壓綜合用電小計　　　,**,"70,958","16,586,448",,,
100,中正區,11低壓裝置電力　　　　　,253,"2,645","413,384",,,
100,中正區,12低壓需量電力　　　　　,6,107,"10,226",,,
100,中正區,13低壓電力小計　　　　　,**,"2,752","423,610",,,
100,中正區,14高壓電力　　　　　　　,298,"226,350","79,443,602",,,
100,中正區,15特高壓電力　　　　　　,＊,"18,040","9,973,800",,,
100,中正區,16高＆特高壓電力小計　　,**,"244,390","89,417,402",,,
100,中正區,17電力小計　　　　　　　,**,"247,142","89,841,012",,,
100,中正區,18綜合＆電力小計　　　　,**,"318,100","106,427,460",,,
100,中正區,19電燈＆綜合＆電力小計　,**,"335,288","167,521,486",,,
100,中正區,20臨時電燈　　　　　　　,29,0,"29,284",,,
100,中正區,21臨時電力　　　　　　　,21,"1,141","175,620",,,
100,中正區,22臨時用電小計　　　　　,**,"1,141","204,904",,,
100,中正區,23總計（含臨時用電）　　,**,"335,288","167,726,390",,,
100,中正區,24表燈合計　　　　　　　,**,"17,188","61,123,310",,,
100,中正區,25綜合＆電力合計　　　　,**,"318,100","106,603,080",,,
103,大同區,1表燈非營業用　　　　,"52,515",378,"26,212,048",,,
103,大同區,2表燈營業用　　　　　　,"10,566","7,306","16,072,112",,,
103,大同區,3表燈小計　　　　　　　,**,"7,684","42,284,160",,,
103,大同區,4低壓綜合裝置非營業用　,＊,0,0,,,
103,大同區,5低壓綜合需量非營業用　,421,"16,074","2,817,595",,,
103,大同區,6低壓綜合非營業用電小計,**,"16,074","2,817,595",,,
103,大同區,7低壓綜合裝置營業用　　,19,883,"105,537",,,
103,大同區,8低壓綜合需量營業用　　,460,"19,636","5,301,963",,,
103,大同區,9低壓綜合營業用電小計　,**,"20,519","5,407,500",,,
103,大同區,10低壓綜合用電小計　　　,**,"36,593","8,225,095",,,
103,大同區,11低壓裝置電力　　　　　,268,"2,396","287,708",,,
103,大同區,12低壓需量電力　　　　　,25,835,"154,933",,,
103,大同區,13低壓電力小計　　　　　,**,"3,231","442,641",,,
103,大同區,14高壓電力　　　　　　　,87,"46,410","16,081,381",,,
103,大同區,15特高壓電力　　　　　　,＊,"24,151","13,988,400",,,
103,大同區,16高＆特高壓電力小計　　,**,"70,561","30,069,781",,,
103,大同區,17電力小計　　　　　　　,**,"73,792","30,512,422",,,
103,大同區,18綜合＆電力小計　　　　,**,"110,385","38,737,517",,,
103,大同區,19電燈＆綜合＆電力小計　,**,"118,069","81,021,677",,,
103,大同區,20臨時電燈　　　　　　　,24,0,"14,655",,,
103,大同區,21臨時電力　　　　　　　,19,980,"193,782",,,
103,大同區,22臨時用電小計　　　　　,**,980,"208,437",,,
103,大同區,23總計（含臨時用電）　　,**,"118,069","81,230,114",,,
103,大同區,24表燈合計　　　　　　　,**,"7,684","42,298,815",,,
103,大同區,25綜合＆電力合計　　　　,**,"110,385","38,931,299",,,
104,中山區,1表燈非營業用　　　　,"109,812","1,333","59,376,787",,,
104,中山區,2表燈營業用　　　　　　,"20,810","36,002","52,297,436",,,
104,中山區,3表燈小計　　　　　　　,**,"37,335","111,674,223",,,
104,中山區,4低壓綜合裝置非營業用　,＊,130,"14,856",,,
104,中山區,5低壓綜合需量非營業用　,"1,194","46,827","9,157,122",,,
104,中山區,6低壓綜合非營業用電小計,**,"46,957","9,171,978",,,
104,中山區,7低壓綜合裝置營業用　　,45,"1,908","280,647",,,
104,中山區,8低壓綜合需量營業用　　,"1,566","71,770","19,922,362",,,
104,中山區,9低壓綜合營業用電小計　,**,"73,678","20,203,009",,,
104,中山區,10低壓綜合用電小計　　　,**,"120,635","29,374,987",,,
104,中山區,11低壓裝置電力　　　　　,237,"2,700","335,208",,,
104,中山區,12低壓需量電力　　　　　,9,724,"145,822",,,
104,中山區,13低壓電力小計　　　　　,**,"3,424","481,030",,,
104,中山區,14高壓電力　　　　　　　,321,"207,962","69,768,296",,,
104,中山區,15特高壓電力　　　　　　,＊,"27,700","8,675,200",,,
104,中山區,16高＆特高壓電力小計　　,**,"235,662","78,443,496",,,
104,中山區,17電力小計　　　　　　　,**,"239,086","78,924,526",,,
104,中山區,18綜合＆電力小計　　　　,**,"359,721","108,299,513",,,
