郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用,"60,045","1,065","24,956,859",,,
100,中正區,2表燈營業用,"9,894","17,134","19,045,982",,,
100,中正區,3表燈小計,**,"18,199","44,002,841",,,
100,中正區,4低壓綜合裝置非營業用,＊,217,"19,745",,,
100,中正區,5低壓綜合需量非營業用,682,"29,909","4,747,196",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,126","4,766,941",,,
100,中正區,7低壓綜合裝置營業用,27,"1,117","134,186",,,
100,中正區,8低壓綜合需量營業用,912,"39,842","9,146,049",,,
100,中正區,9低壓綜合營業用電小計,**,"40,959","9,280,235",,,
100,中正區,10低壓綜合用電小計,**,"71,085","14,047,176",,,
100,中正區,11低壓裝置電力,251,"2,627","308,197",,,
100,中正區,12低壓需量電力,6,107,"9,430",,,
100,中正區,13低壓電力小計,**,"2,734","317,627",,,
100,中正區,14高壓電力,296,"224,419","78,767,593",,,
100,中正區,15特高壓電力,＊,"18,040","9,538,600",,,
100,中正區,16高＆特高壓電力小計,**,"242,459","88,306,193",,,
100,中正區,17電力小計,**,"245,193","88,623,820",,,
100,中正區,18綜合＆電力小計,**,"316,278","102,670,996",,,
100,中正區,19電燈＆綜合＆電力小計,**,"334,477","146,673,837",,,
100,中正區,20臨時電燈,32,0,"58,782",,,
100,中正區,21臨時電力,22,"1,466","153,251",,,
100,中正區,22臨時用電小計,**,"1,466","212,033",,,
100,中正區,23總計（含臨時用電）,**,"334,477","146,885,870",,,
100,中正區,24表燈合計,**,"18,199","44,061,623",,,
100,中正區,25綜合＆電力合計,**,"316,278","102,824,247",,,
103,大同區,1表燈非營業用,"52,702",354,"16,678,514",,,
103,大同區,2表燈營業用,"10,610","7,922","12,355,354",,,
103,大同區,3表燈小計,**,"8,276","29,033,868",,,
103,大同區,4低壓綜合裝置非營業用,＊,0,0,,,
103,大同區,5低壓綜合需量非營業用,423,"15,785","2,452,022",,,
103,大同區,6低壓綜合非營業用電小計,**,"15,785","2,452,022",,,
103,大同區,7低壓綜合裝置營業用,17,745,"91,576",,,
103,大同區,8低壓綜合需量營業用,465,"19,668","4,442,638",,,
103,大同區,9低壓綜合營業用電小計,**,"20,413","4,534,214",,,
103,大同區,10低壓綜合用電小計,**,"36,198","6,986,236",,,
103,大同區,11低壓裝置電力,263,"2,376","190,608",,,
103,大同區,12低壓需量電力,25,820,"135,884",,,
103,大同區,13低壓電力小計,**,"3,196","326,492",,,
103,大同區,14高壓電力,86,"45,329","15,592,645",,,
103,大同區,15特高壓電力,＊,"25,608","13,113,600",,,
103,大同區,16高＆特高壓電力小計,**,"70,937","28,706,245",,,
103,大同區,17電力小計,**,"74,133","29,032,737",,,
103,大同區,18綜合＆電力小計,**,"110,331","36,018,973",,,
103,大同區,19電燈＆綜合＆電力小計,**,"118,607","65,052,841",,,
103,大同區,20臨時電燈,20,0,"32,855",,,
103,大同區,21臨時電力,16,708,"127,336",,,
103,大同區,22臨時用電小計,**,708,"160,191",,,
103,大同區,23總計（含臨時用電）,**,"118,607","65,213,032",,,
103,大同區,24表燈合計,**,"8,276","29,066,723",,,
103,大同區,25綜合＆電力合計,**,"110,331","36,146,309",,,
104,中山區,1表燈非營業用,"110,924","1,436","38,290,006",,,
104,中山區,2表燈營業用,"20,955","38,654","40,905,468",,,
104,中山區,3表燈小計,**,"40,090","79,195,474",,,
104,中山區,4低壓綜合裝置非營業用,＊,130,"10,390",,,
104,中山區,5低壓綜合需量非營業用,"1,217","47,225","7,793,874",,,
104,中山區,6低壓綜合非營業用電小計,**,"47,355","7,804,264",,,
104,中山區,7低壓綜合裝置營業用,42,"1,753","219,398",,,
104,中山區,8低壓綜合需量營業用,"1,568","71,602","17,250,925",,,
104,中山區,9低壓綜合營業用電小計,**,"73,355","17,470,323",,,
104,中山區,10低壓綜合用電小計,**,"120,710","25,274,587",,,
104,中山區,11低壓裝置電力,228,"2,614","242,281",,,
104,中山區,12低壓需量電力,9,724,"120,050",,,
104,中山區,13低壓電力小計,**,"3,338","362,331",,,
104,中山區,14高壓電力,320,"212,032","70,662,327",,,
104,中山區,15特高壓電力,＊,"24,200","8,562,400",,,
104,中山區,16高＆特高壓電力小計,**,"236,232","79,224,727",,,
104,中山區,17電力小計,**,"239,570","79,587,058",,,
104,中山區,18綜合＆電力小計,**,"360,280","104,861,645",,,
104,中山區,19電燈＆綜合＆電力小計,**,"400,370","184,057,119",,,
104,中山區,20臨時電燈,35,0,"50,399",,,
104,中山區,21臨時電力,30,"1,779","184,599",,,
104,中山區,22臨時用電小計,**,"1,779","234,998",,,
104,中山區,23總計（含臨時用電）,**,"400,370","184,292,117",,,
104,中山區,24表燈合計,**,"40,090","79,245,873",,,
104,中山區,25綜合＆電力合計,**,"360,280","105,046,244",,,
105,松山區,1表燈非營業用,"72,460","1,167","37,085,754",,,
105,松山區,2表燈營業用,"11,626","19,005","26,767,755",,,
105,松山區,3表燈小計,**,"20,172","63,853,509",,,
105,松山區,4低壓綜合裝置非營業用,＊,137,"5,646",,,
105,松山區,5低壓綜合需量非營業用,550,"21,640","4,015,960",,,
105,松山區,6低壓綜合非營業用電小計,**,"21,777","4,021,606",,,
105,松山區,7低壓綜合裝置營業用,＊,154,"25,116",,,
105,松山區,8低壓綜合需量營業用,820,"40,208","9,749,324",,,
105,松山區,9低壓綜合營業用電小計,**,"40,362","9,774,440",,,
105,松山區,10低壓綜合用電小計,**,"62,139","13,796,046",,,
105,松山區,11低壓裝置電力,63,569,"50,118",,,
105,松山區,12低壓需量電力,12,652,"153,356",,,
105,松山區,13低壓電力小計,**,"1,221","203,474",,,
105,松山區,14高壓電力,160,"133,092","44,655,513",,,
105,松山區,15特高壓電力,＊,"8,600","4,336,000",,,
105,松山區,16高＆特高壓電力小計,**,"141,692","48,991,513",,,
105,松山區,17電力小計,**,"142,913","49,194,987",,,
105,松山區,18綜合＆電力小計,**,"205,052","62,991,033",,,
105,松山區,19電燈＆綜合＆電力小計,**,"225,224","126,844,542",,,
105,松山區,20臨時電燈,11,0,"15,114",,,
105,松山區,21臨時電力,16,868,"124,080",,,
105,松山區,22臨時用電小計,**,868,"139,194",,,
105,松山區,23總計（含臨時用電）,**,"225,224","126,983,736",,,
105,松山區,24表燈合計,**,"20,172","63,868,623",,,
105,松山區,25綜合＆電力合計,**,"205,052","63,115,113",,,
106,大安區,1表燈非營業用,"110,610","1,698","41,175,834",,,
106,大安區,2表燈營業用,"17,413","39,720","29,257,955",,,
106,大安區,3表燈小計,**,"41,418","70,433,789",,,
106,大安區,4低壓綜合裝置非營業用,6,235,"16,032",,,
106,大安區,5低壓綜合需量非營業用,"1,067","40,173","7,275,891",,,
106,大安區,6低壓綜合非營業用電小計,**,"40,408","7,291,923",,,
106,大安區,7低壓綜合裝置營業用,11,398,"94,974",,,
106,大安區,8低壓綜合需量營業用,"1,443","64,675","15,811,674",,,
106,大安區,9低壓綜合營業用電小計,**,"65,073","15,906,648",,,
106,大安區,10低壓綜合用電小計,**,"105,481","23,198,571",,,
106,大安區,11低壓裝置電力,130,"1,509","196,233",,,
106,大安區,12低壓需量電力,＊,296,"53,395",,,
106,大安區,13低壓電力小計,**,"1,805","249,628",,,
106,大安區,14高壓電力,280,"207,363","73,324,540",,,
106,大安區,15特高壓電力,＊,"23,095","9,489,663",,,
106,大安區,16高＆特高壓電力小計,**,"230,458","82,814,203",,,
106,大安區,17電力小計,**,"232,263","83,063,831",,,
106,大安區,18綜合＆電力小計,**,"337,744","106,262,402",,,
106,大安區,19電燈＆綜合＆電力小計,**,"379,162","176,696,191",,,
106,大安區,20臨時電燈,18,0,"48,752",,,
106,大安區,21臨時電力,28,"2,483","366,568",,,
106,大安區,22臨時用電小計,**,"2,483","415,320",,,
106,大安區,23總計（含臨時用電）,**,"379,162","177,111,511",,,
106,大安區,24表燈合計,**,"41,418","70,482,541",,,
106,大安區,25綜合＆電力合計,**,"337,744","106,628,970",,,
108,萬華區,1表燈非營業用,"76,843","1,004","25,791,078",,,
108,萬華區,2表燈營業用,"9,204","14,726","11,484,739",,,
108,萬華區,3表燈小計,**,"15,730","37,275,817",,,
108,萬華區,4低壓綜合裝置非營業用,＊,0,0,,,
108,萬華區,5低壓綜合需量非營業用,330,"11,210","1,833,022",,,
108,萬華區,6低壓綜合非營業用電小計,**,"11,210","1,833,022",,,
108,萬華區,7低壓綜合裝置營業用,36,"1,646","280,892",,,
108,萬華區,8低壓綜合需量營業用,712,"23,838","6,222,915",,,
108,萬華區,9低壓綜合營業用電小計,**,"25,484","6,503,807",,,
108,萬華區,10低壓綜合用電小計,**,"36,694","8,336,829",,,
108,萬華區,11低壓裝置電力,302,"3,167","391,602",,,
108,萬華區,12低壓需量電力,39,"1,326","203,136",,,
108,萬華區,13低壓電力小計,**,"4,493","594,738",,,
108,萬華區,14高壓電力,109,"45,594","15,409,822",,,
108,萬華區,15特高壓電力,＊,0,0,,,
108,萬華區,16高＆特高壓電力小計,**,"45,594","15,409,822",,,
108,萬華區,17電力小計,**,"50,087","16,004,560",,,
108,萬華區,18綜合＆電力小計,**,"86,781","24,341,389",,,
108,萬華區,19電燈＆綜合＆電力小計,**,"102,511","61,617,206",,,
108,萬華區,20臨時電燈,18,0,"26,033",,,
108,萬華區,21臨時電力,14,895,"142,800",,,
108,萬華區,22臨時用電小計,**,895,"168,833",,,
108,萬華區,23總計（含臨時用電）,**,"102,511","61,786,039",,,
108,萬華區,24表燈合計,**,"15,730","37,301,850",,,
108,萬華區,25綜合＆電力合計,**,"86,781","24,484,189",,,
110,信義區,1表燈非營業用,"84,252",779,"23,822,021",,,
110,信義區,2表燈營業用,"10,269","12,862","11,904,032",,,
110,信義區,3表燈小計,**,"13,641","35,726,053",,,
110,信義區,4低壓綜合裝置非營業用,＊,138,"4,440",,,
110,信義區,5低壓綜合需量非營業用,553,"25,821","5,012,328",,,
110,信義區,6低壓綜合非營業用電小計,**,"25,959","5,016,768",,,
110,信義區,7低壓綜合裝置營業用,＊,28,"11,192",,,
110,信義區,8低壓綜合需量營業用,546,"24,485","6,229,591",,,
110,信義區,9低壓綜合營業用電小計,**,"24,513","6,240,783",,,
110,信義區,10低壓綜合用電小計,**,"50,472","11,257,551",,,
110,信義區,11低壓裝置電力,24,241,"38,016",,,
110,信義區,12低壓需量電力,6,705,"165,234",,,
110,信義區,13低壓電力小計,**,946,"203,250",,,
110,信義區,14高壓電力,143,"202,408","72,161,804",,,
110,信義區,15特高壓電力,＊,"7,825","3,329,600",,,
110,信義區,16高＆特高壓電力小計,**,"210,233","75,491,404",,,
110,信義區,17電力小計,**,"211,179","75,694,654",,,
110,信義區,18綜合＆電力小計,**,"261,651","86,952,205",,,
110,信義區,19電燈＆綜合＆電力小計,**,"275,292","122,678,258",,,
110,信義區,20臨時電燈,11,0,"13,964",,,
110,信義區,21臨時電力,23,"3,133","521,816",,,
110,信義區,22臨時用電小計,**,"3,133","535,780",,,
110,信義區,23總計（含臨時用電）,**,"275,292","123,214,038",,,
110,信義區,24表燈合計,**,"13,641","35,740,017",,,
110,信義區,25綜合＆電力合計,**,"261,651","87,474,021",,,
111,士林區,1表燈非營業用,"106,770","1,956","40,312,793",,,
111,士林區,2表燈營業用,"9,652","17,626","12,666,561",,,
111,士林區,3表燈小計,**,"19,582","52,979,354",,,
111,士林區,4低壓綜合裝置非營業用,＊,0,0,,,
111,士林區,5低壓綜合需量非營業用,642,"23,723","3,768,405",,,
111,士林區,6低壓綜合非營業用電小計,**,"23,723","3,768,405",,,
111,士林區,7低壓綜合裝置營業用,＊,47,"5,931",,,
111,士林區,8低壓綜合需量營業用,823,"30,489","7,151,268",,,
111,士林區,9低壓綜合營業用電小計,**,"30,536","7,157,199",,,
111,士林區,10低壓綜合用電小計,**,"54,259","10,925,604",,,
111,士林區,11低壓裝置電力,114,"1,489","181,263",,,
111,士林區,12低壓需量電力,120,"5,620","938,833",,,
111,士林區,13低壓電力小計,**,"7,109","1,120,096",,,
111,士林區,14高壓電力,138,"96,347","32,107,031",,,
111,士林區,15特高壓電力,＊,0,0,,,
111,士林區,16高＆特高壓電力小計,**,"96,347","32,107,031",,,
111,士林區,17電力小計,**,"103,456","33,227,127",,,
111,士林區,18綜合＆電力小計,**,"157,715","44,152,731",,,
111,士林區,19電燈＆綜合＆電力小計,**,"177,297","97,132,085",,,
111,士林區,20臨時電燈,63,0,"168,641",,,
111,士林區,21臨時電力,21,"1,448","251,887",,,
111,士林區,22臨時用電小計,**,"1,448","420,528",,,
111,士林區,23總計（含臨時用電）,**,"177,297","97,552,613",,,
111,士林區,24表燈合計,**,"19,582","53,147,995",,,
111,士林區,25綜合＆電力合計,**,"157,715","44,404,618",,,
112,北投區,1表燈非營業用,"93,628",908,"48,681,893",,,
112,北投區,2表燈營業用,"5,929","9,165","15,038,234",,,
112,北投區,3表燈小計,**,"10,073","63,720,127",,,
112,北投區,4低壓綜合裝置非營業用,＊,0,0,,,
112,北投區,5低壓綜合需量非營業用,625,"20,394","3,113,588",,,
112,北投區,6低壓綜合非營業用電小計,**,"20,394","3,113,588",,,
112,北投區,7低壓綜合裝置營業用,＊,70,"2,700",,,
112,北投區,8低壓綜合需量營業用,424,"20,893","5,336,657",,,
112,北投區,9低壓綜合營業用電小計,**,"20,963","5,339,357",,,
112,北投區,10低壓綜合用電小計,**,"41,357","8,452,945",,,
112,北投區,11低壓裝置電力,66,801,"106,941",,,
112,北投區,12低壓需量電力,95,"5,138","784,907",,,
112,北投區,13低壓電力小計,**,"5,939","891,848",,,
112,北投區,14高壓電力,122,"95,828","40,251,996",,,
112,北投區,15特高壓電力,＊,"10,537","5,017,306",,,
112,北投區,16高＆特高壓電力小計,**,"106,365","45,269,302",,,
112,北投區,17電力小計,**,"112,304","46,161,150",,,
112,北投區,18綜合＆電力小計,**,"153,661","54,614,095",,,
112,北投區,19電燈＆綜合＆電力小計,**,"163,734","118,334,222",,,
112,北投區,20臨時電燈,45,0,"33,798",,,
112,北投區,21臨時電力,46,"2,207","372,262",,,
112,北投區,22臨時用電小計,**,"2,207","406,060",,,
112,北投區,23總計（含臨時用電）,**,"163,734","118,740,282",,,
112,北投區,24表燈合計,**,"10,073","63,753,925",,,
112,北投區,25綜合＆電力合計,**,"153,661","54,986,357",,,
114,內湖區,1表燈非營業用,"103,057",501,"37,815,894",,,
114,內湖區,2表燈營業用,"12,984","19,798","12,843,757",,,
114,內湖區,3表燈小計,**,"20,299","50,659,651",,,
114,內湖區,4低壓綜合裝置非營業用,＊,0,0,,,
114,內湖區,5低壓綜合需量非營業用,"1,142","50,346","9,002,863",,,
114,內湖區,6低壓綜合非營業用電小計,**,"50,346","9,002,863",,,
114,內湖區,7低壓綜合裝置營業用,＊,0,0,,,
114,內湖區,8低壓綜合需量營業用,"1,748","109,404","26,935,177",,,
114,內湖區,9低壓綜合營業用電小計,**,"109,404","26,935,177",,,
114,內湖區,10低壓綜合用電小計,**,"159,750","35,938,040",,,
114,內湖區,11低壓裝置電力,22,180,"9,145",,,
114,內湖區,12低壓需量電力,345,"12,941","2,822,109",,,
114,內湖區,13低壓電力小計,**,"13,121","2,831,254",,,
114,內湖區,14高壓電力,162,"135,601","57,075,569",,,
114,內湖區,15特高壓電力,＊,"11,404","4,875,600",,,
114,內湖區,16高＆特高壓電力小計,**,"147,005","61,951,169",,,
114,內湖區,17電力小計,**,"160,126","64,782,423",,,
114,內湖區,18綜合＆電力小計,**,"319,876","100,720,463",,,
114,內湖區,19電燈＆綜合＆電力小計,**,"340,175","151,380,114",,,
114,內湖區,20臨時電燈,24,0,"7,178",,,
114,內湖區,21臨時電力,57,"4,769","728,191",,,
114,內湖區,22臨時用電小計,**,"4,769","735,369",,,
114,內湖區,23總計（含臨時用電）,**,"340,175","152,115,483",,,
114,內湖區,24表燈合計,**,"20,299","50,666,829",,,
114,內湖區,25綜合＆電力合計,**,"319,876","101,448,654",,,
115,南港區,1表燈非營業用,"44,015",65,"8,274,295",,,
115,南港區,2表燈營業用,"4,358","5,787","3,437,709",,,
115,南港區,3表燈小計,**,"5,852","11,712,004",,,
115,南港區,4低壓綜合裝置非營業用,＊,0,0,,,
115,南港區,5低壓綜合需量非營業用,357,"13,471","2,093,321",,,
115,南港區,6低壓綜合非營業用電小計,**,"13,471","2,093,321",,,
115,南港區,7低壓綜合裝置營業用,＊,0,0,,,
115,南港區,8低壓綜合需量營業用,250,"13,100","3,023,163",,,
115,南港區,9低壓綜合營業用電小計,**,"13,100","3,023,163",,,
115,南港區,10低壓綜合用電小計,**,"26,571","5,116,484",,,
115,南港區,11低壓裝置電力,31,543,"59,433",,,
115,南港區,12低壓需量電力,153,"4,804","627,378",,,
115,南港區,13低壓電力小計,**,"5,347","686,811",,,
115,南港區,14高壓電力,85,"99,702","36,739,564",,,
115,南港區,15特高壓電力,＊,"39,885","18,142,918",,,
115,南港區,16高＆特高壓電力小計,**,"139,587","54,882,482",,,
115,南港區,17電力小計,**,"144,934","55,569,293",,,
115,南港區,18綜合＆電力小計,**,"171,505","60,685,777",,,
115,南港區,19電燈＆綜合＆電力小計,**,"177,357","72,397,781",,,
115,南港區,20臨時電燈,12,0,"1,494",,,
115,南港區,21臨時電力,14,"1,479","325,544",,,
115,南港區,22臨時用電小計,**,"1,479","327,038",,,
115,南港區,23總計（含臨時用電）,**,"177,357","72,724,819",,,
115,南港區,24表燈合計,**,"5,852","11,713,498",,,
115,南港區,25綜合＆電力合計,**,"171,505","61,011,321",,,
116,文山區,1表燈非營業用,"99,517",322,"30,934,203",,,
116,文山區,2表燈營業用,"5,005","8,906","8,006,561",,,
116,文山區,3表燈小計,**,"9,228","38,940,764",,,
116,文山區,4低壓綜合裝置非營業用,＊,0,0,,,
116,文山區,5低壓綜合需量非營業用,789,"24,788","3,587,030",,,
116,文山區,6低壓綜合非營業用電小計,**,"24,788","3,587,030",,,
116,文山區,7低壓綜合裝置營業用,＊,74,"8,799",,,
116,文山區,8低壓綜合需量營業用,310,"10,445","2,881,663",,,
116,文山區,9低壓綜合營業用電小計,**,"10,519","2,890,462",,,
116,文山區,10低壓綜合用電小計,**,"35,307","6,477,492",,,
116,文山區,11低壓裝置電力,29,300,"77,952",,,
116,文山區,12低壓需量電力,26,"1,043","164,680",,,
116,文山區,13低壓電力小計,**,"1,343","242,632",,,
116,文山區,14高壓電力,97,"44,995","13,828,372",,,
116,文山區,15特高壓電力,＊,"24,796","10,514,296",,,
116,文山區,16高＆特高壓電力小計,**,"69,791","24,342,668",,,
116,文山區,17電力小計,**,"71,134","24,585,300",,,
116,文山區,18綜合＆電力小計,**,"106,441","31,062,792",,,
116,文山區,19電燈＆綜合＆電力小計,**,"115,669","70,003,556",,,
116,文山區,20臨時電燈,15,0,"4,468",,,
116,文山區,21臨時電力,26,"1,927","359,338",,,
116,文山區,22臨時用電小計,**,"1,927","363,806",,,
116,文山區,23總計（含臨時用電）,**,"115,669","70,367,362",,,
116,文山區,24表燈合計,**,"9,228","38,945,232",,,
116,文山區,25綜合＆電力合計,**,"106,441","31,422,130",,,
200,仁愛區,1表燈非營業用,"22,687",427,"6,817,460",,,
200,仁愛區,2表燈營業用,"3,221","5,287","4,042,257",,,
200,仁愛區,3表燈小計,**,"5,714","10,859,717",,,
200,仁愛區,4低壓綜合裝置非營業用,＊,0,0,,,
200,仁愛區,5低壓綜合需量非營業用,137,"3,767","483,763",,,
200,仁愛區,6低壓綜合非營業用電小計,**,"3,767","483,763",,,
200,仁愛區,7低壓綜合裝置營業用,＊,106,"12,287",,,
200,仁愛區,8低壓綜合需量營業用,323,"9,858","2,549,267",,,
200,仁愛區,9低壓綜合營業用電小計,**,"9,964","2,561,554",,,
200,仁愛區,10低壓綜合用電小計,**,"13,731","3,045,317",,,
200,仁愛區,11低壓裝置電力,60,533,"77,570",,,
200,仁愛區,12低壓需量電力,14,468,"139,254",,,
200,仁愛區,13低壓電力小計,**,"1,001","216,824",,,
200,仁愛區,14高壓電力,24,"7,360","2,342,178",,,
200,仁愛區,15特高壓電力,＊,0,0,,,
200,仁愛區,16高＆特高壓電力小計,**,"7,360","2,342,178",,,
200,仁愛區,17電力小計,**,"8,361","2,559,002",,,
200,仁愛區,18綜合＆電力小計,**,"22,092","5,604,319",,,
200,仁愛區,19電燈＆綜合＆電力小計,**,"27,806","16,464,036",,,
200,仁愛區,20臨時電燈,8,0,"15,543",,,
200,仁愛區,21臨時電力,＊,0,0,,,
200,仁愛區,22臨時用電小計,**,0,"15,543",,,
200,仁愛區,23總計（含臨時用電）,**,"27,806","16,479,579",,,
200,仁愛區,24表燈合計,**,"5,714","10,875,260",,,
200,仁愛區,25綜合＆電力合計,**,"22,092","5,604,319",,,
201,信義區,1表燈非營業用,"25,001",255,"697,029",,,
201,信義區,2表燈營業用,"1,152","1,805","705,919",,,
201,信義區,3表燈小計,**,"2,060","1,402,948",,,
201,信義區,4低壓綜合裝置非營業用,＊,0,0,,,
201,信義區,5低壓綜合需量非營業用,124,"4,699","657,820",,,
201,信義區,6低壓綜合非營業用電小計,**,"4,699","657,820",,,
201,信義區,7低壓綜合裝置營業用,＊,68,"17,400",,,
201,信義區,8低壓綜合需量營業用,48,"3,079","713,205",,,
201,信義區,9低壓綜合營業用電小計,**,"3,147","730,605",,,
201,信義區,10低壓綜合用電小計,**,"7,846","1,388,425",,,
201,信義區,11低壓裝置電力,＊,103,"36,784",,,
201,信義區,12低壓需量電力,21,906,"144,425",,,
201,信義區,13低壓電力小計,**,"1,009","181,209",,,
201,信義區,14高壓電力,33,"12,730","4,161,029",,,
201,信義區,15特高壓電力,＊,0,"4,200",,,
201,信義區,16高＆特高壓電力小計,**,"12,730","4,165,229",,,
201,信義區,17電力小計,**,"13,739","4,346,438",,,
201,信義區,18綜合＆電力小計,**,"21,585","5,734,863",,,
201,信義區,19電燈＆綜合＆電力小計,**,"23,645","7,137,811",,,
201,信義區,20臨時電燈,8,0,0,,,
201,信義區,21臨時電力,＊,356,"92,714",,,
201,信義區,22臨時用電小計,**,356,"92,714",,,
201,信義區,23總計（含臨時用電）,**,"23,645","7,230,525",,,
201,信義區,24表燈合計,**,"2,060","1,402,948",,,
201,信義區,25綜合＆電力合計,**,"21,585","5,827,577",,,
202,中正區,1表燈非營業用,"31,029",234,"91,362",,,
202,中正區,2表燈營業用,"2,066","3,102","1,020,699",,,
202,中正區,3表燈小計,**,"3,336","1,112,061",,,
202,中正區,4低壓綜合裝置非營業用,＊,43,"5,760",,,
