郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,472","1,290","18,881,812",
100,中正區,2表燈營業用,"9,925","19,902","12,103,394",
100,中正區,3表燈小計,**,"21,192","30,985,206",
100,中正區,4低壓綜合裝置非營業用,*,217,"17,400",
100,中正區,5低壓綜合需量非營業用,698,"29,971","4,101,359",
100,中正區,6低壓綜合非營業用電小計,**,"30,188","4,118,759",
100,中正區,7低壓綜合裝置營業用,25,"1,076","84,998",
100,中正區,8低壓綜合需量營業用,908,"38,925","6,830,431",
100,中正區,9低壓綜合營業用電小計,**,"40,001","6,915,429",
100,中正區,10低壓綜合用電小計,**,"70,189","11,034,188",
100,中正區,11低壓裝置電力,239,"2,509","145,192",
100,中正區,12低壓需量電力,6,107,"7,903",
100,中正區,13低壓電力小計,**,"2,616","153,095",
100,中正區,14高壓電力,299,"219,039","54,929,910",
100,中正區,15特高壓電力,*,"16,940","8,394,300",
100,中正區,16高＆特高壓電力小計,**,"235,979","63,324,210",
100,中正區,17電力小計,**,"238,595","63,477,305",
100,中正區,18綜合＆電力小計,**,"308,784","74,511,493",
100,中正區,19電燈＆綜合＆電力小計,**,"329,976","105,496,699",
100,中正區,20臨時電燈,31,0,"59,821",
100,中正區,21臨時電力,28,"1,861","182,580",
100,中正區,22臨時用電小計,**,"1,861","242,401",
100,中正區,23總計（含臨時用電）,**,"329,976","105,739,100",
100,中正區,24表燈合計,**,"21,192","31,045,027",
100,中正區,25綜合＆電力合計,**,"308,784","74,694,073",
103,大同區,1表燈非營業用,"53,150",326,"15,438,279",
103,大同區,2表燈營業用,"10,620","9,603","8,975,487",
103,大同區,3表燈小計,**,"9,929","24,413,766",
103,大同區,4低壓綜合裝置非營業用,*,0,0,
103,大同區,5低壓綜合需量非營業用,455,"16,844","2,086,154",
103,大同區,6低壓綜合非營業用電小計,**,"16,844","2,086,154",
103,大同區,7低壓綜合裝置營業用,16,720,"59,203",
103,大同區,8低壓綜合需量營業用,459,"19,395","3,454,225",
103,大同區,9低壓綜合營業用電小計,**,"20,115","3,513,428",
103,大同區,10低壓綜合用電小計,**,"36,959","5,599,582",
103,大同區,11低壓裝置電力,254,"2,278","98,640",
103,大同區,12低壓需量電力,25,805,"71,754",
103,大同區,13低壓電力小計,**,"3,083","170,394",
103,大同區,14高壓電力,86,"45,061","11,290,954",
103,大同區,15特高壓電力,*,"23,771","11,703,600",
103,大同區,16高＆特高壓電力小計,**,"68,832","22,994,554",
103,大同區,17電力小計,**,"71,915","23,164,948",
