郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,
105,松山區,5低壓綜合需量非營業用　,545 ,"21,511 ","3,779,387 ",,
105,松山區,6低壓綜合非營業用電小計,**,"21,648 ","3,784,394 ",,
105,松山區,7低壓綜合裝置營業用　　,＊,154 ,"26,893 ",,
105,松山區,8低壓綜合需量營業用　　,819 ,"41,195 ","9,493,975 ",,
105,松山區,9低壓綜合營業用電小計　,**,"41,349 ","9,520,868 ",,
105,松山區,10低壓綜合用電小計　　　,**,"62,997 ","13,305,262 ",,
105,松山區,11低壓裝置電力　　　　　,66 ,615 ,"51,733 ",,
105,松山區,12低壓需量電力　　　　　,15 ,728 ,"139,993 ",,
105,松山區,13低壓電力小計　　　　　,**,"1,343 ","191,726 ",,
105,松山區,14高壓電力　　　　　　　,160 ,"133,982 ","46,296,426 ",,
105,松山區,15特高壓電力　　　　　　,＊,"8,600 ","5,478,400 ",,
105,松山區,16高＆特高壓電力小計　　,**,"142,582 ","51,774,826 ",,
105,松山區,17電力小計　　　　　　　,**,"143,925 ","51,966,552 ",,
105,松山區,18綜合＆電力小計　　　　,**,"206,922 ","65,271,814 ",,
105,松山區,19電燈＆綜合＆電力小計　,**,"224,928 ","125,531,258 ",,
105,松山區,20臨時電燈　　　　　　　,13 ,0 ,"39,742 ",,
105,松山區,21臨時電力　　　　　　　,18 ,922 ,"145,947 ",,
105,松山區,22臨時用電小計　　　　　,**,922 ,"185,689 ",,
105,松山區,23總計（含臨時用電）　　,**,"224,928 ","125,716,947 ",,
105,松山區,24表燈合計　　　　　　　,**,"18,006 ","60,299,186 ",,
105,松山區,25綜合＆電力合計　　　　,**,"206,922 ","65,417,761 ",,
106,大安區,1表燈非營業用　　　　,"110,719 ","1,433 ","38,715,855 ",,
106,大安區,2表燈營業用　　　　　　,"17,173 ","36,323 ","27,755,764 ",,
106,大安區,3表燈小計　　　　　　　,**,"37,756 ","66,471,619 ",,
106,大安區,4低壓綜合裝置非營業用　,6 ,235 ,"17,371 ",,
106,大安區,5低壓綜合需量非營業用　,"1,068 ","40,850 ","6,948,265 ",,
106,大安區,6低壓綜合非營業用電小計,**,"41,085 ","6,965,636 ",,
106,大安區,7低壓綜合裝置營業用　　,11 ,398 ,"91,172 ",,
106,大安區,8低壓綜合需量營業用　　,"1,427 ","64,214 ","15,113,490 ",,
106,大安區,9低壓綜合營業用電小計　,**,"64,612 ","15,204,662 ",,
106,大安區,10低壓綜合用電小計　　　,**,"105,697 ","22,170,298 ",,
106,大安區,11低壓裝置電力　　　　　,133 ,"1,520 ","192,463 ",,
106,大安區,12低壓需量電力　　　　　,＊,296 ,"49,639 ",,
106,大安區,13低壓電力小計　　　　　,**,"1,816 ","242,102 ",,
106,大安區,14高壓電力　　　　　　　,281 ,"210,398 ","75,659,550 ",,
106,大安區,15特高壓電力　　　　　　,＊,"22,699 ","9,896,494 ",,
106,大安區,16高＆特高壓電力小計　　,**,"233,097 ","85,556,044 ",,
106,大安區,17電力小計　　　　　　　,**,"234,913 ","85,798,146 ",,
106,大安區,18綜合＆電力小計　　　　,**,"340,610 ","107,968,444 ",,
106,大安區,19電燈＆綜合＆電力小計　,**,"378,366 ","174,440,063 ",,
106,大安區,20臨時電燈　　　　　　　,26 ,0 ,"11,504 ",,
