郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,300 ","1,273 ","20,281,787 ",
100,中正區,2表燈營業用,"9,888 ","18,898 ","14,520,045 ",
100,中正區,3表燈小計,**,"20,171 ","34,801,832 ",
100,中正區,4低壓綜合裝置非營業用,*,217 ,"14,833 ",
100,中正區,5低壓綜合需量非營業用,690 ,"30,136 ","4,055,752 ",
100,中正區,6低壓綜合非營業用電小計,**,"30,353 ","4,070,585 ",
100,中正區,7低壓綜合裝置營業用,27 ,"1,117 ","92,902 ",
100,中正區,8低壓綜合需量營業用,912 ,"39,334 ","6,841,242 ",
100,中正區,9低壓綜合營業用電小計,**,"40,451 ","6,934,144 ",
100,中正區,10低壓綜合用電小計,**,"70,804 ","11,004,729 ",
100,中正區,11低壓裝置電力,244 ,"2,568 ","150,202 ",
100,中正區,12低壓需量電力,6 ,107 ,"6,299 ",
100,中正區,13低壓電力小計,**,"2,675 ","156,501 ",
100,中正區,14高壓電力,295 ,"222,014 ","50,796,526 ",
100,中正區,15特高壓電力,*,"18,040 ","7,647,700 ",
100,中正區,16高＆特高壓電力小計,**,"240,054 ","58,444,226 ",
100,中正區,17電力小計,**,"242,729 ","58,600,727 ",
100,中正區,18綜合＆電力小計,**,"313,533 ","69,605,456 ",
100,中正區,19電燈＆綜合＆電力小計,**,"333,704 ","104,407,288 ",
100,中正區,20臨時電燈,31 ,0 ,"35,455 ",
100,中正區,21臨時電力,23 ,"1,845 ","162,763 ",
100,中正區,22臨時用電小計,**,"1,845 ","198,218 ",
100,中正區,23總計（含臨時用電）,**,"333,704 ","104,605,506 ",
100,中正區,24表燈合計,**,"20,171 ","34,837,287 ",
100,中正區,25綜合＆電力合計,**,"313,533 ","69,768,219 ",
103,大同區,1表燈非營業用,"52,750 ",403 ,"13,511,400 ",
103,大同區,2表燈營業用,"10,645 ","8,377 ","9,835,923 ",
103,大同區,3表燈小計,**,"8,780 ","23,347,323 ",
103,大同區,4低壓綜合裝置非營業用,*,0 ,0 ,
103,大同區,5低壓綜合需量非營業用,429 ,"15,804 ","2,196,703 ",
103,大同區,6低壓綜合非營業用電小計,**,"15,804 ","2,196,703 ",
103,大同區,7低壓綜合裝置營業用,17 ,745 ,"70,187 ",
103,大同區,8低壓綜合需量營業用,464 ,"19,539 ","3,628,043 ",
103,大同區,9低壓綜合營業用電小計,**,"20,284 ","3,698,230 ",
103,大同區,10低壓綜合用電小計,**,"36,088 ","5,894,933 ",
103,大同區,11低壓裝置電力,262 ,"2,370 ","110,883 ",
103,大同區,12低壓需量電力,25 ,810 ,"85,205 ",
103,大同區,13低壓電力小計,**,"3,180 ","196,088 ",
103,大同區,14高壓電力,88 ,"45,355 ","10,368,004 ",
103,大同區,15特高壓電力,*,"25,608 ","10,375,800 ",
103,大同區,16高＆特高壓電力小計,**,"70,963 ","20,743,804 ",
103,大同區,17電力小計,**,"74,143 ","20,939,892 ",
103,大同區,18綜合＆電力小計,**,"110,231 ","26,834,825 ",
103,大同區,19電燈＆綜合＆電力小計,**,"119,011 ","50,182,148 ",
103,大同區,20臨時電燈,19 ,0 ,"9,883 ",
103,大同區,21臨時電力,16 ,801 ,"137,564 ",
103,大同區,22臨時用電小計,**,801 ,"147,447 ",
103,大同區,23總計（含臨時用電）,**,"119,011 ","50,329,595 ",
103,大同區,24表燈合計,**,"8,780 ","23,357,206 ",
103,大同區,25綜合＆電力合計,**,"110,231 ","26,972,389 ",
104,中山區,1表燈非營業用,"111,113 ","1,492 ","29,987,349 ",
104,中山區,2表燈營業用,"21,116 ","41,533 ","31,383,329 ",
104,中山區,3表燈小計,**,"43,025 ","61,370,678 ",
104,中山區,4低壓綜合裝置非營業用,*,130 ,"6,713 ",
104,中山區,5低壓綜合需量非營業用,"1,229 ","47,026 ","6,405,302 ",
104,中山區,6低壓綜合非營業用電小計,**,"47,156 ","6,412,015 ",
104,中山區,7低壓綜合裝置營業用,40 ,"1,622 ","136,068 ",
104,中山區,8低壓綜合需量營業用,"1,576 ","71,940 ","12,624,780 ",
104,中山區,9低壓綜合營業用電小計,**,"73,562 ","12,760,848 ",
104,中山區,10低壓綜合用電小計,**,"120,718 ","19,172,863 ",
104,中山區,11低壓裝置電力,224 ,"2,575 ","123,345 ",
104,中山區,12低壓需量電力,8 ,642 ,"87,036 ",
104,中山區,13低壓電力小計,**,"3,217 ","210,381 ",
104,中山區,14高壓電力,319 ,"209,970 ","46,480,166 ",
104,中山區,15特高壓電力,*,"24,200 ","6,069,600 ",
104,中山區,16高＆特高壓電力小計,**,"234,170 ","52,549,766 ",
104,中山區,17電力小計,**,"237,387 ","52,760,147 ",
104,中山區,18綜合＆電力小計,**,"358,105 ","71,933,010 ",
104,中山區,19電燈＆綜合＆電力小計,**,"401,130 ","133,303,688 ",
104,中山區,20臨時電燈,33 ,0 ,"53,731 ",
104,中山區,21臨時電力,30 ,"1,835 ","180,617 ",
104,中山區,22臨時用電小計,**,"1,835 ","234,348 ",
104,中山區,23總計（含臨時用電）,**,"401,130 ","133,538,036 ",
104,中山區,24表燈合計,**,"43,025 ","61,424,409 ",
104,中山區,25綜合＆電力合計,**,"358,105 ","72,113,627 ",
105,松山區,1表燈非營業用,"72,486 ","1,099 ","28,904,823 ",
105,松山區,2表燈營業用,"11,662 ","20,282 ","20,358,843 ",
105,松山區,3表燈小計,**,"21,381 ","49,263,666 ",
105,松山區,4低壓綜合裝置非營業用,*,137 ,"5,666 ",
105,松山區,5低壓綜合需量非營業用,549 ,"21,615 ","3,380,749 ",
105,松山區,6低壓綜合非營業用電小計,**,"21,752 ","3,386,415 ",
105,松山區,7低壓綜合裝置營業用,*,154 ,"13,302 ",
105,松山區,8低壓綜合需量營業用,813 ,"39,671 ","7,395,234 ",
105,松山區,9低壓綜合營業用電小計,**,"39,825 ","7,408,536 ",
105,松山區,10低壓綜合用電小計,**,"61,577 ","10,794,951 ",
105,松山區,11低壓裝置電力,62 ,561 ,"27,922 ",
105,松山區,12低壓需量電力,12 ,652 ,"109,322 ",
105,松山區,13低壓電力小計,**,"1,213 ","137,244 ",
105,松山區,14高壓電力,161 ,"131,712 ","28,911,647 ",
105,松山區,15特高壓電力,*,"8,600 ","3,408,000 ",
105,松山區,16高＆特高壓電力小計,**,"140,312 ","32,319,647 ",
105,松山區,17電力小計,**,"141,525 ","32,456,891 ",
105,松山區,18綜合＆電力小計,**,"203,102 ","43,251,842 ",
105,松山區,19電燈＆綜合＆電力小計,**,"224,483 ","92,515,508 ",
105,松山區,20臨時電燈,10 ,0 ,"16,547 ",
105,松山區,21臨時電力,16 ,"1,094 ","134,880 ",
105,松山區,22臨時用電小計,**,"1,094 ","151,427 ",
105,松山區,23總計（含臨時用電）,**,"224,483 ","92,666,935 ",
105,松山區,24表燈合計,**,"21,381 ","49,280,213 ",
105,松山區,25綜合＆電力合計,**,"203,102 ","43,386,722 ",
106,大安區,1表燈非營業用,"110,982 ","1,728 ","32,484,705 ",
106,大安區,2表燈營業用,"17,405 ","42,298 ","21,055,717 ",
106,大安區,3表燈小計,**,"44,026 ","53,540,422 ",
106,大安區,4低壓綜合裝置非營業用,6 ,235 ,"12,976 ",
106,大安區,5低壓綜合需量非營業用,"1,076 ","40,569 ","5,899,805 ",
106,大安區,6低壓綜合非營業用電小計,**,"40,804 ","5,912,781 ",
106,大安區,7低壓綜合裝置營業用,11 ,398 ,"70,948 ",
106,大安區,8低壓綜合需量營業用,"1,469 ","64,153 ","10,874,108 ",
106,大安區,9低壓綜合營業用電小計,**,"64,551 ","10,945,056 ",
106,大安區,10低壓綜合用電小計,**,"105,355 ","16,857,837 ",
106,大安區,11低壓裝置電力,128 ,"1,487 ","103,147 ",
106,大安區,12低壓需量電力,*,296 ,"54,623 ",
106,大安區,13低壓電力小計,**,"1,783 ","157,770 ",
106,大安區,14高壓電力,280 ,"206,302 ","45,145,672 ",
106,大安區,15特高壓電力,*,"23,095 ","7,565,878 ",
106,大安區,16高＆特高壓電力小計,**,"229,397 ","52,711,550 ",
106,大安區,17電力小計,**,"231,180 ","52,869,320 ",
106,大安區,18綜合＆電力小計,**,"336,535 ","69,727,157 ",
106,大安區,19電燈＆綜合＆電力小計,**,"380,561 ","123,267,579 ",
106,大安區,20臨時電燈,18 ,0 ,"34,086 ",
106,大安區,21臨時電力,28 ,"2,588 ","332,042 ",
106,大安區,22臨時用電小計,**,"2,588 ","366,128 ",
106,大安區,23總計（含臨時用電）,**,"380,561 ","123,633,707 ",
106,大安區,24表燈合計,**,"44,026 ","53,574,508 ",
106,大安區,25綜合＆電力合計,**,"336,535 ","70,059,199 ",
108,萬華區,1表燈非營業用,"77,572 ","1,036 ","21,353,530 ",
108,萬華區,2表燈營業用,"9,169 ","15,898 ","9,620,230 ",
108,萬華區,3表燈小計,**,"16,934 ","30,973,760 ",
108,萬華區,4低壓綜合裝置非營業用,*,0 ,0 ,
108,萬華區,5低壓綜合需量非營業用,337 ,"11,194 ","1,683,482 ",
108,萬華區,6低壓綜合非營業用電小計,**,"11,194 ","1,683,482 ",
108,萬華區,7低壓綜合裝置營業用,36 ,"1,646 ","193,844 ",
108,萬華區,8低壓綜合需量營業用,717 ,"24,254 ","5,029,983 ",
108,萬華區,9低壓綜合營業用電小計,**,"25,900 ","5,223,827 ",
108,萬華區,10低壓綜合用電小計,**,"37,094 ","6,907,309 ",
108,萬華區,11低壓裝置電力,296 ,"3,129 ","199,048 ",
108,萬華區,12低壓需量電力,39 ,"1,322 ","186,669 ",
108,萬華區,13低壓電力小計,**,"4,451 ","385,717 ",
108,萬華區,14高壓電力,108 ,"45,345 ","10,218,835 ",
108,萬華區,15特高壓電力,*,0 ,0 ,
108,萬華區,16高＆特高壓電力小計,**,"45,345 ","10,218,835 ",
108,萬華區,17電力小計,**,"49,796 ","10,604,552 ",
108,萬華區,18綜合＆電力小計,**,"86,890 ","17,511,861 ",
