郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用,"60,183","1,121","33,408,075",,,
100,中正區,2表燈營業用,"9,876","17,950","18,352,059",,,
100,中正區,3表燈小計,**,"19,071","51,760,134",,,
100,中正區,4低壓綜合裝置非營業用,*,217,"17,199",,,
100,中正區,5低壓綜合需量非營業用,685,"29,972","5,509,264",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,189","5,526,463",,,
100,中正區,7低壓綜合裝置營業用,27,"1,117","155,773",,,
100,中正區,8低壓綜合需量營業用,909,"39,790","10,356,171",,,
100,中正區,9低壓綜合營業用電小計,**,"40,907","10,511,944",,,
100,中正區,10低壓綜合用電小計,**,"71,096","16,038,407",,,
100,中正區,11低壓裝置電力,251,"2,627","394,800",,,
100,中正區,12低壓需量電力,6,107,"10,821",,,
100,中正區,13低壓電力小計,**,"2,734","405,621",,,
100,中正區,14高壓電力,295,"223,969","74,523,156",,,
100,中正區,15特高壓電力,*,"18,040","9,377,200",,,
100,中正區,16高＆特高壓電力小計,**,"242,009","83,900,356",,,
100,中正區,17電力小計,**,"244,743","84,305,977",,,
100,中正區,18綜合＆電力小計,**,"315,839","100,344,384",,,
100,中正區,19電燈＆綜合＆電力小計,**,"334,910","152,104,518",,,
100,中正區,20臨時電燈,36,0,"58,760",,,
100,中正區,21臨時電力,21,"1,188","152,342",,,
100,中正區,22臨時用電小計,**,"1,188","211,102",,,
100,中正區,23總計（含臨時用電）,**,"334,910","152,315,620",,,
100,中正區,24表燈合計,**,"19,071","51,818,894",,,
100,中正區,25綜合＆電力合計,**,"315,839","100,496,726",,,
103,大同區,1表燈非營業用,"52,760",361,"30,607,896",,,
103,大同區,2表燈營業用,"10,630","8,108","14,891,134",,,
103,大同區,3表燈小計,**,"8,469","45,499,030",,,
103,大同區,4低壓綜合裝置非營業用,*,0,0,,,
103,大同區,5低壓綜合需量非營業用,424,"15,786","2,692,856",,,
103,大同區,6低壓綜合非營業用電小計,**,"15,786","2,692,856",,,
103,大同區,7低壓綜合裝置營業用,17,745,"120,116",,,
103,大同區,8低壓綜合需量營業用,464,"19,440","5,102,502",,,
103,大同區,9低壓綜合營業用電小計,**,"20,185","5,222,618",,,
103,大同區,10低壓綜合用電小計,**,"35,971","7,915,474",,,
103,大同區,11低壓裝置電力,263,"2,376","278,284",,,
103,大同區,12低壓需量電力,25,820,"156,939",,,
103,大同區,13低壓電力小計,**,"3,196","435,223",,,
103,大同區,14高壓電力,88,"45,630","14,875,638",,,
103,大同區,15特高壓電力,*,"25,608","12,758,800",,,
103,大同區,16高＆特高壓電力小計,**,"71,238","27,634,438",,,
103,大同區,17電力小計,**,"74,434","28,069,661",,,
103,大同區,18綜合＆電力小計,**,"110,405","35,985,135",,,
103,大同區,19電燈＆綜合＆電力小計,**,"118,874","81,484,165",,,
103,大同區,20臨時電燈,18,0,"14,130",,,
103,大同區,21臨時電力,15,718,"157,488",,,
103,大同區,22臨時用電小計,**,718,"171,618",,,
103,大同區,23總計（含臨時用電）,**,"118,874","81,655,783",,,
103,大同區,24表燈合計,**,"8,469","45,513,160",,,
103,大同區,25綜合＆電力合計,**,"110,405","36,142,623",,,
104,中山區,1表燈非營業用,"110,951","1,281","70,952,322",,,
104,中山區,2表燈營業用,"21,107","40,225","44,883,208",,,
104,中山區,3表燈小計,**,"41,506","115,835,530",,,
104,中山區,4低壓綜合裝置非營業用,*,130,"13,705",,,
104,中山區,5低壓綜合需量非營業用,"1,218","47,073","9,150,818",,,
104,中山區,6低壓綜合非營業用電小計,**,"47,203","9,164,523",,,
104,中山區,7低壓綜合裝置營業用,41,"1,654","254,175",,,
104,中山區,8低壓綜合需量營業用,"1,567","71,795","19,754,841",,,
104,中山區,9低壓綜合營業用電小計,**,"73,449","20,009,016",,,
104,中山區,10低壓綜合用電小計,**,"120,652","29,173,539",,,
104,中山區,11低壓裝置電力,227,"2,605","334,724",,,
104,中山區,12低壓需量電力,8,642,"128,517",,,
104,中山區,13低壓電力小計,**,"3,247","463,241",,,
104,中山區,14高壓電力,319,"212,518","67,132,804",,,
104,中山區,15特高壓電力,*,"24,200","8,284,800",,,
104,中山區,16高＆特高壓電力小計,**,"236,718","75,417,604",,,
104,中山區,17電力小計,**,"239,965","75,880,845",,,
104,中山區,18綜合＆電力小計,**,"360,617","105,054,384",,,
104,中山區,19電燈＆綜合＆電力小計,**,"402,123","220,889,914",,,
104,中山區,20臨時電燈,34,0,"59,807",,,
104,中山區,21臨時電力,30,"2,008","209,415",,,
104,中山區,22臨時用電小計,**,"2,008","269,222",,,
104,中山區,23總計（含臨時用電）,**,"402,123","221,159,136",,,
104,中山區,24表燈合計,**,"41,506","115,895,337",,,
104,中山區,25綜合＆電力合計,**,"360,617","105,263,799",,,
105,松山區,1表燈非營業用,"72,462","1,208","34,542,153",,,
105,松山區,2表燈營業用,"11,652","19,791","21,395,527",,,
105,松山區,3表燈小計,**,"20,999","55,937,680",,,
105,松山區,4低壓綜合裝置非營業用,*,137,"6,992",,,
105,松山區,5低壓綜合需量非營業用,549,"21,570","4,557,128",,,
105,松山區,6低壓綜合非營業用電小計,**,"21,707","4,564,120",,,
105,松山區,7低壓綜合裝置營業用,*,154,"23,883",,,
105,松山區,8低壓綜合需量營業用,829,"40,641","11,075,760",,,
105,松山區,9低壓綜合營業用電小計,**,"40,795","11,099,643",,,
105,松山區,10低壓綜合用電小計,**,"62,502","15,663,763",,,
105,松山區,11低壓裝置電力,62,561,"68,500",,,
105,松山區,12低壓需量電力,12,652,"168,416",,,
105,松山區,13低壓電力小計,**,"1,213","236,916",,,
105,松山區,14高壓電力,159,"132,147","42,012,040",,,
105,松山區,15特高壓電力,*,"8,600","4,280,000",,,
105,松山區,16高＆特高壓電力小計,**,"140,747","46,292,040",,,
105,松山區,17電力小計,**,"141,960","46,528,956",,,
105,松山區,18綜合＆電力小計,**,"204,462","62,192,719",,,
105,松山區,19電燈＆綜合＆電力小計,**,"225,461","118,130,399",,,
105,松山區,20臨時電燈,12,0,"2,893",,,
105,松山區,21臨時電力,16,"1,080","135,080",,,
105,松山區,22臨時用電小計,**,"1,080","137,973",,,
105,松山區,23總計（含臨時用電）,**,"225,461","118,268,372",,,
105,松山區,24表燈合計,**,"20,999","55,940,573",,,
105,松山區,25綜合＆電力合計,**,"204,462","62,327,799",,,
106,大安區,1表燈非營業用,"110,660","1,735","83,938,699",,,
106,大安區,2表燈營業用,"17,407","41,241","47,779,811",,,
106,大安區,3表燈小計,**,"42,976","131,718,510",,,
106,大安區,4低壓綜合裝置非營業用,6,235,"17,259",,,
106,大安區,5低壓綜合需量非營業用,"1,068","40,399","7,985,890",,,
106,大安區,6低壓綜合非營業用電小計,**,"40,634","8,003,149",,,
106,大安區,7低壓綜合裝置營業用,11,398,"92,975",,,
106,大安區,8低壓綜合需量營業用,"1,453","64,791","17,132,207",,,
106,大安區,9低壓綜合營業用電小計,**,"65,189","17,225,182",,,
106,大安區,10低壓綜合用電小計,**,"105,823","25,228,331",,,
106,大安區,11低壓裝置電力,129,"1,496","218,831",,,
106,大安區,12低壓需量電力,*,296,"50,982",,,
106,大安區,13低壓電力小計,**,"1,792","269,813",,,
106,大安區,14高壓電力,280,"207,003","68,111,805",,,
106,大安區,15特高壓電力,*,"23,095","9,252,980",,,
106,大安區,16高＆特高壓電力小計,**,"230,098","77,364,785",,,
106,大安區,17電力小計,**,"231,890","77,634,598",,,
106,大安區,18綜合＆電力小計,**,"337,713","102,862,929",,,
106,大安區,19電燈＆綜合＆電力小計,**,"380,689","234,581,439",,,
106,大安區,20臨時電燈,16,0,"131,044",,,
106,大安區,21臨時電力,31,"2,657","448,947",,,
106,大安區,22臨時用電小計,**,"2,657","579,991",,,
106,大安區,23總計（含臨時用電）,**,"380,689","235,161,430",,,
106,大安區,24表燈合計,**,"42,976","131,849,554",,,
106,大安區,25綜合＆電力合計,**,"337,713","103,311,876",,,
108,萬華區,1表燈非營業用,"77,610","1,004","38,167,733",,,
108,萬華區,2表燈營業用,"9,187","15,329","16,275,171",,,
108,萬華區,3表燈小計,**,"16,333","54,442,904",,,
108,萬華區,4低壓綜合裝置非營業用,*,0,0,,,
108,萬華區,5低壓綜合需量非營業用,335,"11,569","2,247,614",,,
108,萬華區,6低壓綜合非營業用電小計,**,"11,569","2,247,614",,,
