郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用,"60,152","1,096","36,425,026",,,
100,中正區,2表燈營業用,"9,896","17,797","24,001,180",,,
100,中正區,3表燈小計,**,"18,893","60,426,206",,,
100,中正區,4低壓綜合裝置非營業用,*,217,"17,861",,,
100,中正區,5低壓綜合需量非營業用,685,"29,976","5,640,944",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,193","5,658,805",,,
100,中正區,7低壓綜合裝置營業用,27,"1,117","155,507",,,
100,中正區,8低壓綜合需量營業用,912,"39,811","10,816,611",,,
100,中正區,9低壓綜合營業用電小計,**,"40,928","10,972,118",,,
100,中正區,10低壓綜合用電小計,**,"71,121","16,630,923",,,
100,中正區,11低壓裝置電力,251,"2,627","407,245",,,
100,中正區,12低壓需量電力,6,107,"11,017",,,
100,中正區,13低壓電力小計,**,"2,734","418,262",,,
100,中正區,14高壓電力,296,"224,119","82,994,431",,,
100,中正區,15特高壓電力,*,"18,040","9,995,000",,,
100,中正區,16高＆特高壓電力小計,**,"242,159","92,989,431",,,
100,中正區,17電力小計,**,"244,893","93,407,693",,,
100,中正區,18綜合＆電力小計,**,"316,014","110,038,616",,,
100,中正區,19電燈＆綜合＆電力小計,**,"334,907","170,464,822",,,
100,中正區,20臨時電燈,33,0,"42,975",,,
100,中正區,21臨時電力,21,"1,194","150,046",,,
100,中正區,22臨時用電小計,**,"1,194","193,021",,,
100,中正區,23總計（含臨時用電）,**,"334,907","170,657,843",,,
100,中正區,24表燈合計,**,"18,893","60,469,181",,,
100,中正區,25綜合＆電力合計,**,"316,014","110,188,662",,,
103,大同區,1表燈非營業用,"52,709",359,"25,670,203",,,
103,大同區,2表燈營業用,"10,633","8,022","15,930,371",,,
103,大同區,3表燈小計,**,"8,381","41,600,574",,,
103,大同區,4低壓綜合裝置非營業用,*,0,0,,,
103,大同區,5低壓綜合需量非營業用,423,"15,776","2,860,819",,,
103,大同區,6低壓綜合非營業用電小計,**,"15,776","2,860,819",,,
103,大同區,7低壓綜合裝置營業用,17,745,"125,562",,,
103,大同區,8低壓綜合需量營業用,465,"19,740","5,389,788",,,
103,大同區,9低壓綜合營業用電小計,**,"20,485","5,515,350",,,
103,大同區,10低壓綜合用電小計,**,"36,261","8,376,169",,,
103,大同區,11低壓裝置電力,263,"2,376","287,116",,,
103,大同區,12低壓需量電力,25,820,"177,765",,,
103,大同區,13低壓電力小計,**,"3,196","464,881",,,
103,大同區,14高壓電力,87,"45,529","16,331,894",,,
103,大同區,15特高壓電力,*,"25,608","13,620,000",,,
103,大同區,16高＆特高壓電力小計,**,"71,137","29,951,894",,,
103,大同區,17電力小計,**,"74,333","30,416,775",,,
103,大同區,18綜合＆電力小計,**,"110,594","38,792,944",,,
103,大同區,19電燈＆綜合＆電力小計,**,"118,975","80,393,518",,,
103,大同區,20臨時電燈,21,0,"29,817",,,
103,大同區,21臨時電力,16,718,"153,719",,,
103,大同區,22臨時用電小計,**,718,"183,536",,,
103,大同區,23總計（含臨時用電）,**,"118,975","80,577,054",,,
103,大同區,24表燈合計,**,"8,381","41,630,391",,,
103,大同區,25綜合＆電力合計,**,"110,594","38,946,663",,,
104,中山區,1表燈非營業用,"110,854","1,355","57,897,140",,,
104,中山區,2表燈營業用,"20,991","39,898","50,931,970",,,
104,中山區,3表燈小計,**,"41,253","108,829,110",,,
104,中山區,4低壓綜合裝置非營業用,*,130,"12,351",,,
104,中山區,5低壓綜合需量非營業用,"1,217","46,952","9,364,709",,,
104,中山區,6低壓綜合非營業用電小計,**,"47,082","9,377,060",,,
104,中山區,7低壓綜合裝置營業用,41,"1,654","256,009",,,
104,中山區,8低壓綜合需量營業用,"1,570","71,881","20,275,142",,,
104,中山區,9低壓綜合營業用電小計,**,"73,535","20,531,151",,,
104,中山區,10低壓綜合用電小計,**,"120,617","29,908,211",,,
104,中山區,11低壓裝置電力,227,"2,605","335,946",,,
104,中山區,12低壓需量電力,8,642,"132,954",,,
104,中山區,13低壓電力小計,**,"3,247","468,900",,,
104,中山區,14高壓電力,319,"211,892","74,936,001",,,
104,中山區,15特高壓電力,*,"24,200","9,209,600",,,
104,中山區,16高＆特高壓電力小計,**,"236,092","84,145,601",,,
104,中山區,17電力小計,**,"239,339","84,614,501",,,
104,中山區,18綜合＆電力小計,**,"359,956","114,522,712",,,
104,中山區,19電燈＆綜合＆電力小計,**,"401,209","223,351,822",,,
104,中山區,20臨時電燈,35,0,"54,582",,,
104,中山區,21臨時電力,30,"1,890","195,385",,,
104,中山區,22臨時用電小計,**,"1,890","249,967",,,
104,中山區,23總計（含臨時用電）,**,"401,209","223,601,789",,,
104,中山區,24表燈合計,**,"41,253","108,883,692",,,
