郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用,"59,866","1,050","21,162,175",,,
100,中正區,2表燈營業用,"9,920","16,793","13,756,561",,,
100,中正區,3表燈小計,**,"17,843","34,918,736",,,
100,中正區,4低壓綜合裝置非營業用,＊,217,"14,462",,,
100,中正區,5低壓綜合需量非營業用,680,"29,850","3,881,743",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,067","3,896,205",,,
100,中正區,7低壓綜合裝置營業用,27,"1,117","81,565",,,
100,中正區,8低壓綜合需量營業用,910,"39,778","6,558,592",,,
100,中正區,9低壓綜合營業用電小計,**,"40,895","6,640,157",,,
100,中正區,10低壓綜合用電小計,**,"70,962","10,536,362",,,
100,中正區,11低壓裝置電力,252,"2,636","142,103",,,
100,中正區,12低壓需量電力,6,107,"6,578",,,
100,中正區,13低壓電力小計,**,"2,743","148,681",,,
100,中正區,14高壓電力,296,"224,854","65,180,464",,,
100,中正區,15特高壓電力,＊,"18,040","9,517,100",,,
100,中正區,16高＆特高壓電力小計,**,"242,894","74,697,564",,,
100,中正區,17電力小計,**,"245,637","74,846,245",,,
100,中正區,18綜合＆電力小計,**,"316,599","85,382,607",,,
100,中正區,19電燈＆綜合＆電力小計,**,"334,442","120,301,343",,,
100,中正區,20臨時電燈,32,0,"76,433",,,
100,中正區,21臨時電力,23,"2,020","389,760",,,
100,中正區,22臨時用電小計,**,"2,020","466,193",,,
100,中正區,23總計（含臨時用電）,**,"334,442","120,767,536",,,
100,中正區,24表燈合計,**,"17,843","34,995,169",,,
100,中正區,25綜合＆電力合計,**,"316,599","85,772,367",,,
103,大同區,1表燈非營業用,"52,682",374,"13,945,609",,,
103,大同區,2表燈營業用,"10,598","7,570","8,778,387",,,
103,大同區,3表燈小計,**,"7,944","22,723,996",,,
103,大同區,4低壓綜合裝置非營業用,＊,0,0,,,
103,大同區,5低壓綜合需量非營業用,420,"15,631","1,861,276",,,
103,大同區,6低壓綜合非營業用電小計,**,"15,631","1,861,276",,,
103,大同區,7低壓綜合裝置營業用,19,883,"55,500",,,
103,大同區,8低壓綜合需量營業用,464,"19,665","3,069,814",,,
103,大同區,9低壓綜合營業用電小計,**,"20,548","3,125,314",,,
103,大同區,10低壓綜合用電小計,**,"36,179","4,986,590",,,
103,大同區,11低壓裝置電力,264,"2,381","89,856",,,
103,大同區,12低壓需量電力,25,832,"80,404",,,
103,大同區,13低壓電力小計,**,"3,213","170,260",,,
103,大同區,14高壓電力,87,"45,790","13,062,179",,,
103,大同區,15特高壓電力,＊,"24,151","12,181,200",,,
103,大同區,16高＆特高壓電力小計,**,"69,941","25,243,379",,,
103,大同區,17電力小計,**,"73,154","25,413,639",,,
103,大同區,18綜合＆電力小計,**,"109,333","30,400,229",,,
103,大同區,19電燈＆綜合＆電力小計,**,"117,277","53,124,225",,,
103,大同區,20臨時電燈,23,0,"48,098",,,
103,大同區,21臨時電力,15,606,"113,259",,,
103,大同區,22臨時用電小計,**,606,"161,357",,,
103,大同區,23總計（含臨時用電）,**,"117,277","53,285,582",,,
103,大同區,24表燈合計,**,"7,944","22,772,094",,,
103,大同區,25綜合＆電力合計,**,"109,333","30,513,488",,,
104,中山區,1表燈非營業用,"110,535","1,251","32,000,677",,,
104,中山區,2表燈營業用,"20,962","38,246","29,178,887",,,
104,中山區,3表燈小計,**,"39,497","61,179,564",,,
104,中山區,4低壓綜合裝置非營業用,＊,130,"6,041",,,
