郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用　　　　,"59,622","1,039","22,538,370",,,
100,中正區,2表燈營業用　　　　　　,"9,834","16,662","14,705,389",,,
100,中正區,3表燈小計　　　　　　　,**,"17,701","37,243,759",,,
100,中正區,4低壓綜合裝置非營業用　,＊,217,"20,382",,,
100,中正區,5低壓綜合需量非營業用　,676,"30,536","4,632,076",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,753","4,652,458",,,
100,中正區,7低壓綜合裝置營業用　　,27,"1,117","118,310",,,
100,中正區,8低壓綜合需量營業用　　,896,"39,002","8,238,959",,,
100,中正區,9低壓綜合營業用電小計　,**,"40,119","8,357,269",,,
100,中正區,10低壓綜合用電小計　　　,**,"70,872","13,009,727",,,
100,中正區,11低壓裝置電力　　　　　,253,"2,645","260,210",,,
100,中正區,12低壓需量電力　　　　　,6,107,"7,500",,,
100,中正區,13低壓電力小計　　　　　,**,"2,752","267,710",,,
100,中正區,14高壓電力　　　　　　　,298,"226,589","67,190,158",,,
100,中正區,15特高壓電力　　　　　　,＊,"18,040","9,269,800",,,
100,中正區,16高＆特高壓電力小計　　,**,"244,629","76,459,958",,,
100,中正區,17電力小計　　　　　　　,**,"247,381","76,727,668",,,
100,中正區,18綜合＆電力小計　　　　,**,"318,253","89,737,395",,,
100,中正區,19電燈＆綜合＆電力小計　,**,"335,954","126,981,154",,,
100,中正區,20臨時電燈　　　　　　　,30,0,"47,163",,,
100,中正區,21臨時電力　　　　　　　,26,"1,611","177,489",,,
100,中正區,22臨時用電小計　　　　　,**,"1,611","224,652",,,
100,中正區,23總計（含臨時用電）　　,**,"335,954","127,205,806",,,
100,中正區,24表燈合計　　　　　　　,**,"17,701","37,290,922",,,
100,中正區,25綜合＆電力合計　　　　,**,"318,253","89,914,884",,,
103,大同區,1表燈非營業用　　　　,"52,518",362,"19,782,933",,,
103,大同區,2表燈營業用　　　　　　,"10,551","7,362","11,546,069",,,
103,大同區,3表燈小計　　　　　　　,**,"7,724","31,329,002",,,
103,大同區,4低壓綜合裝置非營業用　,＊,0,0,,,
103,大同區,5低壓綜合需量非營業用　,418,"15,527","2,369,923",,,
103,大同區,6低壓綜合非營業用電小計,**,"15,527","2,369,923",,,
103,大同區,7低壓綜合裝置營業用　　,19,883,"75,892",,,
103,大同區,8低壓綜合需量營業用　　,460,"19,854","4,310,524",,,
103,大同區,9低壓綜合營業用電小計　,**,"20,737","4,386,416",,,
103,大同區,10低壓綜合用電小計　　　,**,"36,264","6,756,339",,,
103,大同區,11低壓裝置電力　　　　　,268,"2,396","162,564",,,
103,大同區,12低壓需量電力　　　　　,25,835,"123,577",,,
103,大同區,13低壓電力小計　　　　　,**,"3,231","286,141",,,
103,大同區,14高壓電力　　　　　　　,87,"45,855","13,654,849",,,
103,大同區,15特高壓電力　　　　　　,＊,"24,151","12,159,200",,,
103,大同區,16高＆特高壓電力小計　　,**,"70,006","25,814,049",,,
103,大同區,17電力小計　　　　　　　,**,"73,237","26,100,190",,,
