郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,504","1,269","20,621,872",
100,中正區,2表燈營業用,"9,927","19,840","16,680,769",
100,中正區,3表燈小計,**,"21,109","37,302,641",
100,中正區,4低壓綜合裝置非營業用,*,217,"20,307",
100,中正區,5低壓綜合需量非營業用,692,"29,720","4,444,925",
100,中正區,6低壓綜合非營業用電小計,**,"29,937","4,465,232",
100,中正區,7低壓綜合裝置營業用,25,"1,076","100,933",
100,中正區,8低壓綜合需量營業用,908,"39,032","8,017,535",
100,中正區,9低壓綜合營業用電小計,**,"40,108","8,118,468",
100,中正區,10低壓綜合用電小計,**,"70,045","12,583,700",
100,中正區,11低壓裝置電力,239,"2,509","200,483",
100,中正區,12低壓需量電力,6,107,"9,330",
100,中正區,13低壓電力小計,**,"2,616","209,813",
100,中正區,14高壓電力,298,"218,249","56,125,165",
100,中正區,15特高壓電力,*,"16,940","8,328,800",
100,中正區,16高＆特高壓電力小計,**,"235,189","64,453,965",
100,中正區,17電力小計,**,"237,805","64,663,778",
100,中正區,18綜合＆電力小計,**,"307,850","77,247,478",
100,中正區,19電燈＆綜合＆電力小計,**,"328,959","114,550,119",
100,中正區,20臨時電燈,31,0,"46,509",
100,中正區,21臨時電力,24,"1,616","186,112",
100,中正區,22臨時用電小計,**,"1,616","232,621",
100,中正區,23總計（含臨時用電）,**,"328,959","114,782,740",
100,中正區,24表燈合計,**,"21,109","37,349,150",
100,中正區,25綜合＆電力合計,**,"307,850","77,433,590",
103,大同區,1表燈非營業用,"53,158",345,"16,499,257",
103,大同區,2表燈營業用,"10,622","9,613","11,947,310",
103,大同區,3表燈小計,**,"9,958","28,446,567",
103,大同區,4低壓綜合裝置非營業用,*,0,0,
103,大同區,5低壓綜合需量非營業用,457,"16,901","2,168,921",
103,大同區,6低壓綜合非營業用電小計,**,"16,901","2,168,921",
103,大同區,7低壓綜合裝置營業用,16,720,"67,469",
103,大同區,8低壓綜合需量營業用,457,"19,391","3,891,558",
103,大同區,9低壓綜合營業用電小計,**,"20,111","3,959,027",
103,大同區,10低壓綜合用電小計,**,"37,012","6,127,948",
103,大同區,11低壓裝置電力,256,"2,296","123,435",
103,大同區,12低壓需量電力,25,805,"85,981",
103,大同區,13低壓電力小計,**,"3,101","209,416",
103,大同區,14高壓電力,86,"45,061","11,608,688",
103,大同區,15特高壓電力,*,"23,771","11,909,200",
103,大同區,16高＆特高壓電力小計,**,"68,832","23,517,888",
103,大同區,17電力小計,**,"71,933","23,727,304",
103,大同區,18綜合＆電力小計,**,"108,945","29,855,252",
103,大同區,19電燈＆綜合＆電力小計,**,"118,903","58,301,819",
103,大同區,20臨時電燈,11,0,"33,544",
103,大同區,21臨時電力,15,982,"103,055",
103,大同區,22臨時用電小計,**,982,"136,599",
103,大同區,23總計（含臨時用電）,**,"118,903","58,438,418",
103,大同區,24表燈合計,**,"9,958","28,480,111",
103,大同區,25綜合＆電力合計,**,"108,945","29,958,307",
104,中山區,1表燈非營業用,"111,595","1,900","38,089,397",
104,中山區,2表燈營業用,"21,069","43,897","38,520,563",
104,中山區,3表燈小計,**,"45,797","76,609,960",
104,中山區,4低壓綜合裝置非營業用,*,130,"9,936",
104,中山區,5低壓綜合需量非營業用,"1,239","47,414","7,137,667",
104,中山區,6低壓綜合非營業用電小計,**,"47,544","7,147,603",
104,中山區,7低壓綜合裝置營業用,40,"1,622","173,375",
104,中山區,8低壓綜合需量營業用,"1,576","72,191","14,949,635",
104,中山區,9低壓綜合營業用電小計,**,"73,813","15,123,010",
104,中山區,10低壓綜合用電小計,**,"121,357","22,270,613",
104,中山區,11低壓裝置電力,216,"2,512","167,302",
104,中山區,12低壓需量電力,8,642,"97,436",
104,中山區,13低壓電力小計,**,"3,154","264,738",
104,中山區,14高壓電力,317,"207,612","52,287,607",
104,中山區,15特高壓電力,*,"18,692","7,007,200",
