郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用,"59,828","1,040","19,091,435",,,
100,中正區,2表燈營業用,"9,917","16,634","10,391,848",,,
100,中正區,3表燈小計,**,"17,674","29,483,283",,,
100,中正區,4低壓綜合裝置非營業用,＊,217,"15,349",,,
100,中正區,5低壓綜合需量非營業用,683,"30,026","4,143,646",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,243","4,158,995",,,
100,中正區,7低壓綜合裝置營業用,27,"1,117","88,335",,,
100,中正區,8低壓綜合需量營業用,908,"39,619","6,794,796",,,
100,中正區,9低壓綜合營業用電小計,**,"40,736","6,883,131",,,
100,中正區,10低壓綜合用電小計,**,"70,979","11,042,126",,,
100,中正區,11低壓裝置電力,252,"2,636","140,811",,,
100,中正區,12低壓需量電力,6,107,"6,502",,,
100,中正區,13低壓電力小計,**,"2,743","147,313",,,
100,中正區,14高壓電力,296,"224,854","59,614,573",,,
100,中正區,15特高壓電力,＊,"18,040","9,287,900",,,
100,中正區,16高＆特高壓電力小計,**,"242,894","68,902,473",,,
100,中正區,17電力小計,**,"245,637","69,049,786",,,
100,中正區,18綜合＆電力小計,**,"316,616","80,091,912",,,
100,中正區,19電燈＆綜合＆電力小計,**,"334,290","109,575,195",,,
100,中正區,20臨時電燈,30,0,"44,787",,,
100,中正區,21臨時電力,23,"2,039","378,774",,,
100,中正區,22臨時用電小計,**,"2,039","423,561",,,
100,中正區,23總計（含臨時用電）,**,"334,290","109,998,756",,,
100,中正區,24表燈合計,**,"17,674","29,528,070",,,
100,中正區,25綜合＆電力合計,**,"316,616","80,470,686",,,
103,大同區,1表燈非營業用,"52,625",374,"16,366,673",,,
103,大同區,2表燈營業用,"10,586","7,476","8,091,802",,,
103,大同區,3表燈小計,**,"7,850","24,458,475",,,
103,大同區,4低壓綜合裝置非營業用,＊,0,0,,,
103,大同區,5低壓綜合需量非營業用,420,"15,571","2,219,338",,,
103,大同區,6低壓綜合非營業用電小計,**,"15,571","2,219,338",,,
103,大同區,7低壓綜合裝置營業用,19,883,"64,374",,,
103,大同區,8低壓綜合需量營業用,463,"19,639","3,516,433",,,
103,大同區,9低壓綜合營業用電小計,**,"20,522","3,580,807",,,
103,大同區,10低壓綜合用電小計,**,"36,093","5,800,145",,,
103,大同區,11低壓裝置電力,264,"2,381","104,955",,,
103,大同區,12低壓需量電力,25,832,"84,187",,,
103,大同區,13低壓電力小計,**,"3,213","189,142",,,
103,大同區,14高壓電力,88,"45,790","12,027,475",,,
103,大同區,15特高壓電力,＊,"24,151","12,021,600",,,
103,大同區,16高＆特高壓電力小計,**,"69,941","24,049,075",,,
103,大同區,17電力小計,**,"73,154","24,238,217",,,
103,大同區,18綜合＆電力小計,**,"109,247","30,038,362",,,
103,大同區,19電燈＆綜合＆電力小計,**,"117,097","54,496,837",,,
103,大同區,20臨時電燈,26,0,"5,697",,,
103,大同區,21臨時電力,17,767,"129,182",,,
103,大同區,22臨時用電小計,**,767,"134,879",,,
103,大同區,23總計（含臨時用電）,**,"117,097","54,631,716",,,
103,大同區,24表燈合計,**,"7,850","24,464,172",,,
103,大同區,25綜合＆電力合計,**,"109,247","30,167,544",,,
104,中山區,1表燈非營業用,"110,474","1,211","38,241,858",,,
104,中山區,2表燈營業用,"20,990","38,434","24,111,084",,,
104,中山區,3表燈小計,**,"39,645","62,352,942",,,
104,中山區,4低壓綜合裝置非營業用,＊,130,"5,701",,,
104,中山區,5低壓綜合需量非營業用,"1,200","46,520","6,271,985",,,
104,中山區,6低壓綜合非營業用電小計,**,"46,650","6,277,686",,,
104,中山區,7低壓綜合裝置營業用,43,"1,788","128,049",,,
104,中山區,8低壓綜合需量營業用,"1,571","71,590","12,087,396",,,
104,中山區,9低壓綜合營業用電小計,**,"73,378","12,215,445",,,
104,中山區,10低壓綜合用電小計,**,"120,028","18,493,131",,,
104,中山區,11低壓裝置電力,230,"2,636","105,263",,,
104,中山區,12低壓需量電力,9,724,"81,738",,,
104,中山區,13低壓電力小計,**,"3,360","187,001",,,
104,中山區,14高壓電力,321,"209,412","53,700,125",,,
104,中山區,15特高壓電力,＊,"27,200","7,515,600",,,
104,中山區,16高＆特高壓電力小計,**,"236,612","61,215,725",,,
104,中山區,17電力小計,**,"239,972","61,402,726",,,
104,中山區,18綜合＆電力小計,**,"360,000","79,895,857",,,
104,中山區,19電燈＆綜合＆電力小計,**,"399,645","142,248,799",,,
104,中山區,20臨時電燈,34,0,"34,220",,,
104,中山區,21臨時電力,31,"1,883","169,569",,,
104,中山區,22臨時用電小計,**,"1,883","203,789",,,
104,中山區,23總計（含臨時用電）,**,"399,645","142,452,588",,,
104,中山區,24表燈合計,**,"39,645","62,387,162",,,
104,中山區,25綜合＆電力合計,**,"360,000","80,065,426",,,
105,松山區,1表燈非營業用,"72,463","1,026","18,507,091",,,
105,松山區,2表燈營業用,"11,619","18,419","12,129,555",,,
105,松山區,3表燈小計,**,"19,445","30,636,646",,,
105,松山區,4低壓綜合裝置非營業用,＊,137,"5,475",,,
105,松山區,5低壓綜合需量非營業用,552,"21,786","3,135,299",,,
105,松山區,6低壓綜合非營業用電小計,**,"21,923","3,140,774",,,
105,松山區,7低壓綜合裝置營業用,＊,154,"13,043",,,
105,松山區,8低壓綜合需量營業用,826,"40,474","6,941,654",,,
105,松山區,9低壓綜合營業用電小計,**,"40,628","6,954,697",,,
105,松山區,10低壓綜合用電小計,**,"62,551","10,095,471",,,
105,松山區,11低壓裝置電力,64,588,"24,332",,,
105,松山區,12低壓需量電力,15,713,"106,184",,,
105,松山區,13低壓電力小計,**,"1,301","130,516",,,
105,松山區,14高壓電力,160,"133,205","33,980,647",,,
105,松山區,15特高壓電力,＊,"8,600","4,267,200",,,
105,松山區,16高＆特高壓電力小計,**,"141,805","38,247,847",,,
105,松山區,17電力小計,**,"143,106","38,378,363",,,
105,松山區,18綜合＆電力小計,**,"205,657","48,473,834",,,
105,松山區,19電燈＆綜合＆電力小計,**,"225,102","79,110,480",,,
105,松山區,20臨時電燈,11,0,"1,040",,,
105,松山區,21臨時電力,18,923,"86,400",,,
105,松山區,22臨時用電小計,**,923,"87,440",,,
105,松山區,23總計（含臨時用電）,**,"225,102","79,197,920",,,
105,松山區,24表燈合計,**,"19,445","30,637,686",,,
105,松山區,25綜合＆電力合計,**,"205,657","48,560,234",,,
106,大安區,1表燈非營業用,"110,530","1,508","47,968,852",,,
106,大安區,2表燈營業用,"17,376","38,782","25,445,547",,,
106,大安區,3表燈小計,**,"40,290","73,414,399",,,
106,大安區,4低壓綜合裝置非營業用,6,235,"16,080",,,
106,大安區,5低壓綜合需量非營業用,"1,064","40,182","5,506,431",,,
106,大安區,6低壓綜合非營業用電小計,**,"40,417","5,522,511",,,
