郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用　　　　,"59,661","1,065","18,273,509",,,
100,中正區,2表燈營業用　　　　　　,"9,891","16,466","12,176,463",,,
100,中正區,3表燈小計　　　　　　　,**,"17,531","30,449,972",,,
100,中正區,4低壓綜合裝置非營業用　,＊,217,"16,941",,,
100,中正區,5低壓綜合需量非營業用　,677,"30,169","4,270,522",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,386","4,287,463",,,
100,中正區,7低壓綜合裝置營業用　　,27,"1,117","103,687",,,
100,中正區,8低壓綜合需量營業用　　,902,"39,246","7,415,721",,,
100,中正區,9低壓綜合營業用電小計　,**,"40,363","7,519,408",,,
100,中正區,10低壓綜合用電小計　　　,**,"70,749","11,806,871",,,
100,中正區,11低壓裝置電力　　　　　,253,"2,645","175,808",,,
100,中正區,12低壓需量電力　　　　　,6,107,"6,634",,,
100,中正區,13低壓電力小計　　　　　,**,"2,752","182,442",,,
100,中正區,14高壓電力　　　　　　　,296,"225,439","57,528,759",,,
100,中正區,15特高壓電力　　　　　　,＊,"18,040","9,189,700",,,
100,中正區,16高＆特高壓電力小計　　,**,"243,479","66,718,459",,,
100,中正區,17電力小計　　　　　　　,**,"246,231","66,900,901",,,
100,中正區,18綜合＆電力小計　　　　,**,"316,980","78,707,772",,,
100,中正區,19電燈＆綜合＆電力小計　,**,"334,511","109,157,744",,,
100,中正區,20臨時電燈　　　　　　　,32,0,"52,702",,,
100,中正區,21臨時電力　　　　　　　,24,"2,343","365,600",,,
100,中正區,22臨時用電小計　　　　　,**,"2,343","418,302",,,
100,中正區,23總計（含臨時用電）　　,**,"334,511","109,576,046",,,
100,中正區,24表燈合計　　　　　　　,**,"17,531","30,502,674",,,
100,中正區,25綜合＆電力合計　　　　,**,"316,980","79,073,372",,,
103,大同區,1表燈非營業用　　　　,"52,502",362,"14,915,903",,,
103,大同區,2表燈營業用　　　　　　,"10,588","7,408","9,018,943",,,
103,大同區,3表燈小計　　　　　　　,**,"7,770","23,934,846",,,
103,大同區,4低壓綜合裝置非營業用　,＊,0,0,,,
103,大同區,5低壓綜合需量非營業用　,417,"15,512","2,106,937",,,
103,大同區,6低壓綜合非營業用電小計,**,"15,512","2,106,937",,,
103,大同區,7低壓綜合裝置營業用　　,19,883,"61,999",,,
103,大同區,8低壓綜合需量營業用　　,461,"19,901","3,673,912",,,
103,大同區,9低壓綜合營業用電小計　,**,"20,784","3,735,911",,,
103,大同區,10低壓綜合用電小計　　　,**,"36,296","5,842,848",,,
103,大同區,11低壓裝置電力　　　　　,265,"2,382","106,889",,,
103,大同區,12低壓需量電力　　　　　,25,835,"88,913",,,
103,大同區,13低壓電力小計　　　　　,**,"3,217","195,802",,,
103,大同區,14高壓電力　　　　　　　,87,"45,855","11,742,791",,,
103,大同區,15特高壓電力　　　　　　,＊,"24,151","11,308,400",,,
103,大同區,16高＆特高壓電力小計　　,**,"70,006","23,051,191",,,
103,大同區,17電力小計　　　　　　　,**,"73,223","23,246,993",,,
103,大同區,18綜合＆電力小計　　　　,**,"109,519","29,089,841",,,
103,大同區,19電燈＆綜合＆電力小計　,**,"117,289","53,024,687",,,
103,大同區,20臨時電燈　　　　　　　,24,0,"5,991",,,
103,大同區,21臨時電力　　　　　　　,18,862,"131,231",,,
103,大同區,22臨時用電小計　　　　　,**,862,"137,222",,,
103,大同區,23總計（含臨時用電）　　,**,"117,289","53,161,909",,,
103,大同區,24表燈合計　　　　　　　,**,"7,770","23,940,837",,,
103,大同區,25綜合＆電力合計　　　　,**,"109,519","29,221,072",,,
104,中山區,1表燈非營業用　　　　,"110,347","1,263","36,358,969",,,
104,中山區,2表燈營業用　　　　　　,"20,947","38,372","28,891,838",,,
104,中山區,3表燈小計　　　　　　　,**,"39,635","65,250,807",,,
104,中山區,4低壓綜合裝置非營業用　,＊,130,"8,990",,,
104,中山區,5低壓綜合需量非營業用　,"1,197","46,266","6,603,009",,,
104,中山區,6低壓綜合非營業用電小計,**,"46,396","6,611,999",,,
