郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,
100,中正區,1表燈非營業用　　　　,"59,621",988,"29,799,574",,
100,中正區,2表燈營業用　　　　　　,"9,803","15,786","17,431,824",,
100,中正區,3表燈小計　　　　　　　,**,"16,774","47,231,398",,
100,中正區,4低壓綜合裝置非營業用　,＊,217,"23,742",,
100,中正區,5低壓綜合需量非營業用　,680,"30,490","6,046,401",,
100,中正區,6低壓綜合非營業用電小計,**,"30,707","6,070,143",,
100,中正區,7低壓綜合裝置營業用　　,27,"1,117","170,355",,
100,中正區,8低壓綜合需量營業用　　,896,"39,363","11,282,618",,
100,中正區,9低壓綜合營業用電小計　,**,"40,480","11,452,973",,
100,中正區,10低壓綜合用電小計　　　,**,"71,187","17,523,116",,
100,中正區,11低壓裝置電力　　　　　,254,"2,660","455,093",,
100,中正區,12低壓需量電力　　　　　,6,107,"11,338",,
100,中正區,13低壓電力小計　　　　　,**,"2,767","466,431",,
100,中正區,14高壓電力　　　　　　　,299,"226,670","84,221,728",,
100,中正區,15特高壓電力　　　　　　,＊,"18,040","10,180,400",,
100,中正區,16高＆特高壓電力小計　　,**,"244,710","94,402,128",,
100,中正區,17電力小計　　　　　　　,**,"247,477","94,868,559",,
100,中正區,18綜合＆電力小計　　　　,**,"318,664","112,391,675",,
100,中正區,19電燈＆綜合＆電力小計　,**,"335,438","159,623,073",,
100,中正區,20臨時電燈　　　　　　　,29,0,"34,687",,
100,中正區,21臨時電力　　　　　　　,22,"1,241","220,197",,
100,中正區,22臨時用電小計　　　　　,**,"1,241","254,884",,
100,中正區,23總計（含臨時用電）　　,**,"335,438","159,877,957",,
100,中正區,24表燈合計　　　　　　　,**,"16,774","47,266,085",,
100,中正區,25綜合＆電力合計　　　　,**,"318,664","112,611,872",,
103,大同區,1表燈非營業用　　　　,"52,603",368,"23,908,100",,
103,大同區,2表燈營業用　　　　　　,"10,540","7,244","12,769,922",,
103,大同區,3表燈小計　　　　　　　,**,"7,612","36,678,022",,
103,大同區,4低壓綜合裝置非營業用　,＊,0,0,,
103,大同區,5低壓綜合需量非營業用　,422,"16,204","2,897,109",,
103,大同區,6低壓綜合非營業用電小計,**,"16,204","2,897,109",,
103,大同區,7低壓綜合裝置營業用　　,19,883,"112,038",,
103,大同區,8低壓綜合需量營業用　　,461,"19,747","5,444,655",,
103,大同區,9低壓綜合營業用電小計　,**,"20,630","5,556,693",,
103,大同區,10低壓綜合用電小計　　　,**,"36,834","8,453,802",,
103,大同區,11低壓裝置電力　　　　　,269,"2,398","289,131",,
103,大同區,12低壓需量電力　　　　　,26,850,"158,092",,
103,大同區,13低壓電力小計　　　　　,**,"3,248","447,223",,
103,大同區,14高壓電力　　　　　　　,87,"46,410","16,599,115",,
103,大同區,15特高壓電力　　　　　　,＊,"24,151","13,858,800",,
103,大同區,16高＆特高壓電力小計　　,**,"70,561","30,457,915",,
103,大同區,17電力小計　　　　　　　,**,"73,809","30,905,138",,
103,大同區,18綜合＆電力小計　　　　,**,"110,643","39,358,940",,
103,大同區,19電燈＆綜合＆電力小計　,**,"118,255","76,036,962",,
103,大同區,20臨時電燈　　　　　　　,25,0,"7,583",,
103,大同區,21臨時電力　　　　　　　,19,970,"194,783",,
103,大同區,22臨時用電小計　　　　　,**,970,"202,366",,
103,大同區,23總計（含臨時用電）　　,**,"118,255","76,239,328",,
103,大同區,24表燈合計　　　　　　　,**,"7,612","36,685,605",,
103,大同區,25綜合＆電力合計　　　　,**,"110,643","39,553,723",,
104,中山區,1表燈非營業用　　　　,"109,811","1,305","60,062,281",,
104,中山區,2表燈營業用　　　　　　,"20,739","35,765","41,693,655",,
104,中山區,3表燈小計　　　　　　　,**,"37,070","101,755,936",,
104,中山區,4低壓綜合裝置非營業用　,＊,130,"14,545",,
104,中山區,5低壓綜合需量非營業用　,"1,190","46,531","9,376,254",,
104,中山區,6低壓綜合非營業用電小計,**,"46,661","9,390,799",,
104,中山區,7低壓綜合裝置營業用　　,45,"1,908","300,307",,
104,中山區,8低壓綜合需量營業用　　,"1,567","71,803","20,858,998",,
104,中山區,9低壓綜合營業用電小計　,**,"73,711","21,159,305",,
104,中山區,10低壓綜合用電小計　　　,**,"120,372","30,550,104",,
104,中山區,11低壓裝置電力　　　　　,239,"2,715","353,966",,
104,中山區,12低壓需量電力　　　　　,9,724,"145,203",,
104,中山區,13低壓電力小計　　　　　,**,"3,439","499,169",,
104,中山區,14高壓電力　　　　　　　,321,"207,962","73,116,064",,
104,中山區,15特高壓電力　　　　　　,＊,"27,700","8,790,400",,
104,中山區,16高＆特高壓電力小計　　,**,"235,662","81,906,464",,
104,中山區,17電力小計　　　　　　　,**,"239,101","82,405,633",,
104,中山區,18綜合＆電力小計　　　　,**,"359,473","112,955,737",,
104,中山區,19電燈＆綜合＆電力小計　,**,"396,543","214,711,673",,
104,中山區,20臨時電燈　　　　　　　,36,0,"68,531",,
104,中山區,21臨時電力　　　　　　　,35,"2,669","497,580",,
104,中山區,22臨時用電小計　　　　　,**,"2,669","566,111",,
104,中山區,23總計（含臨時用電）　　,**,"396,543","215,277,784",,
104,中山區,24表燈合計　　　　　　　,**,"37,070","101,824,467",,
104,中山區,25綜合＆電力合計　　　　,**,"359,473","113,453,317",,
105,松山區,1表燈非營業用　　　　,"72,420","1,074","27,497,719",,
105,松山區,2表燈營業用　　　　　　,"11,523","17,009","19,677,621",,
105,松山區,3表燈小計　　　　　　　,**,"18,083","47,175,340",,
105,松山區,4低壓綜合裝置非營業用　,＊,137,"5,499",,
105,松山區,5低壓綜合需量非營業用　,543,"21,497","4,592,044",,
105,松山區,6低壓綜合非營業用電小計,**,"21,634","4,597,543",,
105,松山區,7低壓綜合裝置營業用　　,＊,154,"36,323",,
105,松山區,8低壓綜合需量營業用　　,823,"41,186","11,607,793",,
105,松山區,9低壓綜合營業用電小計　,**,"41,340","11,644,116",,
105,松山區,10低壓綜合用電小計　　　,**,"62,974","16,241,659",,
105,松山區,11低壓裝置電力　　　　　,65,597,"73,943",,
105,松山區,12低壓需量電力　　　　　,15,728,"178,366",,
105,松山區,13低壓電力小計　　　　　,**,"1,325","252,309",,
105,松山區,14高壓電力　　　　　　　,160,"133,902","48,086,885",,
105,松山區,15特高壓電力　　　　　　,＊,"8,600","5,489,600",,
105,松山區,16高＆特高壓電力小計　　,**,"142,502","53,576,485",,
105,松山區,17電力小計　　　　　　　,**,"143,827","53,828,794",,
105,松山區,18綜合＆電力小計　　　　,**,"206,801","70,070,453",,
105,松山區,19電燈＆綜合＆電力小計　,**,"224,884","117,245,793",,
105,松山區,20臨時電燈　　　　　　　,14,0,"1,528",,
105,松山區,21臨時電力　　　　　　　,18,947,"172,387",,
105,松山區,22臨時用電小計　　　　　,**,947,"173,915",,
105,松山區,23總計（含臨時用電）　　,**,"224,884","117,419,708",,
105,松山區,24表燈合計　　　　　　　,**,"18,083","47,176,868",,
105,松山區,25綜合＆電力合計　　　　,**,"206,801","70,242,840",,
106,大安區,1表燈非營業用　　　　,"110,689","1,475","76,592,074",,
106,大安區,2表燈營業用　　　　　　,"17,227","36,530","46,267,578",,
106,大安區,3表燈小計　　　　　　　,**,"38,005","122,859,652",,
106,大安區,4低壓綜合裝置非營業用　,6,235,"21,073",,
106,大安區,5低壓綜合需量非營業用　,"1,069","40,786","8,569,586",,
106,大安區,6低壓綜合非營業用電小計,**,"41,021","8,590,659",,
106,大安區,7低壓綜合裝置營業用　　,11,398,"108,491",,
106,大安區,8低壓綜合需量營業用　　,"1,424","64,179","18,656,933",,
106,大安區,9低壓綜合營業用電小計　,**,"64,577","18,765,424",,
106,大安區,10低壓綜合用電小計　　　,**,"105,598","27,356,083",,
106,大安區,11低壓裝置電力　　　　　,133,"1,520","258,955",,
106,大安區,12低壓需量電力　　　　　,＊,296,"58,003",,
106,大安區,13低壓電力小計　　　　　,**,"1,816","316,958",,
106,大安區,14高壓電力　　　　　　　,281,"210,348","76,261,167",,
106,大安區,15特高壓電力　　　　　　,＊,"22,699","9,840,033",,
106,大安區,16高＆特高壓電力小計　　,**,"233,047","86,101,200",,
106,大安區,17電力小計　　　　　　　,**,"234,863","86,418,158",,
106,大安區,18綜合＆電力小計　　　　,**,"340,461","113,774,241",,
106,大安區,19電燈＆綜合＆電力小計　,**,"378,466","236,633,893",,
106,大安區,20臨時電燈　　　　　　　,22,0,"165,873",,
106,大安區,21臨時電力　　　　　　　,20,"1,736","388,406",,
106,大安區,22臨時用電小計　　　　　,**,"1,736","554,279",,
106,大安區,23總計（含臨時用電）　　,**,"378,466","237,188,172",,
106,大安區,24表燈合計　　　　　　　,**,"38,005","123,025,525",,
106,大安區,25綜合＆電力合計　　　　,**,"340,461","114,162,647",,
108,萬華區,1表燈非營業用　　　　,"76,506",854,"32,728,851",,
108,萬華區,2表燈營業用　　　　　　,"9,196","13,440","15,252,031",,
108,萬華區,3表燈小計　　　　　　　,**,"14,294","47,980,882",,
108,萬華區,4低壓綜合裝置非營業用　,＊,0,0,,
108,萬華區,5低壓綜合需量非營業用　,327,"11,210","2,120,564",,
108,萬華區,6低壓綜合非營業用電小計,**,"11,210","2,120,564",,
108,萬華區,7低壓綜合裝置營業用　　,36,"1,646","376,689",,
108,萬華區,8低壓綜合需量營業用　　,711,"24,180","7,883,459",,
108,萬華區,9低壓綜合營業用電小計　,**,"25,826","8,260,148",,
108,萬華區,10低壓綜合用電小計　　　,**,"37,036","10,380,712",,
108,萬華區,11低壓裝置電力　　　　　,309,"3,220","554,482",,
108,萬華區,12低壓需量電力　　　　　,40,"1,331","245,654",,
108,萬華區,13低壓電力小計　　　　　,**,"4,551","800,136",,
108,萬華區,14高壓電力　　　　　　　,109,"45,395","16,558,971",,
108,萬華區,15特高壓電力　　　　　　,＊,0,0,,
108,萬華區,16高＆特高壓電力小計　　,**,"45,395","16,558,971",,
108,萬華區,17電力小計　　　　　　　,**,"49,946","17,359,107",,
108,萬華區,18綜合＆電力小計　　　　,**,"86,982","27,739,819",,
108,萬華區,19電燈＆綜合＆電力小計　,**,"101,276","75,720,701",,
108,萬華區,20臨時電燈　　　　　　　,17,0,"52,031",,
108,萬華區,21臨時電力　　　　　　　,17,940,"208,160",,
108,萬華區,22臨時用電小計　　　　　,**,940,"260,191",,
108,萬華區,23總計（含臨時用電）　　,**,"101,276","75,980,892",,
108,萬華區,24表燈合計　　　　　　　,**,"14,294","48,032,913",,
108,萬華區,25綜合＆電力合計　　　　,**,"86,982","27,947,979",,
