郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,348 ","1,278 ","19,849,432 ",
100,中正區,2表燈營業用,"9,869 ","19,121 ","14,362,956 ",
100,中正區,3表燈小計,**,"20,399 ","34,212,388 ",
100,中正區,4低壓綜合裝置非營業用,*,217 ,"17,315 ",
100,中正區,5低壓綜合需量非營業用,691 ,"30,202 ","4,296,189 ",
100,中正區,6低壓綜合非營業用電小計,**,"30,419 ","4,313,504 ",
100,中正區,7低壓綜合裝置營業用,26 ,"1,096 ","92,300 ",
100,中正區,8低壓綜合需量營業用,912 ,"39,118 ","7,270,971 ",
100,中正區,9低壓綜合營業用電小計,**,"40,214 ","7,363,271 ",
100,中正區,10低壓綜合用電小計,**,"70,633 ","11,676,775 ",
100,中正區,11低壓裝置電力,244 ,"2,568 ","167,733 ",
100,中正區,12低壓需量電力,6 ,107 ,"6,980 ",
100,中正區,13低壓電力小計,**,"2,675 ","174,713 ",
100,中正區,14高壓電力,295 ,"221,868 ","61,346,181 ",
100,中正區,15特高壓電力,*,"18,040 ","8,740,600 ",
100,中正區,16高＆特高壓電力小計,**,"239,908 ","70,086,781 ",
100,中正區,17電力小計,**,"242,583 ","70,261,494 ",
100,中正區,18綜合＆電力小計,**,"313,216 ","81,938,269 ",
100,中正區,19電燈＆綜合＆電力小計,**,"333,615 ","116,150,657 ",
100,中正區,20臨時電燈,31 ,0 ,"37,857 ",
100,中正區,21臨時電力,22 ,"1,764 ","257,432 ",
100,中正區,22臨時用電小計,**,"1,764 ","295,289 ",
100,中正區,23總計（含臨時用電）,**,"333,615 ","116,445,946 ",
100,中正區,24表燈合計,**,"20,399 ","34,250,245 ",
100,中正區,25綜合＆電力合計,**,"313,216 ","82,195,701 ",
103,大同區,1表燈非營業用,"52,773 ",403 ,"12,771,365 ",
103,大同區,2表燈營業用,"10,652 ","8,553 ","8,988,187 ",
103,大同區,3表燈小計,**,"8,956 ","21,759,552 ",
103,大同區,4低壓綜合裝置非營業用,*,0 ,0 ,
103,大同區,5低壓綜合需量非營業用,444 ,"16,402 ","2,077,990 ",
103,大同區,6低壓綜合非營業用電小計,**,"16,402 ","2,077,990 ",
103,大同區,7低壓綜合裝置營業用,17 ,745 ,"68,884 ",
103,大同區,8低壓綜合需量營業用,463 ,"19,455 ","3,510,786 ",
103,大同區,9低壓綜合營業用電小計,**,"20,200 ","3,579,670 ",
103,大同區,10低壓綜合用電小計,**,"36,602 ","5,657,660 ",
103,大同區,11低壓裝置電力,260 ,"2,360 ","102,287 ",
103,大同區,12低壓需量電力,25 ,810 ,"79,782 ",
103,大同區,13低壓電力小計,**,"3,170 ","182,069 ",
103,大同區,14高壓電力,88 ,"45,305 ","12,213,921 ",
103,大同區,15特高壓電力,*,"25,608 ","12,121,600 ",
103,大同區,16高＆特高壓電力小計,**,"70,913 ","24,335,521 ",
103,大同區,17電力小計,**,"74,083 ","24,517,590 ",
103,大同區,18綜合＆電力小計,**,"110,685 ","30,175,250 ",
103,大同區,19電燈＆綜合＆電力小計,**,"119,641 ","51,934,802 ",
103,大同區,20臨時電燈,15 ,0 ,"30,139 ",
103,大同區,21臨時電力,15 ,810 ,"125,312 ",
103,大同區,22臨時用電小計,**,810 ,"155,451 ",
103,大同區,23總計（含臨時用電）,**,"119,641 ","52,090,253 ",
103,大同區,24表燈合計,**,"8,956 ","21,789,691 ",
103,大同區,25綜合＆電力合計,**,"110,685 ","30,300,562 ",
104,中山區,1表燈非營業用,"111,283 ","1,411 ","32,367,063 ",
104,中山區,2表燈營業用,"21,080 ","41,765 ","31,624,206 ",
104,中山區,3表燈小計,**,"43,176 ","63,991,269 ",
104,中山區,4低壓綜合裝置非營業用,*,130 ,"6,819 ",
104,中山區,5低壓綜合需量非營業用,"1,231 ","46,919 ","6,814,340 ",
104,中山區,6低壓綜合非營業用電小計,**,"47,049 ","6,821,159 ",
104,中山區,7低壓綜合裝置營業用,40 ,"1,622 ","148,018 ",
104,中山區,8低壓綜合需量營業用,"1,576 ","72,268 ","13,611,787 ",
104,中山區,9低壓綜合營業用電小計,**,"73,890 ","13,759,805 ",
104,中山區,10低壓綜合用電小計,**,"120,939 ","20,580,964 ",
104,中山區,11低壓裝置電力,223 ,"2,570 ","128,610 ",
104,中山區,12低壓需量電力,8 ,642 ,"83,004 ",
104,中山區,13低壓電力小計,**,"3,212 ","211,614 ",
104,中山區,14高壓電力,318 ,"209,190 ","54,988,987 ",
104,中山區,15特高壓電力,*,"23,700 ","7,094,000 ",
104,中山區,16高＆特高壓電力小計,**,"232,890 ","62,082,987 ",
