郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,404 ","1,332 ","19,084,541 ",
100,中正區,2表燈營業用,"9,866 ","19,231 ","13,186,491 ",
100,中正區,3表燈小計,**,"20,563 ","32,271,032 ",
100,中正區,4低壓綜合裝置非營業用,*,217 ,"17,368 ",
100,中正區,5低壓綜合需量非營業用,693 ,"30,255 ","4,411,283 ",
100,中正區,6低壓綜合非營業用電小計,**,"30,472 ","4,428,651 ",
100,中正區,7低壓綜合裝置營業用,26 ,"1,096 ","102,864 ",
100,中正區,8低壓綜合需量營業用,914 ,"39,292 ","7,829,630 ",
100,中正區,9低壓綜合營業用電小計,**,"40,388 ","7,932,494 ",
100,中正區,10低壓綜合用電小計,**,"70,860 ","12,361,145 ",
100,中正區,11低壓裝置電力,243 ,"2,551 ","222,493 ",
100,中正區,12低壓需量電力,6 ,107 ,"6,760 ",
100,中正區,13低壓電力小計,**,"2,658 ","229,253 ",
100,中正區,14高壓電力,296 ,"221,417 ","71,033,925 ",
100,中正區,15特高壓電力,*,"18,040 ","8,640,700 ",
100,中正區,16高＆特高壓電力小計,**,"239,457 ","79,674,625 ",
100,中正區,17電力小計,**,"242,115 ","79,903,878 ",
100,中正區,18綜合＆電力小計,**,"312,975 ","92,265,023 ",
100,中正區,19電燈＆綜合＆電力小計,**,"333,538 ","124,536,055 ",
100,中正區,20臨時電燈,29 ,0 ,"45,176 ",
100,中正區,21臨時電力,21 ,"1,194 ","179,469 ",
100,中正區,22臨時用電小計,**,"1,194 ","224,645 ",
100,中正區,23總計（含臨時用電）,**,"333,538 ","124,760,700 ",
100,中正區,24表燈合計,**,"20,563 ","32,316,208 ",
100,中正區,25綜合＆電力合計,**,"312,975 ","92,444,492 ",
103,大同區,1表燈非營業用,"52,783 ",349 ,"15,966,104 ",
103,大同區,2表燈營業用,"10,641 ","8,832 ","9,463,352 ",
103,大同區,3表燈小計,**,"9,181 ","25,429,456 ",
103,大同區,4低壓綜合裝置非營業用,*,0 ,0 ,
103,大同區,5低壓綜合需量非營業用,444 ,"16,464 ","2,236,261 ",
103,大同區,6低壓綜合非營業用電小計,**,"16,464 ","2,236,261 ",
103,大同區,7低壓綜合裝置營業用,17 ,745 ,"77,368 ",
103,大同區,8低壓綜合需量營業用,463 ,"19,421 ","3,945,047 ",
103,大同區,9低壓綜合營業用電小計,**,"20,166 ","4,022,415 ",
103,大同區,10低壓綜合用電小計,**,"36,630 ","6,258,676 ",
103,大同區,11低壓裝置電力,259 ,"2,355 ","139,558 ",
103,大同區,12低壓需量電力,25 ,810 ,"97,227 ",
103,大同區,13低壓電力小計,**,"3,165 ","236,785 ",
103,大同區,14高壓電力,88 ,"45,305 ","13,943,914 ",
103,大同區,15特高壓電力,*,"25,608 ","12,640,200 ",
103,大同區,16高＆特高壓電力小計,**,"70,913 ","26,584,114 ",
103,大同區,17電力小計,**,"74,078 ","26,820,899 ",
103,大同區,18綜合＆電力小計,**,"110,708 ","33,079,575 ",
103,大同區,19電燈＆綜合＆電力小計,**,"119,889 ","58,509,031 ",
103,大同區,20臨時電燈,15 ,0 ,"16,456 ",
103,大同區,21臨時電力,15 ,810 ,"138,454 ",
103,大同區,22臨時用電小計,**,810 ,"154,910 ",
103,大同區,23總計（含臨時用電）,**,"119,889 ","58,663,941 ",
103,大同區,24表燈合計,**,"9,181 ","25,445,912 ",
103,大同區,25綜合＆電力合計,**,"110,708 ","33,218,029 ",
104,中山區,1表燈非營業用,"111,384 ","1,409 ","39,373,437 ",
104,中山區,2表燈營業用,"21,065 ","42,133 ","30,530,408 ",
104,中山區,3表燈小計,**,"43,542 ","69,903,845 ",
104,中山區,4低壓綜合裝置非營業用,*,130 ,"8,513 ",
104,中山區,5低壓綜合需量非營業用,"1,232 ","47,068 ","7,108,006 ",
104,中山區,6低壓綜合非營業用電小計,**,"47,198 ","7,116,519 ",
104,中山區,7低壓綜合裝置營業用,40 ,"1,622 ","181,890 ",
104,中山區,8低壓綜合需量營業用,"1,579 ","72,386 ","15,089,205 ",
104,中山區,9低壓綜合營業用電小計,**,"74,008 ","15,271,095 ",
104,中山區,10低壓綜合用電小計,**,"121,206 ","22,387,614 ",
104,中山區,11低壓裝置電力,222 ,"2,561 ","176,508 ",
