郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,486","1,301","33,561,291",
100,中正區,2表燈營業用,"9,901","19,795","18,379,640",
100,中正區,3表燈小計,**,"21,096","51,940,931",
100,中正區,4低壓綜合裝置非營業用,*,217,"24,740",
100,中正區,5低壓綜合需量非營業用,693,"30,056","5,502,462",
100,中正區,6低壓綜合非營業用電小計,**,"30,273","5,527,202",
100,中正區,7低壓綜合裝置營業用,25,"1,076","146,776",
100,中正區,8低壓綜合需量營業用,911,"39,116","10,389,408",
100,中正區,9低壓綜合營業用電小計,**,"40,192","10,536,184",
100,中正區,10低壓綜合用電小計,**,"70,465","16,063,386",
100,中正區,11低壓裝置電力,240,"2,526","381,063",
100,中正區,12低壓需量電力,6,107,"12,312",
100,中正區,13低壓電力小計,**,"2,633","393,375",
100,中正區,14高壓電力,298,"219,864","75,927,306",
100,中正區,15特高壓電力,*,"16,940","8,879,100",
100,中正區,16高＆特高壓電力小計,**,"236,804","84,806,406",
100,中正區,17電力小計,**,"239,437","85,199,781",
100,中正區,18綜合＆電力小計,**,"309,902","101,263,167",
100,中正區,19電燈＆綜合＆電力小計,**,"330,998","153,204,098",
100,中正區,20臨時電燈,32,0,"93,281",
100,中正區,21臨時電力,24,"1,613","208,796",
100,中正區,22臨時用電小計,**,"1,613","302,077",
100,中正區,23總計（含臨時用電）,**,"330,998","153,506,175",
100,中正區,24表燈合計,**,"21,096","52,034,212",
100,中正區,25綜合＆電力合計,**,"309,902","101,471,963",
103,大同區,1表燈非營業用,"52,904",336,"29,484,476",
103,大同區,2表燈營業用,"10,651","9,366","14,131,554",
103,大同區,3表燈小計,**,"9,702","43,616,030",
103,大同區,4低壓綜合裝置非營業用,*,0,0,
103,大同區,5低壓綜合需量非營業用,451,"16,696","2,542,114",
103,大同區,6低壓綜合非營業用電小計,**,"16,696","2,542,114",
103,大同區,7低壓綜合裝置營業用,17,745,"108,343",
103,大同區,8低壓綜合需量營業用,458,"19,389","4,858,325",
103,大同區,9低壓綜合營業用電小計,**,"20,134","4,966,668",
103,大同區,10低壓綜合用電小計,**,"36,830","7,508,782",
103,大同區,11低壓裝置電力,258,"2,343","273,431",
103,大同區,12低壓需量電力,25,810,"127,638",
103,大同區,13低壓電力小計,**,"3,153","401,069",
103,大同區,14高壓電力,86,"45,061","15,380,940",
103,大同區,15特高壓電力,*,"23,771","13,220,400",
103,大同區,16高＆特高壓電力小計,**,"68,832","28,601,340",
103,大同區,17電力小計,**,"71,985","29,002,409",
103,大同區,18綜合＆電力小計,**,"108,815","36,511,191",
103,大同區,19電燈＆綜合＆電力小計,**,"118,517","80,127,221",
103,大同區,20臨時電燈,15,0,"15,365",
103,大同區,21臨時電力,14,676,"117,574",
103,大同區,22臨時用電小計,**,676,"132,939",
103,大同區,23總計（含臨時用電）,**,"118,517","80,260,160",
103,大同區,24表燈合計,**,"9,702","43,631,395",
103,大同區,25綜合＆電力合計,**,"108,815","36,628,765",
104,中山區,1表燈非營業用,"111,521","1,542","71,543,722",
104,中山區,2表燈營業用,"21,069","43,318","43,828,511",
104,中山區,3表燈小計,**,"44,860","115,372,233",
104,中山區,4低壓綜合裝置非營業用,*,130,"12,355",
104,中山區,5低壓綜合需量非營業用,"1,237","47,079","9,120,114",
104,中山區,6低壓綜合非營業用電小計,**,"47,209","9,132,469",
104,中山區,7低壓綜合裝置營業用,40,"1,622","245,669",
104,中山區,8低壓綜合需量營業用,"1,581","72,222","19,452,525",
104,中山區,9低壓綜合營業用電小計,**,"73,844","19,698,194",
104,中山區,10低壓綜合用電小計,**,"121,053","28,830,663",
104,中山區,11低壓裝置電力,218,"2,531","326,571",
104,中山區,12低壓需量電力,8,642,"125,739",
104,中山區,13低壓電力小計,**,"3,173","452,310",
104,中山區,14高壓電力,317,"208,205","70,224,848",
104,中山區,15特高壓電力,*,"18,692","8,779,600",
104,中山區,16高＆特高壓電力小計,**,"226,897","79,004,448",
104,中山區,17電力小計,**,"230,070","79,456,758",
104,中山區,18綜合＆電力小計,**,"351,123","108,287,421",
104,中山區,19電燈＆綜合＆電力小計,**,"395,983","223,659,654",
104,中山區,20臨時電燈,31,0,"31,713",
104,中山區,21臨時電力,36,"2,101","293,545",
104,中山區,22臨時用電小計,**,"2,101","325,258",
104,中山區,23總計（含臨時用電）,**,"395,983","223,984,912",
104,中山區,24表燈合計,**,"44,860","115,403,946",
104,中山區,25綜合＆電力合計,**,"351,123","108,580,966",
105,松山區,1表燈非營業用,"72,410",664,"33,878,561",
105,松山區,2表燈營業用,"11,861","21,300","21,151,116",
105,松山區,3表燈小計,**,"21,964","55,029,677",
