郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,502","1,264","35,210,307",
100,中正區,2表燈營業用,"9,913","19,800","23,774,726",
100,中正區,3表燈小計,**,"21,064","58,985,033",
100,中正區,4低壓綜合裝置非營業用,*,217,"26,167",
100,中正區,5低壓綜合需量非營業用,694,"29,716","5,825,910",
100,中正區,6低壓綜合非營業用電小計,**,"29,933","5,852,077",
100,中正區,7低壓綜合裝置營業用,25,"1,076","152,660",
100,中正區,8低壓綜合需量營業用,908,"39,026","10,771,763",
100,中正區,9低壓綜合營業用電小計,**,"40,102","10,924,423",
100,中正區,10低壓綜合用電小計,**,"70,035","16,776,500",
100,中正區,11低壓裝置電力,240,"2,526","377,476",
100,中正區,12低壓需量電力,6,107,"12,887",
100,中正區,13低壓電力小計,**,"2,633","390,363",
100,中正區,14高壓電力,300,"219,434","69,892,614",
100,中正區,15特高壓電力,*,"16,940","8,770,500",
100,中正區,16高＆特高壓電力小計,**,"236,374","78,663,114",
100,中正區,17電力小計,**,"239,007","79,053,477",
100,中正區,18綜合＆電力小計,**,"309,042","95,829,977",
100,中正區,19電燈＆綜合＆電力小計,**,"330,106","154,815,010",
100,中正區,20臨時電燈,32,0,"43,770",
100,中正區,21臨時電力,23,"1,502","220,093",
100,中正區,22臨時用電小計,**,"1,502","263,863",
100,中正區,23總計（含臨時用電）,**,"330,106","155,078,873",
100,中正區,24表燈合計,**,"21,064","59,028,803",
100,中正區,25綜合＆電力合計,**,"309,042","96,050,070",
103,大同區,1表燈非營業用,"53,098",346,"24,720,385",
103,大同區,2表燈營業用,"10,618","9,599","15,372,103",
103,大同區,3表燈小計,**,"9,945","40,092,488",
103,大同區,4低壓綜合裝置非營業用,*,0,0,
103,大同區,5低壓綜合需量非營業用,455,"16,925","2,699,604",
103,大同區,6低壓綜合非營業用電小計,**,"16,925","2,699,604",
103,大同區,7低壓綜合裝置營業用,17,745,"108,320",
103,大同區,8低壓綜合需量營業用,459,"19,491","4,992,553",
103,大同區,9低壓綜合營業用電小計,**,"20,236","5,100,873",
103,大同區,10低壓綜合用電小計,**,"37,161","7,800,477",
103,大同區,11低壓裝置電力,258,"2,343","259,613",
103,大同區,12低壓需量電力,25,810,"127,973",
103,大同區,13低壓電力小計,**,"3,153","387,586",
103,大同區,14高壓電力,86,"45,061","14,000,016",
103,大同區,15特高壓電力,*,"23,771","13,021,200",
103,大同區,16高＆特高壓電力小計,**,"68,832","27,021,216",
103,大同區,17電力小計,**,"71,985","27,408,802",
103,大同區,18綜合＆電力小計,**,"109,146","35,209,279",
103,大同區,19電燈＆綜合＆電力小計,**,"119,091","75,301,767",
103,大同區,20臨時電燈,15,0,"43,830",
103,大同區,21臨時電力,13,593,"106,693",
103,大同區,22臨時用電小計,**,593,"150,523",
103,大同區,23總計（含臨時用電）,**,"119,091","75,452,290",
103,大同區,24表燈合計,**,"9,945","40,136,318",
103,大同區,25綜合＆電力合計,**,"109,146","35,315,972",
104,中山區,1表燈非營業用,"111,516","1,676","59,415,520",
104,中山區,2表燈營業用,"21,071","43,701","51,066,207",
104,中山區,3表燈小計,**,"45,377","110,481,727",
104,中山區,4低壓綜合裝置非營業用,*,130,"12,714",
104,中山區,5低壓綜合需量非營業用,"1,241","47,005","9,549,348",
104,中山區,6低壓綜合非營業用電小計,**,"47,135","9,562,062",
104,中山區,7低壓綜合裝置營業用,40,"1,622","243,518",
104,中山區,8低壓綜合需量營業用,"1,579","72,161","20,076,229",
104,中山區,9低壓綜合營業用電小計,**,"73,783","20,319,747",
104,中山區,10低壓綜合用電小計,**,"120,918","29,881,809",
104,中山區,11低壓裝置電力,218,"2,531","315,775",
104,中山區,12低壓需量電力,8,642,"130,364",
104,中山區,13低壓電力小計,**,"3,173","446,139",
104,中山區,14高壓電力,317,"208,125","64,146,027",
104,中山區,15特高壓電力,*,"18,692","8,239,600",
104,中山區,16高＆特高壓電力小計,**,"226,817","72,385,627",
104,中山區,17電力小計,**,"229,990","72,831,766",
104,中山區,18綜合＆電力小計,**,"350,908","102,713,575",
104,中山區,19電燈＆綜合＆電力小計,**,"396,285","213,195,302",
104,中山區,20臨時電燈,33,0,"57,185",
104,中山區,21臨時電力,33,"2,000","327,184",
104,中山區,22臨時用電小計,**,"2,000","384,369",
104,中山區,23總計（含臨時用電）,**,"396,285","213,579,671",
104,中山區,24表燈合計,**,"45,377","110,538,912",
104,中山區,25綜合＆電力合計,**,"350,908","103,040,759",
105,松山區,1表燈非營業用,"72,385",680,"54,163,469",
105,松山區,2表燈營業用,"11,864","21,432","32,339,994",
105,松山區,3表燈小計,**,"22,112","86,503,463",
105,松山區,4低壓綜合裝置非營業用,*,137,"7,732",
105,松山區,5低壓綜合需量非營業用,552,"20,920","4,494,416",
105,松山區,6低壓綜合非營業用電小計,**,"21,057","4,502,148",
105,松山區,7低壓綜合裝置營業用,*,154,"38,751",
105,松山區,8低壓綜合需量營業用,815,"39,109","11,056,874",
105,松山區,9低壓綜合營業用電小計,**,"39,263","11,095,625",
105,松山區,10低壓綜合用電小計,**,"60,320","15,597,773",
105,松山區,11低壓裝置電力,62,561,"63,970",
105,松山區,12低壓需量電力,12,652,"150,459",
105,松山區,13低壓電力小計,**,"1,213","214,429",
105,松山區,14高壓電力,159,"130,551","39,951,958",
105,松山區,15特高壓電力,*,"8,144","4,340,800",
105,松山區,16高＆特高壓電力小計,**,"138,695","44,292,758",
105,松山區,17電力小計,**,"139,908","44,507,187",
105,松山區,18綜合＆電力小計,**,"200,228","60,104,960",
105,松山區,19電燈＆綜合＆電力小計,**,"222,340","146,608,423",
105,松山區,20臨時電燈,9,0,"51,374",
105,松山區,21臨時電力,15,"1,165","193,800",
105,松山區,22臨時用電小計,**,"1,165","245,174",
105,松山區,23總計（含臨時用電）,**,"222,340","146,853,597",
105,松山區,24表燈合計,**,"22,112","86,554,837",
105,松山區,25綜合＆電力合計,**,"200,228","60,298,760",
106,大安區,1表燈非營業用,"111,137","1,784","58,207,287",
106,大安區,2表燈營業用,"17,443","43,803","36,589,137",
106,大安區,3表燈小計,**,"45,587","94,796,424",
106,大安區,4低壓綜合裝置非營業用,6,235,"16,129",
106,大安區,5低壓綜合需量非營業用,"1,085","41,293","8,931,161",
106,大安區,6低壓綜合非營業用電小計,**,"41,528","8,947,290",
106,大安區,7低壓綜合裝置營業用,11,398,"118,818",
106,大安區,8低壓綜合需量營業用,"1,466","63,917","18,160,400",
106,大安區,9低壓綜合營業用電小計,**,"64,315","18,279,218",
106,大安區,10低壓綜合用電小計,**,"105,843","27,226,508",
106,大安區,11低壓裝置電力,126,"1,467","197,650",
106,大安區,12低壓需量電力,*,296,"53,900",
106,大安區,13低壓電力小計,**,"1,763","251,550",
106,大安區,14高壓電力,277,"209,836","68,059,890",
106,大安區,15特高壓電力,*,"20,146","9,442,278",
106,大安區,16高＆特高壓電力小計,**,"229,982","77,502,168",
106,大安區,17電力小計,**,"231,745","77,753,718",
106,大安區,18綜合＆電力小計,**,"337,588","104,980,226",
106,大安區,19電燈＆綜合＆電力小計,**,"383,175","199,776,650",
106,大安區,20臨時電燈,21,0,"82,919",
106,大安區,21臨時電力,28,"2,200","548,518",
106,大安區,22臨時用電小計,**,"2,200","631,437",
106,大安區,23總計（含臨時用電）,**,"383,175","200,408,087",
106,大安區,24表燈合計,**,"45,587","94,879,343",
106,大安區,25綜合＆電力合計,**,"337,588","105,528,744",
