郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用　　　　,"59,691","1,040","19,496,966",,,
100,中正區,2表燈營業用　　　　　　,"9,911","16,529","12,725,301",,,
100,中正區,3表燈小計　　　　　　　,**,"17,569","32,222,267",,,
100,中正區,4低壓綜合裝置非營業用　,＊,217,"13,537",,,
100,中正區,5低壓綜合需量非營業用　,681,"30,100","3,385,676",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,317","3,399,213",,,
100,中正區,7低壓綜合裝置營業用　　,27,"1,117","73,344",,,
100,中正區,8低壓綜合需量營業用　　,903,"39,514","5,526,325",,,
100,中正區,9低壓綜合營業用電小計　,**,"40,631","5,599,669",,,
100,中正區,10低壓綜合用電小計　　　,**,"70,948","8,998,882",,,
100,中正區,11低壓裝置電力　　　　　,252,"2,636","116,600",,,
100,中正區,12低壓需量電力　　　　　,6,107,"5,996",,,
100,中正區,13低壓電力小計　　　　　,**,"2,743","122,596",,,
100,中正區,14高壓電力　　　　　　　,300,"225,154","49,742,359",,,
100,中正區,15特高壓電力　　　　　　,＊,"18,040","8,282,500",,,
100,中正區,16高＆特高壓電力小計　　,**,"243,194","58,024,859",,,
100,中正區,17電力小計　　　　　　　,**,"245,937","58,147,455",,,
100,中正區,18綜合＆電力小計　　　　,**,"316,885","67,146,337",,,
100,中正區,19電燈＆綜合＆電力小計　,**,"334,454","99,368,604",,,
100,中正區,20臨時電燈　　　　　　　,31,0,"46,956",,,
100,中正區,21臨時電力　　　　　　　,23,"2,363","327,120",,,
100,中正區,22臨時用電小計　　　　　,**,"2,363","374,076",,,
100,中正區,23總計（含臨時用電）　　,**,"334,454","99,742,680",,,
100,中正區,24表燈合計　　　　　　　,**,"17,569","32,269,223",,,
100,中正區,25綜合＆電力合計　　　　,**,"316,885","67,473,457",,,
103,大同區,1表燈非營業用　　　　,"52,624",382,"12,425,587",,,
103,大同區,2表燈營業用　　　　　　,"10,594","7,443","8,429,101",,,
103,大同區,3表燈小計　　　　　　　,**,"7,825","20,854,688",,,
103,大同區,4低壓綜合裝置非營業用　,＊,0,0,,,
103,大同區,5低壓綜合需量非營業用　,416,"15,453","1,789,045",,,
103,大同區,6低壓綜合非營業用電小計,**,"15,453","1,789,045",,,
103,大同區,7低壓綜合裝置營業用　　,19,883,"49,817",,,
103,大同區,8低壓綜合需量營業用　　,463,"19,919","2,910,712",,,
103,大同區,9低壓綜合營業用電小計　,**,"20,802","2,960,529",,,
