郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,701","1,304","20,536,884",
100,中正區,2表燈營業用,"9,906","19,925","14,763,921",
100,中正區,3表燈小計,**,"21,229","35,300,805",
100,中正區,4低壓綜合裝置非營業用,*,217,"18,343",
100,中正區,5低壓綜合需量非營業用,701,"29,703","4,166,868",
100,中正區,6低壓綜合非營業用電小計,**,"29,920","4,185,211",
100,中正區,7低壓綜合裝置營業用,24,"1,024","85,440",
100,中正區,8低壓綜合需量營業用,909,"38,769","7,250,132",
100,中正區,9低壓綜合營業用電小計,**,"39,793","7,335,572",
100,中正區,10低壓綜合用電小計,**,"69,713","11,520,783",
100,中正區,11低壓裝置電力,238,"2,500","161,082",
100,中正區,12低壓需量電力,6,107,"9,720",
100,中正區,13低壓電力小計,**,"2,607","170,802",
100,中正區,14高壓電力,300,"218,469","59,114,717",
100,中正區,15特高壓電力,*,"16,940","8,423,900",
100,中正區,16高＆特高壓電力小計,**,"235,409","67,538,617",
100,中正區,17電力小計,**,"238,016","67,709,419",
100,中正區,18綜合＆電力小計,**,"307,729","79,230,202",
100,中正區,19電燈＆綜合＆電力小計,**,"328,958","114,531,007",
100,中正區,20臨時電燈,33,0,"56,864",
100,中正區,21臨時電力,30,"1,850","185,665",
100,中正區,22臨時用電小計,**,"1,850","242,529",
100,中正區,23總計（含臨時用電）,**,"328,958","114,773,536",
100,中正區,24表燈合計,**,"21,229","35,357,669",
100,中正區,25綜合＆電力合計,**,"307,729","79,415,867",
103,大同區,1表燈非營業用,"53,077",318,"14,100,865",
103,大同區,2表燈營業用,"10,580","9,513","9,265,359",
103,大同區,3表燈小計,**,"9,831","23,366,224",
103,大同區,4低壓綜合裝置非營業用,*,0,0,
103,大同區,5低壓綜合需量非營業用,455,"16,748","1,917,183",
103,大同區,6低壓綜合非營業用電小計,**,"16,748","1,917,183",
103,大同區,7低壓綜合裝置營業用,16,720,"54,943",
103,大同區,8低壓綜合需量營業用,457,"19,297","3,234,205",
103,大同區,9低壓綜合營業用電小計,**,"20,017","3,289,148",
103,大同區,10低壓綜合用電小計,**,"36,765","5,206,331",
103,大同區,11低壓裝置電力,254,"2,278","95,897",
103,大同區,12低壓需量電力,25,805,"74,869",
103,大同區,13低壓電力小計,**,"3,083","170,766",
103,大同區,14高壓電力,85,"44,797","12,300,333",
103,大同區,15特高壓電力,*,"23,771","11,480,400",
103,大同區,16高＆特高壓電力小計,**,"68,568","23,780,733",
103,大同區,17電力小計,**,"71,651","23,951,499",
103,大同區,18綜合＆電力小計,**,"108,416","29,157,830",
103,大同區,19電燈＆綜合＆電力小計,**,"118,247","52,524,054",
103,大同區,20臨時電燈,14,0,"39,037",
103,大同區,21臨時電力,16,1209,"92,827",
103,大同區,22臨時用電小計,**,1209,"131,864",
103,大同區,23總計（含臨時用電）,**,"118,247","52,655,918",
103,大同區,24表燈合計,**,"9,831","23,405,261",
103,大同區,25綜合＆電力合計,**,"108,416","29,250,657",
104,中山區,1表燈非營業用,"111,912","1,840","33,595,730",
104,中山區,2表燈營業用,"21,041","44,507","32,065,475",
104,中山區,3表燈小計,**,"46,347","65,661,205",
104,中山區,4低壓綜合裝置非營業用,*,130,"7,049",
104,中山區,5低壓綜合需量非營業用,"1,250","47,301","6,796,472",
104,中山區,6低壓綜合非營業用電小計,**,"47,431","6,803,521",
104,中山區,7低壓綜合裝置營業用,40,"1,622","156,680",
104,中山區,8低壓綜合需量營業用,"1,576","71,965","13,875,905",
104,中山區,9低壓綜合營業用電小計,**,"73,587","14,032,585",
104,中山區,10低壓綜合用電小計,**,"121,018","20,836,106",
104,中山區,11低壓裝置電力,215,"2,503","134,763",
104,中山區,12低壓需量電力,9,811,"93,649",
104,中山區,13低壓電力小計,**,"3,314","228,412",
104,中山區,14高壓電力,320,"210,487","55,246,306",
104,中山區,15特高壓電力,*,"18,692","7,339,200",
104,中山區,16高＆特高壓電力小計,**,"229,179","62,585,506",
104,中山區,17電力小計,**,"232,493","62,813,918",
104,中山區,18綜合＆電力小計,**,"353,511","83,650,024",
104,中山區,19電燈＆綜合＆電力小計,**,"399,858","149,311,229",
104,中山區,20臨時電燈,34,0,"57,467",
104,中山區,21臨時電力,31,"1,751","201,505",
104,中山區,22臨時用電小計,**,"1,751","258,972",
104,中山區,23總計（含臨時用電）,**,"399,858","149,570,201",
104,中山區,24表燈合計,**,"46,347","65,718,672",
104,中山區,25綜合＆電力合計,**,"353,511","83,851,529",
105,松山區,1表燈非營業用,"73,106",774,"30,336,136",
105,松山區,2表燈營業用,"11,965","21,366","20,720,718",
105,松山區,3表燈小計,**,"22,140","51,056,854",
105,松山區,4低壓綜合裝置非營業用,*,137,"6,303",
105,松山區,5低壓綜合需量非營業用,566,"21,691","3,430,029",
105,松山區,6低壓綜合非營業用電小計,**,"21,828","3,436,332",
105,松山區,7低壓綜合裝置營業用,*,154,"17,355",
105,松山區,8低壓綜合需量營業用,807,"38,773","7,877,996",
105,松山區,9低壓綜合營業用電小計,**,"38,927","7,895,351",
105,松山區,10低壓綜合用電小計,**,"60,755","11,331,683",
105,松山區,11低壓裝置電力,62,561,"27,090",
105,松山區,12低壓需量電力,11,602,"103,197",
105,松山區,13低壓電力小計,**,"1,163","130,287",
105,松山區,14高壓電力,160,"129,939","34,833,740",
105,松山區,15特高壓電力,*,"8,144","4,062,400",
105,松山區,16高＆特高壓電力小計,**,"138,083","38,896,140",
105,松山區,17電力小計,**,"139,246","39,026,427",
105,松山區,18綜合＆電力小計,**,"200,001","50,358,110",
105,松山區,19電燈＆綜合＆電力小計,**,"222,141","101,414,964",
105,松山區,20臨時電燈,7,0,35778,
105,松山區,21臨時電力,11,"1,041","160,880",
105,松山區,22臨時用電小計,**,"1,041","196,658",
105,松山區,23總計（含臨時用電）,**,"222,141","101,611,622",
105,松山區,24表燈合計,**,"22,140","51,092,632",
105,松山區,25綜合＆電力合計,**,"200,001","50,518,990",
106,大安區,1表燈非營業用,"111,281","1,847","33,286,459",
106,大安區,2表燈營業用,"17,431","44,372","23,711,178",
106,大安區,3表燈小計,**,"46,219","56,997,637",
106,大安區,4低壓綜合裝置非營業用,6,235,"14,490",
106,大安區,5低壓綜合需量非營業用,"1,095","41,467","6,423,724",
106,大安區,6低壓綜合非營業用電小計,**,"41,702","6,438,214",
106,大安區,7低壓綜合裝置營業用,11,398,"95,030",
106,大安區,8低壓綜合需量營業用,"1,451","62,345","12,780,130",
106,大安區,9低壓綜合營業用電小計,**,"62,743","12,875,160",
106,大安區,10低壓綜合用電小計,**,"104,445","19,313,374",
106,大安區,11低壓裝置電力,125,"1,462","123,252",
106,大安區,12低壓需量電力,*,308,"46,466",
106,大安區,13低壓電力小計,**,"1,770","169,718",
106,大安區,14高壓電力,277,"207,788","58,236,632",
106,大安區,15特高壓電力,*,"20,146","8,407,135",
