郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,496","1,335","34,158,755",
100,中正區,2表燈營業用,"9,892","19,692","22,558,180",
100,中正區,3表燈小計,**,"21,027","56,716,935",
100,中正區,4低壓綜合裝置非營業用,*,217,"23,359",
100,中正區,5低壓綜合需量非營業用,693,"30,072","5,486,552",
100,中正區,6低壓綜合非營業用電小計,**,"30,289","5,509,911",
100,中正區,7低壓綜合裝置營業用,25,"1,076","143,958",
100,中正區,8低壓綜合需量營業用,911,"39,178","10,228,535",
100,中正區,9低壓綜合營業用電小計,**,"40,254","10,372,493",
100,中正區,10低壓綜合用電小計,**,"70,543","15,882,404",
100,中正區,11低壓裝置電力,241,"2,536","374,050",
100,中正區,12低壓需量電力,6,107,"12,370",
100,中正區,13低壓電力小計,**,"2,643","386,420",
100,中正區,14高壓電力,295,"218,537","80,311,371",
100,中正區,15特高壓電力,*,"18,040","9,467,100",
100,中正區,16高＆特高壓電力小計,**,"236,577","89,778,471",
100,中正區,17電力小計,**,"239,220","90,164,891",
100,中正區,18綜合＆電力小計,**,"309,763","106,047,295",
100,中正區,19電燈＆綜合＆電力小計,**,"330,790","162,764,230",
100,中正區,20臨時電燈,30,0,"43,569",
100,中正區,21臨時電力,23,"1,418","198,941",
100,中正區,22臨時用電小計,**,"1,418","242,510",
100,中正區,23總計（含臨時用電）,**,"330,790","163,006,740",
100,中正區,24表燈合計,**,"21,027","56,760,504",
100,中正區,25綜合＆電力合計,**,"309,763","106,246,236",
103,大同區,1表燈非營業用,"52,884",317,"23,377,756",
103,大同區,2表燈營業用,"10,652","9,239","15,150,807",
103,大同區,3表燈小計,**,"9,556","38,528,563",
103,大同區,4低壓綜合裝置非營業用,*,0,0,
103,大同區,5低壓綜合需量非營業用,449,"16,521","2,581,981",
103,大同區,6低壓綜合非營業用電小計,**,"16,521","2,581,981",
103,大同區,7低壓綜合裝置營業用,17,745,"103,444",
103,大同區,8低壓綜合需量營業用,458,"19,377","4,868,108",
103,大同區,9低壓綜合營業用電小計,**,"20,122","4,971,552",
103,大同區,10低壓綜合用電小計,**,"36,643","7,553,533",
103,大同區,11低壓裝置電力,258,"2,343","265,346",
103,大同區,12低壓需量電力,25,810,"131,060",
103,大同區,13低壓電力小計,**,"3,153","396,406",
103,大同區,14高壓電力,87,"45,161","16,064,217",
