郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用　　　　,"59,605","1,024","30,558,459",,,
100,中正區,2表燈營業用　　　　　　,"9,833","16,527","17,531,746",,,
100,中正區,3表燈小計　　　　　　　,**,"17,551","48,090,205",,,
100,中正區,4低壓綜合裝置非營業用　,＊,217,"21,361",,,
100,中正區,5低壓綜合需量非營業用　,671,"30,235","5,491,979",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,452","5,513,340",,,
100,中正區,7低壓綜合裝置營業用　　,27,"1,117","150,942",,,
100,中正區,8低壓綜合需量營業用　　,895,"39,053","9,923,967",,,
100,中正區,9低壓綜合營業用電小計　,**,"40,170","10,074,909",,,
100,中正區,10低壓綜合用電小計　　　,**,"70,622","15,588,249",,,
100,中正區,11低壓裝置電力　　　　　,253,"2,645","376,641",,,
100,中正區,12低壓需量電力　　　　　,6,107,"10,714",,,
100,中正區,13低壓電力小計　　　　　,**,"2,752","387,355",,,
100,中正區,14高壓電力　　　　　　　,298,"226,969","74,504,141",,,
100,中正區,15特高壓電力　　　　　　,＊,"18,040","9,506,100",,,
100,中正區,16高＆特高壓電力小計　　,**,"245,009","84,010,241",,,
100,中正區,17電力小計　　　　　　　,**,"247,761","84,397,596",,,
100,中正區,18綜合＆電力小計　　　　,**,"318,383","99,985,845",,,
100,中正區,19電燈＆綜合＆電力小計　,**,"335,934","148,076,050",,,
100,中正區,20臨時電燈　　　　　　　,31,0,"54,758",,,
100,中正區,21臨時電力　　　　　　　,23,"1,522","189,706",,,
100,中正區,22臨時用電小計　　　　　,**,"1,522","244,464",,,
100,中正區,23總計（含臨時用電）　　,**,"335,934","148,320,514",,,
100,中正區,24表燈合計　　　　　　　,**,"17,551","48,144,963",,,
100,中正區,25綜合＆電力合計　　　　,**,"318,383","100,175,551",,,
103,大同區,1表燈非營業用　　　　,"52,525",368,"28,079,226",,,
103,大同區,2表燈營業用　　　　　　,"10,561","7,342","13,977,056",,,
103,大同區,3表燈小計　　　　　　　,**,"7,710","42,056,282",,,
103,大同區,4低壓綜合裝置非營業用　,＊,0,0,,,
103,大同區,5低壓綜合需量非營業用　,421,"16,072","2,605,164",,,
103,大同區,6低壓綜合非營業用電小計,**,"16,072","2,605,164",,,
103,大同區,7低壓綜合裝置營業用　　,19,883,"98,296",,,
103,大同區,8低壓綜合需量營業用　　,459,"19,740","4,954,642",,,
103,大同區,9低壓綜合營業用電小計　,**,"20,623","5,052,938",,,
103,大同區,10低壓綜合用電小計　　　,**,"36,695","7,658,102",,,
103,大同區,11低壓裝置電力　　　　　,268,"2,396","252,979",,,
103,大同區,12低壓需量電力　　　　　,25,835,"153,234",,,
103,大同區,13低壓電力小計　　　　　,**,"3,231","406,213",,,
103,大同區,14高壓電力　　　　　　　,87,"46,410","15,096,137",,,
103,大同區,15特高壓電力　　　　　　,＊,"24,151","12,894,000",,,
103,大同區,16高＆特高壓電力小計　　,**,"70,561","27,990,137",,,
103,大同區,17電力小計　　　　　　　,**,"73,792","28,396,350",,,
103,大同區,18綜合＆電力小計　　　　,**,"110,487","36,054,452",,,
103,大同區,19電燈＆綜合＆電力小計　,**,"118,197","78,110,734",,,
103,大同區,20臨時電燈　　　　　　　,23,0,"20,622",,,
103,大同區,21臨時電力　　　　　　　,19,976,"173,750",,,
103,大同區,22臨時用電小計　　　　　,**,976,"194,372",,,
103,大同區,23總計（含臨時用電）　　,**,"118,197","78,305,106",,,
103,大同區,24表燈合計　　　　　　　,**,"7,710","42,076,904",,,
103,大同區,25綜合＆電力合計　　　　,**,"110,487","36,228,202",,,
104,中山區,1表燈非營業用　　　　,"109,963","1,258","64,357,992",,,
104,中山區,2表燈營業用　　　　　　,"20,849","36,980","43,172,753",,,
104,中山區,3表燈小計　　　　　　　,**,"38,238","107,530,745",,,
104,中山區,4低壓綜合裝置非營業用　,＊,130,"15,336",,,
104,中山區,5低壓綜合需量非營業用　,"1,194","47,410","8,738,143",,,
104,中山區,6低壓綜合非營業用電小計,**,"47,540","8,753,479",,,
104,中山區,7低壓綜合裝置營業用　　,45,"1,908","279,105",,,
104,中山區,8低壓綜合需量營業用　　,"1,565","71,746","19,314,367",,,
104,中山區,9低壓綜合營業用電小計　,**,"73,654","19,593,472",,,
104,中山區,10低壓綜合用電小計　　　,**,"121,194","28,346,951",,,
104,中山區,11低壓裝置電力　　　　　,236,"2,688","312,609",,,
104,中山區,12低壓需量電力　　　　　,9,724,"142,969",,,
104,中山區,13低壓電力小計　　　　　,**,"3,412","455,578",,,
104,中山區,14高壓電力　　　　　　　,321,"208,032","65,160,419",,,
104,中山區,15特高壓電力　　　　　　,＊,"27,700","9,237,200",,,
104,中山區,16高＆特高壓電力小計　　,**,"235,732","74,397,619",,,
104,中山區,17電力小計　　　　　　　,**,"239,144","74,853,197",,,
104,中山區,18綜合＆電力小計　　　　,**,"360,338","103,200,148",,,
104,中山區,19電燈＆綜合＆電力小計　,**,"398,576","210,730,893",,,
104,中山區,20臨時電燈　　　　　　　,36,0,"83,963",,,
104,中山區,21臨時電力　　　　　　　,35,"2,439","346,769",,,
104,中山區,22臨時用電小計　　　　　,**,"2,439","430,732",,,
104,中山區,23總計（含臨時用電）　　,**,"398,576","211,161,625",,,
104,中山區,24表燈合計　　　　　　　,**,"38,238","107,614,708",,,
104,中山區,25綜合＆電力合計　　　　,**,"360,338","103,546,917",,,
105,松山區,1表燈非營業用　　　　,"72,343","1,047","32,101,144",,,
105,松山區,2表燈營業用　　　　　　,"11,605","17,634","20,593,065",,,
