郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,402 ","1,328 ","26,167,089 ",
100,中正區,2表燈營業用,"9,881 ","19,498 ","17,082,238 ",
100,中正區,3表燈小計,**,"20,826 ","43,249,327 ",
100,中正區,4低壓綜合裝置非營業用,*,217 ,"22,966 ",
100,中正區,5低壓綜合需量非營業用,693 ,"30,126 ","5,645,547 ",
100,中正區,6低壓綜合非營業用電小計,**,"30,343 ","5,668,513 ",
100,中正區,7低壓綜合裝置營業用,26 ,"1,096 ","141,800 ",
100,中正區,8低壓綜合需量營業用,912 ,"39,083 ","10,147,890 ",
100,中正區,9低壓綜合營業用電小計,**,"40,179 ","10,289,690 ",
100,中正區,10低壓綜合用電小計,**,"70,522 ","15,958,203 ",
100,中正區,11低壓裝置電力,241 ,"2,536 ","351,211 ",
100,中正區,12低壓需量電力,6 ,107 ,"11,785 ",
100,中正區,13低壓電力小計,**,"2,643 ","362,996 ",
100,中正區,14高壓電力,295 ,"218,357 ","77,691,468 ",
100,中正區,15特高壓電力,*,"18,040 ","9,367,700 ",
100,中正區,16高＆特高壓電力小計,**,"236,397 ","87,059,168 ",
100,中正區,17電力小計,**,"239,040 ","87,422,164 ",
100,中正區,18綜合＆電力小計,**,"309,562 ","103,380,367 ",
100,中正區,19電燈＆綜合＆電力小計,**,"330,388 ","146,629,694 ",
100,中正區,20臨時電燈,29 ,0 ,"72,479 ",
100,中正區,21臨時電力,22 ,"1,342 ","209,896 ",
100,中正區,22臨時用電小計,**,"1,342 ","282,375 ",
100,中正區,23總計（含臨時用電）,**,"330,388 ","146,912,069 ",
100,中正區,24表燈合計,**,"20,826 ","43,321,806 ",
100,中正區,25綜合＆電力合計,**,"309,562 ","103,590,263 ",
103,大同區,1表燈非營業用,"52,897 ",317 ,"21,684,701 ",
103,大同區,2表燈營業用,"10,640 ","9,083 ","12,514,285 ",
103,大同區,3表燈小計,**,"9,400 ","34,198,986 ",
103,大同區,4低壓綜合裝置非營業用,*,0 ,0 ,
103,大同區,5低壓綜合需量非營業用,445 ,"16,490 ","2,599,614 ",
103,大同區,6低壓綜合非營業用電小計,**,"16,490 ","2,599,614 ",
103,大同區,7低壓綜合裝置營業用,17 ,745 ,"109,054 ",
103,大同區,8低壓綜合需量營業用,463 ,"19,521 ","4,820,519 ",
103,大同區,9低壓綜合營業用電小計,**,"20,266 ","4,929,573 ",
