郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,433","1,304","20,365,119",
100,中正區,2表燈營業用,"9,944","19,780","12,944,984",
100,中正區,3表燈小計,**,"21,084","33,310,103",
100,中正區,4低壓綜合裝置非營業用,*,217,"15,446",
100,中正區,5低壓綜合需量非營業用,698,"29,668","3,623,378",
100,中正區,6低壓綜合非營業用電小計,**,"29,885","3,638,824",
100,中正區,7低壓綜合裝置營業用,25,"1,076","73,285",
100,中正區,8低壓綜合需量營業用,909,"38,886","5,984,478",
100,中正區,9低壓綜合營業用電小計,**,"39,962","6,057,763",
100,中正區,10低壓綜合用電小計,**,"69,847","9,696,587",
100,中正區,11低壓裝置電力,238,"2,500","122,788",
100,中正區,12低壓需量電力,6,107,"9,212",
100,中正區,13低壓電力小計,**,"2,607","132,000",
100,中正區,14高壓電力,299,"218,869","45,059,782",
100,中正區,15特高壓電力,*,"16,940","7,517,300",
100,中正區,16高＆特高壓電力小計,**,"235,809","52,577,082",
100,中正區,17電力小計,**,"238,416","52,709,082",
100,中正區,18綜合＆電力小計,**,"308,263","62,405,669",
100,中正區,19電燈＆綜合＆電力小計,**,"329,347","95,715,772",
100,中正區,20臨時電燈,33,0,"48,811",
100,中正區,21臨時電力,27,"1,757","157,276",
100,中正區,22臨時用電小計,**,"1,757","206,087",
100,中正區,23總計（含臨時用電）,**,"329,347","95,921,859",
100,中正區,24表燈合計,**,"21,084","33,358,914",
100,中正區,25綜合＆電力合計,**,"308,263","62,562,945",
103,大同區,1表燈非營業用,"53,147",326,"12,982,358",
103,大同區,2表燈營業用,"10,600","9,578","9,114,745",
103,大同區,3表燈小計,**,"9,904","22,097,103",
103,大同區,4低壓綜合裝置非營業用,*,0,0,
103,大同區,5低壓綜合需量非營業用,456,"16,842","1,915,086",
103,大同區,6低壓綜合非營業用電小計,**,"16,842","1,915,086",
103,大同區,7低壓綜合裝置營業用,16,720,"51,532",
103,大同區,8低壓綜合需量營業用,457,"19,296","3,072,451",
103,大同區,9低壓綜合營業用電小計,**,"20,016","3,123,983",
103,大同區,10低壓綜合用電小計,**,"36,858","5,039,069",
103,大同區,11低壓裝置電力,254,"2,278","88,522",
103,大同區,12低壓需量電力,25,805,"72,268",
103,大同區,13低壓電力小計,**,"3,083","160,790",
103,大同區,14高壓電力,86,"45,061","9,536,699",
103,大同區,15特高壓電力,*,"23,771","9,955,200",
