郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,420 ","1,332 ","22,138,860 ",
100,中正區,2表燈營業用,"9,861 ","19,418 ","18,088,406 ",
100,中正區,3表燈小計,**,"20,750 ","40,227,266 ",
100,中正區,4低壓綜合裝置非營業用,*,217 ,"19,140 ",
100,中正區,5低壓綜合需量非營業用,693 ,"30,094 ","4,934,562 ",
100,中正區,6低壓綜合非營業用電小計,**,"30,311 ","4,953,702 ",
100,中正區,7低壓綜合裝置營業用,26 ,"1,096 ","122,861 ",
100,中正區,8低壓綜合需量營業用,912 ,"39,202 ","8,929,264 ",
100,中正區,9低壓綜合營業用電小計,**,"40,298 ","9,052,125 ",
100,中正區,10低壓綜合用電小計,**,"70,609 ","14,005,827 ",
100,中正區,11低壓裝置電力,241 ,"2,536 ","285,520 ",
100,中正區,12低壓需量電力,6 ,107 ,"8,248 ",
100,中正區,13低壓電力小計,**,"2,643 ","293,768 ",
100,中正區,14高壓電力,295 ,"218,498 ","73,953,929 ",
100,中正區,15特高壓電力,*,"18,040 ","8,992,700 ",
100,中正區,16高＆特高壓電力小計,**,"236,538 ","82,946,629 ",
100,中正區,17電力小計,**,"239,181 ","83,240,397 ",
100,中正區,18綜合＆電力小計,**,"309,790 ","97,246,224 ",
100,中正區,19電燈＆綜合＆電力小計,**,"330,540 ","137,473,490 ",
100,中正區,20臨時電燈,29 ,0 ,"40,726 ",
100,中正區,21臨時電力,22 ,"1,342 ","184,707 ",
100,中正區,22臨時用電小計,**,"1,342 ","225,433 ",
100,中正區,23總計（含臨時用電）,**,"330,540 ","137,698,923 ",
100,中正區,24表燈合計,**,"20,750 ","40,267,992 ",
100,中正區,25綜合＆電力合計,**,"309,790 ","97,430,931 ",
103,大同區,1表燈非營業用,"52,910 ",349 ,"15,592,034 ",
103,大同區,2表燈營業用,"10,628 ","8,885 ","11,817,678 ",
103,大同區,3表燈小計,**,"9,234 ","27,409,712 ",
103,大同區,4低壓綜合裝置非營業用,*,0 ,0 ,
103,大同區,5低壓綜合需量非營業用,445 ,"16,510 ","2,298,647 ",
103,大同區,6低壓綜合非營業用電小計,**,"16,510 ","2,298,647 ",
103,大同區,7低壓綜合裝置營業用,17 ,745 ,"91,333 ",
103,大同區,8低壓綜合需量營業用,464 ,"19,549 ","4,279,610 ",
103,大同區,9低壓綜合營業用電小計,**,"20,294 ","4,370,943 ",
103,大同區,10低壓綜合用電小計,**,"36,804 ","6,669,590 ",
103,大同區,11低壓裝置電力,259 ,"2,355 ","177,801 ",
103,大同區,12低壓需量電力,25 ,810 ,"110,802 ",
103,大同區,13低壓電力小計,**,"3,165 ","288,603 ",
103,大同區,14高壓電力,88 ,"45,305 ","14,801,743 ",
103,大同區,15特高壓電力,*,"23,771 ","13,020,000 ",
103,大同區,16高＆特高壓電力小計,**,"69,076 ","27,821,743 ",
103,大同區,17電力小計,**,"72,241 ","28,110,346 ",
103,大同區,18綜合＆電力小計,**,"109,045 ","34,779,936 ",
103,大同區,19電燈＆綜合＆電力小計,**,"118,279 ","62,189,648 ",
103,大同區,20臨時電燈,15 ,0 ,"41,263 ",
103,大同區,21臨時電力,14 ,574 ,"103,854 ",
103,大同區,22臨時用電小計,**,574 ,"145,117 ",
103,大同區,23總計（含臨時用電）,**,"118,279 ","62,334,765 ",
103,大同區,24表燈合計,**,"9,234 ","27,450,975 ",
103,大同區,25綜合＆電力合計,**,"109,045 ","34,883,790 ",
104,中山區,1表燈非營業用,"111,416 ","1,463 ","35,382,933 ",
104,中山區,2表燈營業用,"21,037 ","42,389 ","39,111,729 ",
104,中山區,3表燈小計,**,"43,852 ","74,494,662 ",
104,中山區,4低壓綜合裝置非營業用,*,130 ,"9,571 ",
104,中山區,5低壓綜合需量非營業用,"1,230 ","47,002 ","7,540,815 ",
104,中山區,6低壓綜合非營業用電小計,**,"47,132 ","7,550,386 ",
104,中山區,7低壓綜合裝置營業用,40 ,"1,622 ","207,972 ",
104,中山區,8低壓綜合需量營業用,"1,580 ","72,314 ","16,076,216 ",
104,中山區,9低壓綜合營業用電小計,**,"73,936 ","16,284,188 ",
104,中山區,10低壓綜合用電小計,**,"121,068 ","23,834,574 ",
104,中山區,11低壓裝置電力,220 ,"2,547 ","220,182 ",
104,中山區,12低壓需量電力,8 ,642 ,"106,685 ",
104,中山區,13低壓電力小計,**,"3,189 ","326,867 ",
104,中山區,14高壓電力,317 ,"208,593 ","68,490,241 ",
104,中山區,15特高壓電力,*,"21,192 ","8,404,800 ",
104,中山區,16高＆特高壓電力小計,**,"229,785 ","76,895,041 ",
104,中山區,17電力小計,**,"232,974 ","77,221,908 ",
104,中山區,18綜合＆電力小計,**,"354,042 ","101,056,482 ",
104,中山區,19電燈＆綜合＆電力小計,**,"397,894 ","175,551,144 ",
104,中山區,20臨時電燈,32 ,0 ,"64,546 ",
104,中山區,21臨時電力,35 ,"2,245 ","227,104 ",
104,中山區,22臨時用電小計,**,"2,245 ","291,650 ",
104,中山區,23總計（含臨時用電）,**,"397,894 ","175,842,794 ",
104,中山區,24表燈合計,**,"43,852 ","74,559,208 ",
104,中山區,25綜合＆電力合計,**,"354,042 ","101,283,586 ",
105,松山區,1表燈非營業用,"72,433 ",660 ,"32,621,039 ",
105,松山區,2表燈營業用,"11,817 ","20,531 ","24,646,305 ",
105,松山區,3表燈小計,**,"21,191 ","57,267,344 ",
105,松山區,4低壓綜合裝置非營業用,*,137 ,"6,360 ",
105,松山區,5低壓綜合需量非營業用,552 ,"21,044 ","3,570,712 ",
105,松山區,6低壓綜合非營業用電小計,**,"21,181 ","3,577,072 ",
105,松山區,7低壓綜合裝置營業用,*,154 ,"29,868 ",
105,松山區,8低壓綜合需量營業用,814 ,"39,102 ","8,960,493 ",
105,松山區,9低壓綜合營業用電小計,**,"39,256 ","8,990,361 ",
105,松山區,10低壓綜合用電小計,**,"60,437 ","12,567,433 ",
105,松山區,11低壓裝置電力,62 ,561 ,"40,996 ",
105,松山區,12低壓需量電力,12 ,652 ,"129,471 ",
105,松山區,13低壓電力小計,**,"1,213 ","170,467 ",
105,松山區,14高壓電力,160 ,"130,761 ","43,269,593 ",
105,松山區,15特高壓電力,*,"8,144 ","4,278,400 ",
105,松山區,16高＆特高壓電力小計,**,"138,905 ","47,547,993 ",
105,松山區,17電力小計,**,"140,118 ","47,718,460 ",
105,松山區,18綜合＆電力小計,**,"200,555 ","60,285,893 ",
105,松山區,19電燈＆綜合＆電力小計,**,"221,746 ","117,553,237 ",
105,松山區,20臨時電燈,9 ,0 ,"20,569 ",
105,松山區,21臨時電力,16 ,"5,210 ","159,760 ",
105,松山區,22臨時用電小計,**,"5,210 ","180,329 ",
105,松山區,23總計（含臨時用電）,**,"221,746 ","117,733,566 ",
105,松山區,24表燈合計,**,"21,191 ","57,287,913 ",
105,松山區,25綜合＆電力合計,**,"200,555 ","60,445,653 ",
106,大安區,1表燈非營業用,"111,159 ","1,715 ","36,523,340 ",
106,大安區,2表燈營業用,"17,385 ","42,941 ","27,833,893 ",
106,大安區,3表燈小計,**,"44,656 ","64,357,233 ",
106,大安區,4低壓綜合裝置非營業用,6 ,235 ,"13,265 ",
106,大安區,5低壓綜合需量非營業用,"1,081 ","40,808 ","7,037,701 ",
106,大安區,6低壓綜合非營業用電小計,**,"41,043 ","7,050,966 ",
106,大安區,7低壓綜合裝置營業用,11 ,398 ,"92,089 ",
106,大安區,8低壓綜合需量營業用,"1,469 ","64,026 ","14,532,827 ",
106,大安區,9低壓綜合營業用電小計,**,"64,424 ","14,624,916 ",
106,大安區,10低壓綜合用電小計,**,"105,467 ","21,675,882 ",
106,大安區,11低壓裝置電力,128 ,"1,487 ","153,076 ",
106,大安區,12低壓需量電力,*,296 ,"47,409 ",
106,大安區,13低壓電力小計,**,"1,783 ","200,485 ",
106,大安區,14高壓電力,280 ,"211,789 ","73,713,253 ",
106,大安區,15特高壓電力,*,"20,146 ","9,184,718 ",
106,大安區,16高＆特高壓電力小計,**,"231,935 ","82,897,971 ",
106,大安區,17電力小計,**,"233,718 ","83,098,456 ",
106,大安區,18綜合＆電力小計,**,"339,185 ","104,774,338 ",
106,大安區,19電燈＆綜合＆電力小計,**,"383,841 ","169,131,571 ",
106,大安區,20臨時電燈,20 ,0 ,"52,146 ",
106,大安區,21臨時電力,29 ,"3,025 ","528,895 ",
106,大安區,22臨時用電小計,**,"3,025 ","581,041 ",
106,大安區,23總計（含臨時用電）,**,"383,841 ","169,712,612 ",
106,大安區,24表燈合計,**,"44,656 ","64,409,379 ",
106,大安區,25綜合＆電力合計,**,"339,185 ","105,303,233 ",
108,萬華區,1表燈非營業用,"77,812 ","1,089 ","23,288,762 ",
108,萬華區,2表燈營業用,"9,140 ","16,277 ","11,024,890 ",
108,萬華區,3表燈小計,**,"17,366 ","34,313,652 ",
108,萬華區,4低壓綜合裝置非營業用,*,0 ,0 ,
108,萬華區,5低壓綜合需量非營業用,347 ,"11,797 ","1,930,820 ",
108,萬華區,6低壓綜合非營業用電小計,**,"11,797 ","1,930,820 ",
108,萬華區,7低壓綜合裝置營業用,35 ,"1,584 ","243,899 ",
108,萬華區,8低壓綜合需量營業用,709 ,"23,678 ","5,908,665 ",
108,萬華區,9低壓綜合營業用電小計,**,"25,262 ","6,152,564 ",
108,萬華區,10低壓綜合用電小計,**,"37,059 ","8,083,384 ",
108,萬華區,11低壓裝置電力,293 ,"3,093 ","325,884 ",
108,萬華區,12低壓需量電力,39 ,"1,313 ","200,814 ",
108,萬華區,13低壓電力小計,**,"4,406 ","526,698 ",
108,萬華區,14高壓電力,108 ,"44,845 ","15,238,103 ",
108,萬華區,15特高壓電力,*,0 ,0 ,
108,萬華區,16高＆特高壓電力小計,**,"44,845 ","15,238,103 ",
108,萬華區,17電力小計,**,"49,251 ","15,764,801 ",
108,萬華區,18綜合＆電力小計,**,"86,310 ","23,848,185 ",
108,萬華區,19電燈＆綜合＆電力小計,**,"103,676 ","58,161,837 ",
108,萬華區,20臨時電燈,11 ,0 ,"19,323 ",
108,萬華區,21臨時電力,17 ,"2,030 ","379,720 ",
108,萬華區,22臨時用電小計,**,"2,030 ","399,043 ",
108,萬華區,23總計（含臨時用電）,**,"103,676 ","58,560,880 ",
108,萬華區,24表燈合計,**,"17,366 ","34,332,975 ",
108,萬華區,25綜合＆電力合計,**,"86,310 ","24,227,905 ",
110,信義區,1表燈非營業用,"84,395 ",873 ,"21,246,151 ",
110,信義區,2表燈營業用,"10,302 ","14,263 ","11,371,895 ",
110,信義區,3表燈小計,**,"15,136 ","32,618,046 ",
110,信義區,4低壓綜合裝置非營業用,*,138 ,"4,040 ",
110,信義區,5低壓綜合需量非營業用,555 ,"25,332 ","4,583,184 ",
110,信義區,6低壓綜合非營業用電小計,**,"25,470 ","4,587,224 ",
110,信義區,7低壓綜合裝置營業用,*,28 ,"10,103 ",
110,信義區,8低壓綜合需量營業用,549 ,"24,403 ","5,716,430 ",
110,信義區,9低壓綜合營業用電小計,**,"24,431 ","5,726,533 ",
110,信義區,10低壓綜合用電小計,**,"49,901 ","10,313,757 ",
110,信義區,11低壓裝置電力,22 ,234 ,"35,347 ",
110,信義區,12低壓需量電力,6 ,705 ,"143,578 ",
110,信義區,13低壓電力小計,**,939 ,"178,925 ",
110,信義區,14高壓電力,143 ,"196,415 ","71,465,269 ",
110,信義區,15特高壓電力,*,"7,825 ","3,302,400 ",
110,信義區,16高＆特高壓電力小計,**,"204,240 ","74,767,669 ",
110,信義區,17電力小計,**,"205,179 ","74,946,594 ",
110,信義區,18綜合＆電力小計,**,"255,080 ","85,260,351 ",
110,信義區,19電燈＆綜合＆電力小計,**,"270,216 ","117,878,397 ",
