郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,322 ","1,280 ","18,283,650 ",
100,中正區,2表燈營業用,"9,877 ","19,040 ","10,654,524 ",
100,中正區,3表燈小計,**,"20,320 ","28,938,174 ",
100,中正區,4低壓綜合裝置非營業用,*,217 ,"14,981 ",
100,中正區,5低壓綜合需量非營業用,690 ,"30,096 ","3,694,010 ",
100,中正區,6低壓綜合非營業用電小計,**,"30,313 ","3,708,991 ",
100,中正區,7低壓綜合裝置營業用,27 ,"1,117 ","78,638 ",
100,中正區,8低壓綜合需量營業用,913 ,"39,244 ","6,129,636 ",
100,中正區,9低壓綜合營業用電小計,**,"40,361 ","6,208,274 ",
100,中正區,10低壓綜合用電小計,**,"70,674 ","9,917,265 ",
100,中正區,11低壓裝置電力,244 ,"2,568 ","130,194 ",
100,中正區,12低壓需量電力,6 ,107 ,"5,986 ",
100,中正區,13低壓電力小計,**,"2,675 ","136,180 ",
100,中正區,14高壓電力,295 ,"221,569 ","59,142,802 ",
100,中正區,15特高壓電力,*,"18,040 ","8,508,000 ",
100,中正區,16高＆特高壓電力小計,**,"239,609 ","67,650,802 ",
100,中正區,17電力小計,**,"242,284 ","67,786,982 ",
100,中正區,18綜合＆電力小計,**,"312,958 ","77,704,247 ",
100,中正區,19電燈＆綜合＆電力小計,**,"333,278 ","106,642,421 ",
100,中正區,20臨時電燈,31 ,0 ,"40,399 ",
100,中正區,21臨時電力,22 ,"1,815 ","190,387 ",
100,中正區,22臨時用電小計,**,"1,815 ","230,786 ",
100,中正區,23總計（含臨時用電）,**,"333,278 ","106,873,207 ",
100,中正區,24表燈合計,**,"20,320 ","28,978,573 ",
100,中正區,25綜合＆電力合計,**,"312,958 ","77,894,634 ",
103,大同區,1表燈非營業用,"52,798 ",403 ,"15,630,079 ",
103,大同區,2表燈營業用,"10,632 ","8,387 ","8,085,182 ",
103,大同區,3表燈小計,**,"8,790 ","23,715,261 ",
103,大同區,4低壓綜合裝置非營業用,*,0 ,0 ,
103,大同區,5低壓綜合需量非營業用,442 ,"16,377 ","1,873,436 ",
103,大同區,6低壓綜合非營業用電小計,**,"16,377 ","1,873,436 ",
103,大同區,7低壓綜合裝置營業用,17 ,745 ,"61,541 ",
103,大同區,8低壓綜合需量營業用,465 ,"19,519 ","3,111,579 ",
