郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,544","1,304","19,460,316",
100,中正區,2表燈營業用,"9,907","19,847","11,193,929",
100,中正區,3表燈小計,**,"21,151","30,654,245",
100,中正區,4低壓綜合裝置非營業用,*,217,"15,599",
100,中正區,5低壓綜合需量非營業用,700,"29,663","4,009,291",
100,中正區,6低壓綜合非營業用電小計,**,"29,880","4,024,890",
100,中正區,7低壓綜合裝置營業用,25,"1,076","84,385",
100,中正區,8低壓綜合需量營業用,907,"38,767","6,728,045",
100,中正區,9低壓綜合營業用電小計,**,"39,843","6,812,430",
100,中正區,10低壓綜合用電小計,**,"69,723","10,837,320",
100,中正區,11低壓裝置電力,238,"2,500","143,723",
100,中正區,12低壓需量電力,6,107,"10,761",
100,中正區,13低壓電力小計,**,"2,607","154,484",
100,中正區,14高壓電力,300,"218,869","58,759,462",
100,中正區,15特高壓電力,*,"16,940","8,762,700",
100,中正區,16高＆特高壓電力小計,**,"235,809","67,522,162",
100,中正區,17電力小計,**,"238,416","67,676,646",
100,中正區,18綜合＆電力小計,**,"308,139","78,513,966",
100,中正區,19電燈＆綜合＆電力小計,**,"329,290","109,168,211",
100,中正區,20臨時電燈,34,0,"43,900",
100,中正區,21臨時電力,30,"2,000","181,191",
100,中正區,22臨時用電小計,**,"2,000","225,091",
100,中正區,23總計（含臨時用電）,**,"329,290","109,393,302",
100,中正區,24表燈合計,**,"21,151","30,698,145",
100,中正區,25綜合＆電力合計,**,"308,139","78,695,157",
103,大同區,1表燈非營業用,"53,121",326,"16,941,898",
103,大同區,2表燈營業用,"10,605","9,530","8,407,280",
103,大同區,3表燈小計,**,"9,856","25,349,178",
103,大同區,4低壓綜合裝置非營業用,*,0,0,
103,大同區,5低壓綜合需量非營業用,455,"16,784","2,155,755",
103,大同區,6低壓綜合非營業用電小計,**,"16,784","2,155,755",
103,大同區,7低壓綜合裝置營業用,16,720,"57,985",
103,大同區,8低壓綜合需量營業用,457,"19,296","3,349,479",
103,大同區,9低壓綜合營業用電小計,**,"20,016","3,407,464",
103,大同區,10低壓綜合用電小計,**,"36,800","5,563,219",
103,大同區,11低壓裝置電力,254,"2,278","96,843",
103,大同區,12低壓需量電力,25,805,"72,957",
103,大同區,13低壓電力小計,**,"3,083","169,800",
103,大同區,14高壓電力,86,"44,897","11,949,719",
103,大同區,15特高壓電力,*,"23,771","11,868,000",
103,大同區,16高＆特高壓電力小計,**,"68,668","23,817,719",
103,大同區,17電力小計,**,"71,751","23,987,519",
103,大同區,18綜合＆電力小計,**,"108,551","29,550,738",
103,大同區,19電燈＆綜合＆電力小計,**,"118,407","54,899,916",
103,大同區,20臨時電燈,15,0,"17,294",
103,大同區,21臨時電力,16,1248,"96,627",
103,大同區,22臨時用電小計,**,1248,"113,921",
103,大同區,23總計（含臨時用電）,**,"118,407","55,013,837",
103,大同區,24表燈合計,**,"9,856","25,366,472",
103,大同區,25綜合＆電力合計,**,"108,551","29,647,365",
104,中山區,1表燈非營業用,"111,926","1,836","39,789,641",
104,中山區,2表燈營業用,"21,013","44,642","25,509,857",
104,中山區,3表燈小計,**,"46,478","65,299,498",
104,中山區,4低壓綜合裝置非營業用,*,130,"5,467",
104,中山區,5低壓綜合需量非營業用,"1,249","47,393","6,477,895",
104,中山區,6低壓綜合非營業用電小計,**,"47,523","6,483,362",
104,中山區,7低壓綜合裝置營業用,40,"1,622","133,044",
104,中山區,8低壓綜合需量營業用,"1,576","71,999","12,441,045",
104,中山區,9低壓綜合營業用電小計,**,"73,621","12,574,089",
104,中山區,10低壓綜合用電小計,**,"121,144","19,057,451",
104,中山區,11低壓裝置電力,215,"2,503","113,796",
104,中山區,12低壓需量電力,9,811,"86,027",
104,中山區,13低壓電力小計,**,"3,314","199,823",
104,中山區,14高壓電力,319,"209,657","54,887,157",
104,中山區,15特高壓電力,*,"18,692","7,308,000",
104,中山區,16高＆特高壓電力小計,**,"228,349","62,195,157",
104,中山區,17電力小計,**,"231,663","62,394,980",
104,中山區,18綜合＆電力小計,**,"352,807","81,452,431",
104,中山區,19電燈＆綜合＆電力小計,**,"399,285","146,751,929",
104,中山區,20臨時電燈,34,0,"16,992",
104,中山區,21臨時電力,31,"1,951","224,516",
104,中山區,22臨時用電小計,**,"1,951","241,508",
104,中山區,23總計（含臨時用電）,**,"399,285","146,993,437",
104,中山區,24表燈合計,**,"46,478","65,316,490",
104,中山區,25綜合＆電力合計,**,"352,807","81,676,947",
105,松山區,1表燈非營業用,"73,085",782,"18,669,634",
105,松山區,2表燈營業用,"11,982","21,360","13,006,209",
105,松山區,3表燈小計,**,"22,142","31,675,843",
105,松山區,4低壓綜合裝置非營業用,*,137,"6,092",
105,松山區,5低壓綜合需量非營業用,567,"21,709","3,138,450",
105,松山區,6低壓綜合非營業用電小計,**,"21,846","3,144,542",
105,松山區,7低壓綜合裝置營業用,*,154,"16,084",
105,松山區,8低壓綜合需量營業用,810,"38,946","6,903,889",
105,松山區,9低壓綜合營業用電小計,**,"39,100","6,919,973",
105,松山區,10低壓綜合用電小計,**,"60,946","10,064,515",
105,松山區,11低壓裝置電力,62,561,"23,674",
105,松山區,12低壓需量電力,11,602,"94,599",
105,松山區,13低壓電力小計,**,"1,163","118,273",
105,松山區,14高壓電力,160,"130,060","34,738,820",
105,松山區,15特高壓電力,*,"8,144","3,932,800",
105,松山區,16高＆特高壓電力小計,**,"138,204","38,671,620",
105,松山區,17電力小計,**,"139,367","38,789,893",
105,松山區,18綜合＆電力小計,**,"200,313","48,854,408",
105,松山區,19電燈＆綜合＆電力小計,**,"222,455","80,530,251",
105,松山區,20臨時電燈,7,0,83,
105,松山區,21臨時電力,11,"1,041","141,880",
105,松山區,22臨時用電小計,**,"1,041","141,963",
105,松山區,23總計（含臨時用電）,**,"222,455","80,672,214",
105,松山區,24表燈合計,**,"22,142","31,675,926",
105,松山區,25綜合＆電力合計,**,"200,313","48,996,288",
106,大安區,1表燈非營業用,"111,211","1,808","48,605,713",
106,大安區,2表燈營業用,"17,449","44,410","26,748,594",
106,大安區,3表燈小計,**,"46,218","75,354,307",
106,大安區,4低壓綜合裝置非營業用,6,235,"12,752",
106,大安區,5低壓綜合需量非營業用,"1,091","41,362","5,886,638",
106,大安區,6低壓綜合非營業用電小計,**,"41,597","5,899,390",
