郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月)
104,中山區,23總計（含臨時用電）　　,**,"394,576 ","144,194,583 "
104,中山區,24表燈合計　　　　　　　,**,"35,217 ","61,014,092 "
104,中山區,25綜合＆電力合計　　　　,**,"359,359 ","83,180,491 "
105,松山區,1表燈非營業用　　　　,"72,444 ","1,025 ","29,610,159 "
105,松山區,2表燈營業用　　　　　　,"11,388 ","16,544 ","20,474,567 "
105,松山區,3表燈小計　　　　　　　,**,"17,569 ","50,084,726 "
105,松山區,4低壓綜合裝置非營業用　,*,137 ,"4,757 "
105,松山區,5低壓綜合需量非營業用　,546 ,"21,537 ","3,409,410 "
105,松山區,6低壓綜合非營業用電小計,**,"21,674 ","3,414,167 "
105,松山區,7低壓綜合裝置營業用　　,*,154 ,"16,678 "
105,松山區,8低壓綜合需量營業用　　,819 ,"41,260 ","8,051,009 "
105,松山區,9低壓綜合營業用電小計　,**,"41,414 ","8,067,687 "
105,松山區,10低壓綜合用電小計　　　,**,"63,088 ","11,481,854 "
105,松山區,11低壓裝置電力　　　　　,66 ,615 ,"31,598 "
105,松山區,12低壓需量電力　　　　　,15 ,728 ,"113,390 "
105,松山區,13低壓電力小計　　　　　,**,"1,343 ","144,988 "
105,松山區,14高壓電力　　　　　　　,160 ,"133,982 ","37,456,719 "
105,松山區,15特高壓電力　　　　　　,*,"8,600 ","4,657,600 "
105,松山區,16高＆特高壓電力小計　　,**,"142,582 ","42,114,319 "
105,松山區,17電力小計　　　　　　　,**,"143,925 ","42,259,307 "
105,松山區,18綜合＆電力小計　　　　,**,"207,013 ","53,741,161 "
105,松山區,19電燈＆綜合＆電力小計　,**,"224,582 ","103,825,887 "
105,松山區,20臨時電燈　　　　　　　,14 ,0 ,"30,662 "
105,松山區,21臨時電力　　　　　　　,20 ,947 ,"147,013 "
105,松山區,22臨時用電小計　　　　　,**,947 ,"177,675 "
105,松山區,23總計（含臨時用電）　　,**,"224,582 ","104,003,562 "
105,松山區,24表燈合計　　　　　　　,**,"17,569 ","50,115,388 "
105,松山區,25綜合＆電力合計　　　　,**,"207,013 ","53,888,174 "
106,大安區,1表燈非營業用　　　　,"110,751 ","1,427 ","32,960,383 "
106,大安區,2表燈營業用　　　　　　,"17,074 ","35,131 ","22,134,845 "
106,大安區,3表燈小計　　　　　　　,**,"36,558 ","55,095,228 "
106,大安區,4低壓綜合裝置非營業用　,6 ,235 ,"16,461 "
106,大安區,5低壓綜合需量非營業用　,"1,062 ","40,674 ","6,300,440 "
106,大安區,6低壓綜合非營業用電小計,**,"40,909 ","6,316,901 "
106,大安區,7低壓綜合裝置營業用　　,11 ,398 ,"79,533 "
106,大安區,8低壓綜合需量營業用　　,"1,428 ","64,175 ","12,791,259 "
106,大安區,9低壓綜合營業用電小計　,**,"64,573 ","12,870,792 "
106,大安區,10低壓綜合用電小計　　　,**,"105,482 ","19,187,693 "
106,大安區,11低壓裝置電力　　　　　,134 ,"1,530 ","137,877 "
106,大安區,12低壓需量電力　　　　　,*,296 ,"51,451 "
106,大安區,13低壓電力小計　　　　　,**,"1,826 ","189,328 "
106,大安區,14高壓電力　　　　　　　,282 ,"210,620 ","57,744,419 "
106,大安區,15特高壓電力　　　　　　,*,"22,699 ","8,910,359 "
106,大安區,16高＆特高壓電力小計　　,**,"233,319 ","66,654,778 "
106,大安區,17電力小計　　　　　　　,**,"235,145 ","66,844,106 "
106,大安區,18綜合＆電力小計　　　　,**,"340,627 ","86,031,799 "
106,大安區,19電燈＆綜合＆電力小計　,**,"377,185 ","141,127,027 "
106,大安區,20臨時電燈　　　　　　　,29 ,0 ,"13,563 "
106,大安區,21臨時電力　　　　　　　,20 ,"1,754 ","288,378 "
106,大安區,22臨時用電小計　　　　　,**,"1,754 ","301,941 "
106,大安區,23總計（含臨時用電）　　,**,"377,185 ","141,428,968 "
106,大安區,24表燈合計　　　　　　　,**,"36,558 ","55,108,791 "
106,大安區,25綜合＆電力合計　　　　,**,"340,627 ","86,320,177 "
108,萬華區,1表燈非營業用　　　　,"76,504 ",833 ,"21,656,522 "
108,萬華區,2表燈營業用　　　　　　,"9,145 ","12,621 ","9,024,138 "
108,萬華區,3表燈小計　　　　　　　,**,"13,454 ","30,680,660 "
108,萬華區,4低壓綜合裝置非營業用　,*,0 ,0
108,萬華區,5低壓綜合需量非營業用　,329 ,"11,292 ","1,465,240 "
108,萬華區,6低壓綜合非營業用電小計,**,"11,292 ","1,465,240 "
108,萬華區,7低壓綜合裝置營業用　　,36 ,"1,646 ","208,034 "
108,萬華區,8低壓綜合需量營業用　　,709 ,"24,186 ","4,862,541 "
108,萬華區,9低壓綜合營業用電小計　,**,"25,832 ","5,070,575 "
108,萬華區,10低壓綜合用電小計　　　,**,"37,124 ","6,535,815 "
108,萬華區,11低壓裝置電力　　　　　,312 ,"3,286 ","219,265 "
108,萬華區,12低壓需量電力　　　　　,40 ,"1,331 ","189,435 "
108,萬華區,13低壓電力小計　　　　　,**,"4,617 ","408,700 "
108,萬華區,14高壓電力　　　　　　　,109 ,"45,395 ","12,752,161 "
108,萬華區,15特高壓電力　　　　　　,*,0 ,0
108,萬華區,16高＆特高壓電力小計　　,**,"45,395 ","12,752,161 "
108,萬華區,17電力小計　　　　　　　,**,"50,012 ","13,160,861 "
108,萬華區,18綜合＆電力小計　　　　,**,"87,136 ","19,696,676 "
108,萬華區,19電燈＆綜合＆電力小計　,**,"100,590 ","50,377,336 "
108,萬華區,20臨時電燈　　　　　　　,15 ,0 ,"13,030 "
108,萬華區,21臨時電力　　　　　　　,17 ,"1,077 ","118,050 "
108,萬華區,22臨時用電小計　　　　　,**,"1,077 ","131,080 "
108,萬華區,23總計（含臨時用電）　　,**,"100,590 ","50,508,416 "
108,萬華區,24表燈合計　　　　　　　,**,"13,454 ","30,693,690 "
108,萬華區,25綜合＆電力合計　　　　,**,"87,136 ","19,814,726 "
110,信義區,1表燈非營業用　　　　,"84,087 ",722 ,"19,078,500 "
110,信義區,2表燈營業用　　　　　　,"10,239 ","11,508 ","8,823,908 "
110,信義區,3表燈小計　　　　　　　,**,"12,230 ","27,902,408 "
110,信義區,4低壓綜合裝置非營業用　,*,138 ,"4,520 "
110,信義區,5低壓綜合需量非營業用　,551 ,"26,002 ","3,926,910 "
110,信義區,6低壓綜合非營業用電小計,**,"26,140 ","3,931,430 "
110,信義區,7低壓綜合裝置營業用　　,*,28 ,"8,921 "
110,信義區,8低壓綜合需量營業用　　,546 ,"25,334 ","5,344,547 "
110,信義區,9低壓綜合營業用電小計　,**,"25,362 ","5,353,468 "
110,信義區,10低壓綜合用電小計　　　,**,"51,502 ","9,284,898 "
110,信義區,11低壓裝置電力　　　　　,24 ,241 ,"30,601 "
110,信義區,12低壓需量電力　　　　　,*,580 ,"136,977 "
110,信義區,13低壓電力小計　　　　　,**,821 ,"167,578 "
110,信義區,14高壓電力　　　　　　　,144 ,"200,697 ","59,314,745 "
110,信義區,15特高壓電力　　　　　　,*,"6,900 ","3,139,200 "
110,信義區,16高＆特高壓電力小計　　,**,"207,597 ","62,453,945 "
110,信義區,17電力小計　　　　　　　,**,"208,418 ","62,621,523 "
110,信義區,18綜合＆電力小計　　　　,**,"259,920 ","71,906,421 "
110,信義區,19電燈＆綜合＆電力小計　,**,"272,150 ","99,808,829 "
110,信義區,20臨時電燈　　　　　　　,12 ,0 ,"11,594 "
110,信義區,21臨時電力　　　　　　　,24 ,"1,800 ","397,150 "
110,信義區,22臨時用電小計　　　　　,**,"1,800 ","408,744 "
110,信義區,23總計（含臨時用電）　　,**,"272,150 ","100,217,573 "
110,信義區,24表燈合計　　　　　　　,**,"12,230 ","27,914,002 "
110,信義區,25綜合＆電力合計　　　　,**,"259,920 ","72,303,571 "
111,士林區,1表燈非營業用　　　　,"106,054 ","1,529 ","33,875,177 "
111,士林區,2表燈營業用　　　　　　,"9,636 ","15,012 ","9,923,553 "
111,士林區,3表燈小計　　　　　　　,**,"16,541 ","43,798,730 "
111,士林區,4低壓綜合裝置非營業用　,*,0 ,0
111,士林區,5低壓綜合需量非營業用　,616 ,"23,153 ","3,176,493 "
111,士林區,6低壓綜合非營業用電小計,**,"23,153 ","3,176,493 "
111,士林區,7低壓綜合裝置營業用　　,*,47 ,"5,893 "
111,士林區,8低壓綜合需量營業用　　,840 ,"31,190 ","6,073,475 "
111,士林區,9低壓綜合營業用電小計　,**,"31,237 ","6,079,368 "
111,士林區,10低壓綜合用電小計　　　,**,"54,390 ","9,255,861 "
111,士林區,11低壓裝置電力　　　　　,119 ,"1,614 ","117,511 "
111,士林區,12低壓需量電力　　　　　,120 ,"5,438 ","662,267 "
111,士林區,13低壓電力小計　　　　　,**,"7,052 ","779,778 "
111,士林區,14高壓電力　　　　　　　,142 ,"98,485 ","26,484,374 "
111,士林區,15特高壓電力　　　　　　,*,0 ,0
111,士林區,16高＆特高壓電力小計　　,**,"98,485 ","26,484,374 "
111,士林區,17電力小計　　　　　　　,**,"105,537 ","27,264,152 "
111,士林區,18綜合＆電力小計　　　　,**,"159,927 ","36,520,013 "
111,士林區,19電燈＆綜合＆電力小計　,**,"176,468 ","80,318,743 "
111,士林區,20臨時電燈　　　　　　　,62 ,0 ,"76,702 "
111,士林區,21臨時電力　　　　　　　,31 ,"2,478 ","304,152 "
111,士林區,22臨時用電小計　　　　　,**,"2,478 ","380,854 "
111,士林區,23總計（含臨時用電）　　,**,"176,468 ","80,699,597 "
111,士林區,24表燈合計　　　　　　　,**,"16,541 ","43,875,432 "
111,士林區,25綜合＆電力合計　　　　,**,"159,927 ","36,824,165 "
112,北投區,1表燈非營業用　　　　,"92,200 ",578 ,"38,646,274 "
112,北投區,2表燈營業用　　　　　　,"5,865 ","8,058 ","11,395,268 "
112,北投區,3表燈小計　　　　　　　,**,"8,636 ","50,041,542 "
112,北投區,4低壓綜合裝置非營業用　,*,0 ,0
112,北投區,5低壓綜合需量非營業用　,591 ,"19,426 ","2,620,490 "
112,北投區,6低壓綜合非營業用電小計,**,"19,426 ","2,620,490 "
112,北投區,7低壓綜合裝置營業用　　,*,70 ,"1,140 "
112,北投區,8低壓綜合需量營業用　　,433 ,"21,732 ","4,502,897 "
112,北投區,9低壓綜合營業用電小計　,**,"21,802 ","4,504,037 "
112,北投區,10低壓綜合用電小計　　　,**,"41,228 ","7,124,527 "
112,北投區,11低壓裝置電力　　　　　,67 ,808 ,"73,995 "
112,北投區,12低壓需量電力　　　　　,95 ,"4,738 ","638,918 "
112,北投區,13低壓電力小計　　　　　,**,"5,546 ","712,913 "
112,北投區,14高壓電力　　　　　　　,120 ,"94,640 ","32,199,399 "
112,北投區,15特高壓電力　　　　　　,*,"10,537 ","5,091,660 "
112,北投區,16高＆特高壓電力小計　　,**,"105,177 ","37,291,059 "
112,北投區,17電力小計　　　　　　　,**,"110,723 ","38,003,972 "
112,北投區,18綜合＆電力小計　　　　,**,"151,951 ","45,128,499 "
112,北投區,19電燈＆綜合＆電力小計　,**,"160,587 ","95,170,041 "
112,北投區,20臨時電燈　　　　　　　,52 ,0 ,"54,225 "
112,北投區,21臨時電力　　　　　　　,51 ,"3,127 ","360,682 "
112,北投區,22臨時用電小計　　　　　,**,"3,127 ","414,907 "
112,北投區,23總計（含臨時用電）　　,**,"160,587 ","95,584,948 "
112,北投區,24表燈合計　　　　　　　,**,"8,636 ","50,095,767 "
112,北投區,25綜合＆電力合計　　　　,**,"151,951 ","45,489,181 "
114,內湖區,1表燈非營業用　　　　,"102,307 ",478 ,"32,209,588 "
114,內湖區,2表燈營業用　　　　　　,"12,640 ","16,505 ","9,596,734 "
114,內湖區,3表燈小計　　　　　　　,**,"16,983 ","41,806,322 "
114,內湖區,4低壓綜合裝置非營業用　,*,0 ,0
114,內湖區,5低壓綜合需量非營業用　,"1,108 ","51,005 ","7,548,245 "
114,內湖區,6低壓綜合非營業用電小計,**,"51,005 ","7,548,245 "
114,內湖區,7低壓綜合裝置營業用　　,*,0 ,0
114,內湖區,8低壓綜合需量營業用　　,"1,729 ","107,869 ","21,953,818 "
114,內湖區,9低壓綜合營業用電小計　,**,"107,869 ","21,953,818 "
114,內湖區,10低壓綜合用電小計　　　,**,"158,874 ","29,502,063 "
114,內湖區,11低壓裝置電力　　　　　,25 ,272 ,"10,995 "
114,內湖區,12低壓需量電力　　　　　,346 ,"12,807 ","2,093,763 "
114,內湖區,13低壓電力小計　　　　　,**,"13,079 ","2,104,758 "
114,內湖區,14高壓電力　　　　　　　,160 ,"139,330 ","50,492,916 "
114,內湖區,15特高壓電力　　　　　　,*,"11,404 ","4,381,600 "
114,內湖區,16高＆特高壓電力小計　　,**,"150,734 ","54,874,516 "
114,內湖區,17電力小計　　　　　　　,**,"163,813 ","56,979,274 "
114,內湖區,18綜合＆電力小計　　　　,**,"322,687 ","86,481,337 "
114,內湖區,19電燈＆綜合＆電力小計　,**,"339,670 ","128,287,659 "
114,內湖區,20臨時電燈　　　　　　　,29 ,0 ,"20,361 "
114,內湖區,21臨時電力　　　　　　　,64 ,"4,278 ","521,902 "
114,內湖區,22臨時用電小計　　　　　,**,"4,278 ","542,263 "
114,內湖區,23總計（含臨時用電）　　,**,"339,670 ","128,829,922 "
114,內湖區,24表燈合計　　　　　　　,**,"16,983 ","41,826,683 "
114,內湖區,25綜合＆電力合計　　　　,**,"322,687 ","87,003,239 "
115,南港區,1表燈非營業用　　　　,"43,688 ",61 ,"7,349,134 "
115,南港區,2表燈營業用　　　　　　,"4,371 ","5,096 ","2,676,098 "
115,南港區,3表燈小計　　　　　　　,**,"5,157 ","10,025,232 "
115,南港區,4低壓綜合裝置非營業用　,*,0 ,0
115,南港區,5低壓綜合需量非營業用　,353 ,"13,797 ","1,767,092 "
115,南港區,6低壓綜合非營業用電小計,**,"13,797 ","1,767,092 "
115,南港區,7低壓綜合裝置營業用　　,*,0 ,0
115,南港區,8低壓綜合需量營業用　　,238 ,"12,358 ","2,383,764 "
115,南港區,9低壓綜合營業用電小計　,**,"12,358 ","2,383,764 "
115,南港區,10低壓綜合用電小計　　　,**,"26,155 ","4,150,856 "
115,南港區,11低壓裝置電力　　　　　,31 ,543 ,"45,941 "
115,南港區,12低壓需量電力　　　　　,158 ,"5,087 ","517,264 "
115,南港區,13低壓電力小計　　　　　,**,"5,630 ","563,205 "
115,南港區,14高壓電力　　　　　　　,82 ,"96,884 ","27,355,274 "
115,南港區,15特高壓電力　　　　　　,*,"39,885 ","15,738,623 "
115,南港區,16高＆特高壓電力小計　　,**,"136,769 ","43,093,897 "
115,南港區,17電力小計　　　　　　　,**,"142,399 ","43,657,102 "
115,南港區,18綜合＆電力小計　　　　,**,"168,554 ","47,807,958 "
115,南港區,19電燈＆綜合＆電力小計　,**,"173,711 ","57,833,190 "
115,南港區,20臨時電燈　　　　　　　,11 ,0 ,"6,106 "
115,南港區,21臨時電力　　　　　　　,21 ,"1,660 ","341,304 "
115,南港區,22臨時用電小計　　　　　,**,"1,660 ","347,410 "
115,南港區,23總計（含臨時用電）　　,**,"173,711 ","58,180,600 "
115,南港區,24表燈合計　　　　　　　,**,"5,157 ","10,031,338 "
115,南港區,25綜合＆電力合計　　　　,**,"168,554 ","48,149,262 "
116,文山區,1表燈非營業用　　　　,"98,618 ",176 ,"25,896,442 "
116,文山區,2表燈營業用　　　　　　,"5,086 ","7,815 ","6,165,153 "
116,文山區,3表燈小計　　　　　　　,**,"7,991 ","32,061,595 "
116,文山區,4低壓綜合裝置非營業用　,*,0 ,0
116,文山區,5低壓綜合需量非營業用　,767 ,"24,408 ","3,117,924 "
116,文山區,6低壓綜合非營業用電小計,**,"24,408 ","3,117,924 "
116,文山區,7低壓綜合裝置營業用　　,*,74 ,"5,397 "
116,文山區,8低壓綜合需量營業用　　,317 ,"11,043 ","2,489,671 "
116,文山區,9低壓綜合營業用電小計　,**,"11,117 ","2,495,068 "
116,文山區,10低壓綜合用電小計　　　,**,"35,525 ","5,612,992 "
116,文山區,11低壓裝置電力　　　　　,31 ,323 ,"67,491 "
116,文山區,12低壓需量電力　　　　　,25 ,982 ,"136,529 "
116,文山區,13低壓電力小計　　　　　,**,"1,305 ","204,020 "
116,文山區,14高壓電力　　　　　　　,96 ,"45,051 ","10,804,847 "
116,文山區,15特高壓電力　　　　　　,*,"23,950 ","9,493,183 "
116,文山區,16高＆特高壓電力小計　　,**,"69,001 ","20,298,030 "
116,文山區,17電力小計　　　　　　　,**,"70,306 ","20,502,050 "
116,文山區,18綜合＆電力小計　　　　,**,"105,831 ","26,115,042 "
116,文山區,19電燈＆綜合＆電力小計　,**,"113,822 ","58,176,637 "
116,文山區,20臨時電燈　　　　　　　,19 ,0 ,"14,428 "
116,文山區,21臨時電力　　　　　　　,27 ,"1,669 ","211,462 "
116,文山區,22臨時用電小計　　　　　,**,"1,669 ","225,890 "
116,文山區,23總計（含臨時用電）　　,**,"113,822 ","58,402,527 "
116,文山區,24表燈合計　　　　　　　,**,"7,991 ","32,076,023 "
116,文山區,25綜合＆電力合計　　　　,**,"105,831 ","26,326,504 "
200,仁愛區,1表燈非營業用　　　　,"22,647 ",367 ,"6,228,796 "
200,仁愛區,2表燈營業用　　　　　　,"3,234 ","4,783 ","3,145,858 "
200,仁愛區,3表燈小計　　　　　　　,**,"5,150 ","9,374,654 "
200,仁愛區,4低壓綜合裝置非營業用　,*,0 ,0
200,仁愛區,5低壓綜合需量非營業用　,128 ,"3,932 ","388,373 "
200,仁愛區,6低壓綜合非營業用電小計,**,"3,932 ","388,373 "
200,仁愛區,7低壓綜合裝置營業用　　,*,106 ,"7,630 "
200,仁愛區,8低壓綜合需量營業用　　,338 ,"10,541 ","2,006,216 "
200,仁愛區,9低壓綜合營業用電小計　,**,"10,647 ","2,013,846 "
200,仁愛區,10低壓綜合用電小計　　　,**,"14,579 ","2,402,219 "
200,仁愛區,11低壓裝置電力　　　　　,65 ,646 ,"96,125 "
200,仁愛區,12低壓需量電力　　　　　,13 ,393 ,"78,262 "
200,仁愛區,13低壓電力小計　　　　　,**,"1,039 ","174,387 "
200,仁愛區,14高壓電力　　　　　　　,24 ,"8,065 ","1,514,831 "
200,仁愛區,15特高壓電力　　　　　　,*,0 ,0
200,仁愛區,16高＆特高壓電力小計　　,**,"8,065 ","1,514,831 "
200,仁愛區,17電力小計　　　　　　　,**,"9,104 ","1,689,218 "
200,仁愛區,18綜合＆電力小計　　　　,**,"23,683 ","4,091,437 "
200,仁愛區,19電燈＆綜合＆電力小計　,**,"28,833 ","13,466,091 "
200,仁愛區,20臨時電燈　　　　　　　,6 ,0 ,"8,826 "
200,仁愛區,21臨時電力　　　　　　　,*,99 ,"6,760 "
200,仁愛區,22臨時用電小計　　　　　,**,99 ,"15,586 "
200,仁愛區,23總計（含臨時用電）　　,**,"28,833 ","13,481,677 "
200,仁愛區,24表燈合計　　　　　　　,**,"5,150 ","9,383,480 "
200,仁愛區,25綜合＆電力合計　　　　,**,"23,683 ","4,098,197 "
201,信義區,1表燈非營業用　　　　,"24,852 ",198 ,"670,016 "
201,信義區,2表燈營業用　　　　　　,"1,146 ","1,676 ","583,440 "
201,信義區,3表燈小計　　　　　　　,**,"1,874 ","1,253,456 "
201,信義區,4低壓綜合裝置非營業用　,*,0 ,0
201,信義區,5低壓綜合需量非營業用　,123 ,"4,751 ","696,954 "
201,信義區,6低壓綜合非營業用電小計,**,"4,751 ","696,954 "
201,信義區,7低壓綜合裝置營業用　　,*,68 ,"12,320 "
201,信義區,8低壓綜合需量營業用　　,50 ,"2,793 ","589,806 "
201,信義區,9低壓綜合營業用電小計　,**,"2,861 ","602,126 "
201,信義區,10低壓綜合用電小計　　　,**,"7,612 ","1,299,080 "
201,信義區,11低壓裝置電力　　　　　,6 ,133 ,"54,314 "
201,信義區,12低壓需量電力　　　　　,19 ,760 ,"127,081 "
201,信義區,13低壓電力小計　　　　　,**,893 ,"181,395 "
201,信義區,14高壓電力　　　　　　　,33 ,"12,445 ","3,190,199 "
201,信義區,15特高壓電力　　　　　　,*,0 ,0
201,信義區,16高＆特高壓電力小計　　,**,"12,445 ","3,190,199 "
201,信義區,17電力小計　　　　　　　,**,"13,338 ","3,371,594 "
201,信義區,18綜合＆電力小計　　　　,**,"20,950 ","4,670,674 "
201,信義區,19電燈＆綜合＆電力小計　,**,"22,824 ","5,924,130 "
201,信義區,20臨時電燈　　　　　　　,15 ,0 ,0
201,信義區,21臨時電力　　　　　　　,*,344 ,"83,520 "
201,信義區,22臨時用電小計　　　　　,**,344 ,"83,520 "
201,信義區,23總計（含臨時用電）　　,**,"22,824 ","6,007,650 "
201,信義區,24表燈合計　　　　　　　,**,"1,874 ","1,253,456 "
201,信義區,25綜合＆電力合計　　　　,**,"20,950 ","4,754,194 "
202,中正區,1表燈非營業用　　　　,"30,798 ",177 ,"65,435 "
202,中正區,2表燈營業用　　　　　　,"2,059 ","2,748 ","763,074 "
202,中正區,3表燈小計　　　　　　　,**,"2,925 ","828,509 "
202,中正區,4低壓綜合裝置非營業用　,*,43 ,"4,280 "
202,中正區,5低壓綜合需量非營業用　,202 ,"8,570 ","1,046,146 "
202,中正區,6低壓綜合非營業用電小計,**,"8,613 ","1,050,426 "
202,中正區,7低壓綜合裝置營業用　　,*,0 ,0
202,中正區,8低壓綜合需量營業用　　,122 ,"4,196 ","794,455 "
202,中正區,9低壓綜合營業用電小計　,**,"4,196 ","794,455 "
202,中正區,10低壓綜合用電小計　　　,**,"12,809 ","1,844,881 "
202,中正區,11低壓裝置電力　　　　　,40 ,436 ,"42,060 "
202,中正區,12低壓需量電力　　　　　,34 ,"1,352 ","255,489 "
202,中正區,13低壓電力小計　　　　　,**,"1,788 ","297,549 "
202,中正區,14高壓電力　　　　　　　,42 ,"22,103 ","5,757,175 "
202,中正區,15特高壓電力　　　　　　,*,"7,000 ","1,646,400 "
202,中正區,16高＆特高壓電力小計　　,**,"29,103 ","7,403,575 "
202,中正區,17電力小計　　　　　　　,**,"30,891 ","7,701,124 "
202,中正區,18綜合＆電力小計　　　　,**,"43,700 ","9,546,005 "
202,中正區,19電燈＆綜合＆電力小計　,**,"46,625 ","10,374,514 "
202,中正區,20臨時電燈　　　　　　　,11 ,0 ,0
202,中正區,21臨時電力　　　　　　　,6 ,200 ,"21,760 "
202,中正區,22臨時用電小計　　　　　,**,200 ,"21,760 "
