郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月)
100,中正區,1表燈非營業用　　　　,"59,603 ","1,031 ","20,384,391 "
100,中正區,2表燈營業用　　　　　　,"9,729 ","15,207 ","14,452,156 "
100,中正區,3表燈小計　　　　　　　,**,"16,238 ","34,836,547 "
100,中正區,4低壓綜合裝置非營業用　,*,217 ,"15,587 "
100,中正區,5低壓綜合需量非營業用　,680 ,"30,583 ","4,251,673 "
100,中正區,6低壓綜合非營業用電小計,**,"30,800 ","4,267,260 "
100,中正區,7低壓綜合裝置營業用　　,29 ,"1,206 ","100,012 "
100,中正區,8低壓綜合需量營業用　　,893 ,"39,387 ","7,184,792 "
100,中正區,9低壓綜合營業用電小計　,**,"40,593 ","7,284,804 "
100,中正區,10低壓綜合用電小計　　　,**,"71,393 ","11,552,064 "
100,中正區,11低壓裝置電力　　　　　,257 ,"2,688 ","182,564 "
100,中正區,12低壓需量電力　　　　　,6 ,107 ,"8,327 "
100,中正區,13低壓電力小計　　　　　,**,"2,795 ","190,891 "
100,中正區,14高壓電力　　　　　　　,301 ,"226,493 ","63,986,309 "
100,中正區,15特高壓電力　　　　　　,*,"18,040 ","9,423,000 "
100,中正區,16高＆特高壓電力小計　　,**,"244,533 ","73,409,309 "
100,中正區,17電力小計　　　　　　　,**,"247,328 ","73,600,200 "
100,中正區,18綜合＆電力小計　　　　,**,"318,721 ","85,152,264 "
100,中正區,19電燈＆綜合＆電力小計　,**,"334,959 ","119,988,811 "
100,中正區,20臨時電燈　　　　　　　,24 ,0 ,"29,820 "
100,中正區,21臨時電力　　　　　　　,23 ,"1,316 ","196,604 "
100,中正區,22臨時用電小計　　　　　,**,"1,316 ","226,424 "
100,中正區,23總計（含臨時用電）　　,**,"334,959 ","120,215,235 "
100,中正區,24表燈合計　　　　　　　,**,"16,238 ","34,866,367 "
100,中正區,25綜合＆電力合計　　　　,**,"318,721 ","85,348,868 "
103,大同區,1表燈非營業用　　　　,"52,604 ",400 ,"13,325,391 "
103,大同區,2表燈營業用　　　　　　,"10,464 ","6,569 ","8,859,854 "
103,大同區,3表燈小計　　　　　　　,**,"6,969 ","22,185,245 "
103,大同區,4低壓綜合裝置非營業用　,*,0 ,0
103,大同區,5低壓綜合需量非營業用　,423 ,"16,232 ","1,980,412 "
103,大同區,6低壓綜合非營業用電小計,**,"16,232 ","1,980,412 "
103,大同區,7低壓綜合裝置營業用　　,19 ,883 ,"51,486 "
103,大同區,8低壓綜合需量營業用　　,457 ,"19,633 ","3,218,955 "
103,大同區,9低壓綜合營業用電小計　,**,"20,516 ","3,270,441 "
103,大同區,10低壓綜合用電小計　　　,**,"36,748 ","5,250,853 "
103,大同區,11低壓裝置電力　　　　　,270 ,"2,404 ","99,440 "
103,大同區,12低壓需量電力　　　　　,26 ,850 ,"85,981 "
103,大同區,13低壓電力小計　　　　　,**,"3,254 ","185,421 "
103,大同區,14高壓電力　　　　　　　,90 ,"46,711 ","13,109,866 "
103,大同區,15特高壓電力　　　　　　,*,"24,151 ","11,633,200 "
103,大同區,16高＆特高壓電力小計　　,**,"70,862 ","24,743,066 "
103,大同區,17電力小計　　　　　　　,**,"74,116 ","24,928,487 "
103,大同區,18綜合＆電力小計　　　　,**,"110,864 ","30,179,340 "
103,大同區,19電燈＆綜合＆電力小計　,**,"117,833 ","52,364,585 "
103,大同區,20臨時電燈　　　　　　　,25 ,0 ,"18,916 "
103,大同區,21臨時電力　　　　　　　,16 ,757 ,"137,632 "
103,大同區,22臨時用電小計　　　　　,**,757 ,"156,548 "
103,大同區,23總計（含臨時用電）　　,**,"117,833 ","52,521,133 "
103,大同區,24表燈合計　　　　　　　,**,"6,969 ","22,204,161 "
103,大同區,25綜合＆電力合計　　　　,**,"110,864 ","30,316,972 "
104,中山區,1表燈非營業用　　　　,"109,894 ","1,139 ","30,629,119 "
104,中山區,2表燈營業用　　　　　　,"20,576 ","34,078 ","30,346,777 "
104,中山區,3表燈小計　　　　　　　,**,"35,217 ","60,975,896 "
104,中山區,4低壓綜合裝置非營業用　,*,130 ,"8,049 "
104,中山區,5低壓綜合需量非營業用　,"1,188 ","47,060 ","6,218,513 "
104,中山區,6低壓綜合非營業用電小計,**,"47,190 ","6,226,562 "
104,中山區,7低壓綜合裝置營業用　　,45 ,"1,908 ","165,149 "
104,中山區,8低壓綜合需量營業用　　,"1,566 ","71,024 ","12,905,762 "
104,中山區,9低壓綜合營業用電小計　,**,"72,932 ","13,070,911 "
104,中山區,10低壓綜合用電小計　　　,**,"120,122 ","19,297,473 "
104,中山區,11低壓裝置電力　　　　　,242 ,"2,779 ","126,253 "
104,中山區,12低壓需量電力　　　　　,10 ,726 ,"89,501 "
104,中山區,13低壓電力小計　　　　　,**,"3,505 ","215,754 "
104,中山區,14高壓電力　　　　　　　,322 ,"208,032 ","56,264,082 "
104,中山區,15特高壓電力　　　　　　,*,"27,700 ","7,068,000 "
104,中山區,16高＆特高壓電力小計　　,**,"235,732 ","63,332,082 "
104,中山區,17電力小計　　　　　　　,**,"239,237 ","63,547,836 "
104,中山區,18綜合＆電力小計　　　　,**,"359,359 ","82,845,309 "
104,中山區,19電燈＆綜合＆電力小計　,**,"394,576 ","143,821,205 "
104,中山區,20臨時電燈　　　　　　　,36 ,0 ,"38,196 "
104,中山區,21臨時電力　　　　　　　,37 ,"2,910 ","335,182 "
104,中山區,22臨時用電小計　　　　　,**,"2,910 ","373,378 "
