郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,484","1,267","26,479,500",
100,中正區,2表燈營業用,"9,905","19,703","15,810,225",
100,中正區,3表燈小計,**,"20,970","42,289,725",
100,中正區,4低壓綜合裝置非營業用,*,217,"21,621",
100,中正區,5低壓綜合需量非營業用,692,"29,676","4,605,182",
100,中正區,6低壓綜合非營業用電小計,**,"29,893","4,626,803",
100,中正區,7低壓綜合裝置營業用,25,"1,076","119,411",
100,中正區,8低壓綜合需量營業用,910,"39,000","8,499,230",
100,中正區,9低壓綜合營業用電小計,**,"40,076","8,618,641",
100,中正區,10低壓綜合用電小計,**,"69,969","13,245,444",
100,中正區,11低壓裝置電力,240,"2,526","253,860",
100,中正區,12低壓需量電力,6,107,"10,708",
100,中正區,13低壓電力小計,**,"2,633","264,568",
100,中正區,14高壓電力,299,"218,859","60,874,148",
100,中正區,15特高壓電力,*,"16,940","8,227,900",
100,中正區,16高＆特高壓電力小計,**,"235,799","69,102,048",
100,中正區,17電力小計,**,"238,432","69,366,616",
100,中正區,18綜合＆電力小計,**,"308,401","82,612,060",
100,中正區,19電燈＆綜合＆電力小計,**,"329,371","124,901,785",
100,中正區,20臨時電燈,31,0,"76,755",
100,中正區,21臨時電力,22,"1,412","176,011",
100,中正區,22臨時用電小計,**,"1,412","252,766",
100,中正區,23總計（含臨時用電）,**,"329,371","125,154,551",
100,中正區,24表燈合計,**,"20,970","42,366,480",
100,中正區,25綜合＆電力合計,**,"308,401","82,788,071",
103,大同區,1表燈非營業用,"53,138",345,"24,963,663",
103,大同區,2表燈營業用,"10,616","9,638","13,253,337",
103,大同區,3表燈小計,**,"9,983","38,217,000",
103,大同區,4低壓綜合裝置非營業用,*,0,0,
103,大同區,5低壓綜合需量非營業用,456,"16,898","2,564,417",
103,大同區,6低壓綜合非營業用電小計,**,"16,898","2,564,417",
103,大同區,7低壓綜合裝置營業用,16,720,"92,761",
103,大同區,8低壓綜合需量營業用,459,"19,391","4,783,846",
103,大同區,9低壓綜合營業用電小計,**,"20,111","4,876,607",
103,大同區,10低壓綜合用電小計,**,"37,009","7,441,024",
103,大同區,11低壓裝置電力,256,"2,296","189,688",
103,大同區,12低壓需量電力,25,810,"111,670",
103,大同區,13低壓電力小計,**,"3,106","301,358",
103,大同區,14高壓電力,86,"45,061","12,537,880",
103,大同區,15特高壓電力,*,"23,771","11,982,000",
103,大同區,16高＆特高壓電力小計,**,"68,832","24,519,880",
103,大同區,17電力小計,**,"71,938","24,821,238",
103,大同區,18綜合＆電力小計,**,"108,947","32,262,262",
103,大同區,19電燈＆綜合＆電力小計,**,"118,930","70,479,262",
103,大同區,20臨時電燈,15,0,"20,709",
103,大同區,21臨時電力,14,847,"122,965",
103,大同區,22臨時用電小計,**,847,"143,674",
