郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用,"60,041","1,030","27,985,711",,,
100,中正區,2表燈營業用,"9,903","17,489","17,329,132",,,
100,中正區,3表燈小計,**,"18,519","45,314,843",,,
100,中正區,4低壓綜合裝置非營業用,＊,217,"21,304",,,
100,中正區,5低壓綜合需量非營業用,685,"30,008","5,585,884",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,225","5,607,188",,,
100,中正區,7低壓綜合裝置營業用,27,"1,117","157,479",,,
100,中正區,8低壓綜合需量營業用,911,"39,878","10,706,532",,,
100,中正區,9低壓綜合營業用電小計,**,"40,995","10,864,011",,,
100,中正區,10低壓綜合用電小計,**,"71,220","16,471,199",,,
100,中正區,11低壓裝置電力,251,"2,627","398,603",,,
100,中正區,12低壓需量電力,6,107,"11,288",,,
100,中正區,13低壓電力小計,**,"2,734","409,891",,,
100,中正區,14高壓電力,296,"224,219","81,411,341",,,
100,中正區,15特高壓電力,＊,"18,040","9,815,000",,,
100,中正區,16高＆特高壓電力小計,**,"242,259","91,226,341",,,
100,中正區,17電力小計,**,"244,993","91,636,232",,,
100,中正區,18綜合＆電力小計,**,"316,213","108,107,431",,,
100,中正區,19電燈＆綜合＆電力小計,**,"334,732","153,422,274",,,
100,中正區,20臨時電燈,33,0,"63,511",,,
100,中正區,21臨時電力,22,"1,466","163,184",,,
100,中正區,22臨時用電小計,**,"1,466","226,695",,,
100,中正區,23總計（含臨時用電）,**,"334,732","153,648,969",,,
100,中正區,24表燈合計,**,"18,519","45,378,354",,,
100,中正區,25綜合＆電力合計,**,"316,213","108,270,615",,,
103,大同區,1表燈非營業用,"52,692",359,"23,685,273",,,
103,大同區,2表燈營業用,"10,633","8,084","12,832,859",,,
103,大同區,3表燈小計,**,"8,443","36,518,132",,,
103,大同區,4低壓綜合裝置非營業用,＊,0,0,,,
103,大同區,5低壓綜合需量非營業用,423,"15,781","2,694,961",,,
103,大同區,6低壓綜合非營業用電小計,**,"15,781","2,694,961",,,
103,大同區,7低壓綜合裝置營業用,17,745,"115,013",,,
103,大同區,8低壓綜合需量營業用,464,"19,639","5,044,362",,,
103,大同區,9低壓綜合營業用電小計,**,"20,384","5,159,375",,,
103,大同區,10低壓綜合用電小計,**,"36,165","7,854,336",,,
103,大同區,11低壓裝置電力,263,"2,376","258,938",,,
103,大同區,12低壓需量電力,25,820,"150,685",,,
103,大同區,13低壓電力小計,**,"3,196","409,623",,,
103,大同區,14高壓電力,86,"45,329","15,982,080",,,
103,大同區,15特高壓電力,＊,"25,608","13,741,600",,,
103,大同區,16高＆特高壓電力小計,**,"70,937","29,723,680",,,
103,大同區,17電力小計,**,"74,133","30,133,303",,,
103,大同區,18綜合＆電力小計,**,"110,298","37,987,639",,,
103,大同區,19電燈＆綜合＆電力小計,**,"118,741","74,505,771",,,
103,大同區,20臨時電燈,20,0,"4,823",,,
103,大同區,21臨時電力,16,718,"145,164",,,
103,大同區,22臨時用電小計,**,718,"149,987",,,
103,大同區,23總計（含臨時用電）,**,"118,741","74,655,758",,,
103,大同區,24表燈合計,**,"8,443","36,522,955",,,
103,大同區,25綜合＆電力合計,**,"110,298","38,132,803",,,
104,中山區,1表燈非營業用,"110,880","1,416","58,727,904",,,
104,中山區,2表燈營業用,"20,980","39,260","40,810,324",,,
104,中山區,3表燈小計,**,"40,676","99,538,228",,,
