郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用　　　　,"59,587","1,026","19,343,533",,,
100,中正區,2表燈營業用　　　　　　,"9,759","15,450","12,975,478",,,
100,中正區,3表燈小計　　　　　　　,**,"16,476","32,319,011",,,
100,中正區,4低壓綜合裝置非營業用　,＊,217,"16,571",,,
100,中正區,5低壓綜合需量非營業用　,681,"30,522","4,852,471",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,739","4,869,042",,,
100,中正區,7低壓綜合裝置營業用　　,27,"1,117","126,151",,,
100,中正區,8低壓綜合需量營業用　　,894,"39,516","8,693,467",,,
100,中正區,9低壓綜合營業用電小計　,**,"40,633","8,819,618",,,
100,中正區,10低壓綜合用電小計　　　,**,"71,372","13,688,660",,,
100,中正區,11低壓裝置電力　　　　　,256,"2,676","258,294",,,
100,中正區,12低壓需量電力　　　　　,6,107,"8,324",,,
100,中正區,13低壓電力小計　　　　　,**,"2,783","266,618",,,
100,中正區,14高壓電力　　　　　　　,300,"226,303","73,134,651",,,
100,中正區,15特高壓電力　　　　　　,＊,"18,040","9,871,400",,,
100,中正區,16高＆特高壓電力小計　　,**,"244,343","83,006,051",,,
100,中正區,17電力小計　　　　　　　,**,"247,126","83,272,669",,,
100,中正區,18綜合＆電力小計　　　　,**,"318,498","96,961,329",,,
100,中正區,19電燈＆綜合＆電力小計　,**,"334,974","129,280,340",,,
100,中正區,20臨時電燈　　　　　　　,25,0,"19,386",,,
100,中正區,21臨時電力　　　　　　　,21,"1,246","201,305",,,
100,中正區,22臨時用電小計　　　　　,**,"1,246","220,691",,,
100,中正區,23總計（含臨時用電）　　,**,"334,974","129,501,031",,,
100,中正區,24表燈合計　　　　　　　,**,"16,476","32,338,397",,,
100,中正區,25綜合＆電力合計　　　　,**,"318,498","97,162,634",,,
103,大同區,1表燈非營業用　　　　,"52,607",355,"15,806,884",,,
103,大同區,2表燈營業用　　　　　　,"10,460","6,793","9,440,022",,,
103,大同區,3表燈小計　　　　　　　,**,"7,148","25,246,906",,,
103,大同區,4低壓綜合裝置非營業用　,＊,0,0,,,
103,大同區,5低壓綜合需量非營業用　,421,"16,207","2,553,118",,,
103,大同區,6低壓綜合非營業用電小計,**,"16,207","2,553,118",,,
103,大同區,7低壓綜合裝置營業用　　,19,883,"74,019",,,
103,大同區,8低壓綜合需量營業用　　,457,"19,626","4,428,364",,,
103,大同區,9低壓綜合營業用電小計　,**,"20,509","4,502,383",,,
103,大同區,10低壓綜合用電小計　　　,**,"36,716","7,055,501",,,
103,大同區,11低壓裝置電力　　　　　,270,"2,404","150,794",,,
103,大同區,12低壓需量電力　　　　　,26,850,"123,611",,,
103,大同區,13低壓電力小計　　　　　,**,"3,254","274,405",,,
103,大同區,14高壓電力　　　　　　　,88,"46,511","14,063,906",,,
103,大同區,15特高壓電力　　　　　　,＊,"24,151","12,821,600",,,
103,大同區,16高＆特高壓電力小計　　,**,"70,662","26,885,506",,,
103,大同區,17電力小計　　　　　　　,**,"73,916","27,159,911",,,
103,大同區,18綜合＆電力小計　　　　,**,"110,632","34,215,412",,,
103,大同區,19電燈＆綜合＆電力小計　,**,"117,780","59,462,318",,,
103,大同區,20臨時電燈　　　　　　　,27,0,"4,602",,,
103,大同區,21臨時電力　　　　　　　,17,856,"170,465",,,
103,大同區,22臨時用電小計　　　　　,**,856,"175,067",,,
103,大同區,23總計（含臨時用電）　　,**,"117,780","59,637,385",,,
103,大同區,24表燈合計　　　　　　　,**,"7,148","25,251,508",,,
103,大同區,25綜合＆電力合計　　　　,**,"110,632","34,385,877",,,
104,中山區,1表燈非營業用　　　　,"109,915","1,252","38,039,104",,,
104,中山區,2表燈營業用　　　　　　,"20,611","34,517","30,976,280",,,
104,中山區,3表燈小計　　　　　　　,**,"35,769","69,015,384",,,
104,中山區,4低壓綜合裝置非營業用　,＊,130,"10,003",,,
104,中山區,5低壓綜合需量非營業用　,"1,193","46,966","7,542,844",,,
104,中山區,6低壓綜合非營業用電小計,**,"47,096","7,552,847",,,
104,中山區,7低壓綜合裝置營業用　　,45,"1,908","221,107",,,
104,中山區,8低壓綜合需量營業用　　,"1,565","71,074","16,348,753",,,
104,中山區,9低壓綜合營業用電小計　,**,"72,982","16,569,860",,,
104,中山區,10低壓綜合用電小計　　　,**,"120,078","24,122,707",,,
104,中山區,11低壓裝置電力　　　　　,242,"2,779","189,730",,,
104,中山區,12低壓需量電力　　　　　,10,726,"108,583",,,
104,中山區,13低壓電力小計　　　　　,**,"3,505","298,313",,,
104,中山區,14高壓電力　　　　　　　,321,"207,912","63,571,879",,,
104,中山區,15特高壓電力　　　　　　,＊,"27,700","8,002,000",,,
104,中山區,16高＆特高壓電力小計　　,**,"235,612","71,573,879",,,
104,中山區,17電力小計　　　　　　　,**,"239,117","71,872,192",,,
104,中山區,18綜合＆電力小計　　　　,**,"359,195","95,994,899",,,
104,中山區,19電燈＆綜合＆電力小計　,**,"394,964","165,010,283",,,
104,中山區,20臨時電燈　　　　　　　,36,0,"73,348",,,
104,中山區,21臨時電力　　　　　　　,37,"2,700","404,425",,,
104,中山區,22臨時用電小計　　　　　,**,"2,700","477,773",,,
104,中山區,23總計（含臨時用電）　　,**,"394,964","165,488,056",,,
104,中山區,24表燈合計　　　　　　　,**,"35,769","69,088,732",,,
