郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
105,松山區,19電燈＆綜合＆電力小計,**,"225,093","94,147,946 ",,,
105,松山區,20臨時電燈,11,0,"2,299 ",,,
105,松山區,21臨時電力,17,893,"118,140 ",,,
105,松山區,22臨時用電小計,**,893,"120,439 ",,,
105,松山區,23總計（含臨時用電）,**,"225,093","94,268,385 ",,,
105,松山區,24表燈合計,**,"19,919","34,538,275 ",,,
105,松山區,25綜合＆電力合計,**,"205,174","59,730,110 ",,,
106,大安區,1表燈非營業用,"110,647","1,645","50,531,768 ",,,
106,大安區,2表燈營業用,"17,376","39,362","34,795,345 ",,,
106,大安區,3表燈小計,**,"41,007","85,327,113 ",,,
106,大安區,4低壓綜合裝置非營業用,6,235,"16,705 ",,,
106,大安區,5低壓綜合需量非營業用,"1,062","40,342","6,933,392 ",,,
106,大安區,6低壓綜合非營業用電小計,**,"40,577","6,950,097 ",,,
106,大安區,7低壓綜合裝置營業用,11,398,"93,928 ",,,
106,大安區,8低壓綜合需量營業用,"1,444","64,688","14,837,479 ",,,
106,大安區,9低壓綜合營業用電小計,**,"65,086","14,931,407 ",,,
106,大安區,10低壓綜合用電小計,**,"105,663","21,881,504 ",,,
106,大安區,11低壓裝置電力,131,"1,513","173,800 ",,,
106,大安區,12低壓需量電力,＊,296,"53,046 ",,,
106,大安區,13低壓電力小計,**,"1,809","226,846 ",,,
106,大安區,14高壓電力,280,"207,122","69,978,205 ",,,
106,大安區,15特高壓電力,＊,"22,995","9,518,384 ",,,
106,大安區,16高＆特高壓電力小計,**,"230,117","79,496,589 ",,,
106,大安區,17電力小計,**,"231,926","79,723,435 ",,,
106,大安區,18綜合＆電力小計,**,"337,589","101,604,939 ",,,
106,大安區,19電燈＆綜合＆電力小計,**,"378,596","186,932,052 ",,,
106,大安區,20臨時電燈,16,0,"77,277 ",,,
106,大安區,21臨時電力,26,"2,376","368,997 ",,,
106,大安區,22臨時用電小計,**,"2,376","446,274 ",,,
106,大安區,23總計（含臨時用電）,**,"378,596","187,378,326 ",,,
106,大安區,24表燈合計,**,"41,007","85,404,390 ",,,
106,大安區,25綜合＆電力合計,**,"337,589","101,973,936 ",,,
108,萬華區,1表燈非營業用,"76,820",968,"21,196,149 ",,,
108,萬華區,2表燈營業用,"9,190","14,414","11,630,938 ",,,
108,萬華區,3表燈小計,**,"15,382","32,827,087 ",,,
108,萬華區,4低壓綜合裝置非營業用,＊,0,0 ,,,
108,萬華區,5低壓綜合需量非營業用,330,"10,980","1,761,437 ",,,
108,萬華區,6低壓綜合非營業用電小計,**,"10,980","1,761,437 ",,,
108,萬華區,7低壓綜合裝置營業用,36,"1,646","284,187 ",,,
108,萬華區,8低壓綜合需量營業用,710,"24,006","6,325,058 ",,,
108,萬華區,9低壓綜合營業用電小計,**,"25,652","6,609,245 ",,,
108,萬華區,10低壓綜合用電小計,**,"36,632","8,370,682 ",,,
108,萬華區,11低壓裝置電力,303,"3,180","322,469 ",,,
108,萬華區,12低壓需量電力,39,"1,324","199,255 ",,,
108,萬華區,13低壓電力小計,**,"4,504","521,724 ",,,
108,萬華區,14高壓電力,109,"45,914","14,673,792 ",,,
108,萬華區,15特高壓電力,＊,0,0 ,,,
108,萬華區,16高＆特高壓電力小計,**,"45,914","14,673,792 ",,,
108,萬華區,17電力小計,**,"50,418","15,195,516 ",,,
108,萬華區,18綜合＆電力小計,**,"87,050","23,566,198 ",,,
108,萬華區,19電燈＆綜合＆電力小計,**,"102,432","56,393,285 ",,,
108,萬華區,20臨時電燈,18,0,"23,598 ",,,
108,萬華區,21臨時電力,15,"1,005","203,880 ",,,
108,萬華區,22臨時用電小計,**,"1,005","227,478 ",,,
108,萬華區,23總計（含臨時用電）,**,"102,432","56,620,763 ",,,
108,萬華區,24表燈合計,**,"15,382","32,850,685 ",,,
108,萬華區,25綜合＆電力合計,**,"87,050","23,770,078 ",,,
110,信義區,1表燈非營業用,"84,229",732,"37,243,953 ",,,
110,信義區,2表燈營業用,"10,276","12,727","17,332,917 ",,,
110,信義區,3表燈小計,**,"13,459","54,576,870 ",,,
110,信義區,4低壓綜合裝置非營業用,＊,138,"4,360 ",,,
110,信義區,5低壓綜合需量非營業用,553,"25,829","4,584,096 ",,,
110,信義區,6低壓綜合非營業用電小計,**,"25,967","4,588,456 ",,,
110,信義區,7低壓綜合裝置營業用,＊,28,"9,309 ",,,
110,信義區,8低壓綜合需量營業用,546,"24,562","5,911,976 ",,,
110,信義區,9低壓綜合營業用電小計,**,"24,590","5,921,285 ",,,
110,信義區,10低壓綜合用電小計,**,"50,557","10,509,741 ",,,
110,信義區,11低壓裝置電力,24,241,"35,084 ",,,
110,信義區,12低壓需量電力,6,705,"169,941 ",,,
110,信義區,13低壓電力小計,**,946,"205,025 ",,,
110,信義區,14高壓電力,143,"204,608","69,449,367 ",,,
110,信義區,15特高壓電力,＊,"7,825","2,952,000 ",,,
110,信義區,16高＆特高壓電力小計,**,"212,433","72,401,367 ",,,
110,信義區,17電力小計,**,"213,379","72,606,392 ",,,
