郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用,"60,216","1,176","24,652,935",,,
100,中正區,2表燈營業用,"9,892","18,409","15,785,184",,,
100,中正區,3表燈小計,**,"19,585","40,438,119",,,
100,中正區,4低壓綜合裝置非營業用,*,217,"16,592",,,
100,中正區,5低壓綜合需量非營業用,686,"30,018","4,953,697",,,
100,中正區,6低壓綜合非營業用電小計,**,"30,235","4,970,289",,,
100,中正區,7低壓綜合裝置營業用,27,"1,117","133,153",,,
100,中正區,8低壓綜合需量營業用,915,"40,174","9,077,413",,,
100,中正區,9低壓綜合營業用電小計,**,"41,291","9,210,566",,,
100,中正區,10低壓綜合用電小計,**,"71,526","14,180,855",,,
100,中正區,11低壓裝置電力,248,"2,595","290,608",,,
100,中正區,12低壓需量電力,6,107,"9,052",,,
100,中正區,13低壓電力小計,**,"2,702","299,660",,,
100,中正區,14高壓電力,295,"223,135","64,778,504",,,
100,中正區,15特高壓電力,*,"18,040","8,722,200",,,
100,中正區,16高＆特高壓電力小計,**,"241,175","73,500,704",,,
100,中正區,17電力小計,**,"243,877","73,800,364",,,
100,中正區,18綜合＆電力小計,**,"315,403","87,981,219",,,
100,中正區,19電燈＆綜合＆電力小計,**,"334,988","128,419,338",,,
100,中正區,20臨時電燈,33,0,"72,925",,,
100,中正區,21臨時電力,21,"1,178","146,917",,,
100,中正區,22臨時用電小計,**,"1,178","219,842",,,
100,中正區,23總計（含臨時用電）,**,"334,988","128,639,180",,,
100,中正區,24表燈合計,**,"19,585","40,511,044",,,
100,中正區,25綜合＆電力合計,**,"315,403","88,128,136",,,
103,大同區,1表燈非營業用,"52,736",378,"22,637,055",,,
103,大同區,2表燈營業用,"10,633","8,292","12,742,944",,,
103,大同區,3表燈小計,**,"8,670","35,379,999",,,
103,大同區,4低壓綜合裝置非營業用,*,0,0,,,
103,大同區,5低壓綜合需量非營業用,428,"15,786","2,560,232",,,
103,大同區,6低壓綜合非營業用電小計,**,"15,786","2,560,232",,,
103,大同區,7低壓綜合裝置營業用,17,745,"99,210",,,
103,大同區,8低壓綜合需量營業用,458,"19,185","4,727,918",,,
103,大同區,9低壓綜合營業用電小計,**,"19,930","4,827,128",,,
103,大同區,10低壓綜合用電小計,**,"35,716","7,387,360",,,
103,大同區,11低壓裝置電力,263,"2,376","206,405",,,
103,大同區,12低壓需量電力,25,820,"140,948",,,
103,大同區,13低壓電力小計,**,"3,196","347,353",,,
103,大同區,14高壓電力,88,"45,355","13,000,706",,,
103,大同區,15特高壓電力,*,"25,608","12,330,000",,,
103,大同區,16高＆特高壓電力小計,**,"70,963","25,330,706",,,
103,大同區,17電力小計,**,"74,159","25,678,059",,,
103,大同區,18綜合＆電力小計,**,"109,875","33,065,419",,,
103,大同區,19電燈＆綜合＆電力小計,**,"118,545","68,445,418",,,
103,大同區,20臨時電燈,20,0,"17,429",,,
103,大同區,21臨時電力,15,784,"164,638",,,
103,大同區,22臨時用電小計,**,784,"182,067",,,
103,大同區,23總計（含臨時用電）,**,"118,545","68,627,485",,,
103,大同區,24表燈合計,**,"8,670","35,397,428",,,
103,大同區,25綜合＆電力合計,**,"109,875","33,230,057",,,
104,中山區,1表燈非營業用,"111,108","1,358","52,643,986",,,
104,中山區,2表燈營業用,"21,108","41,197","38,117,393",,,
104,中山區,3表燈小計,**,"42,555","90,761,379",,,
104,中山區,4低壓綜合裝置非營業用,*,130,"10,249",,,
104,中山區,5低壓綜合需量非營業用,"1,228","47,368","7,927,055",,,
104,中山區,6低壓綜合非營業用電小計,**,"47,498","7,937,304",,,
104,中山區,7低壓綜合裝置營業用,40,"1,622","204,634",,,
104,中山區,8低壓綜合需量營業用,"1,570","71,846","17,129,353",,,
104,中山區,9低壓綜合營業用電小計,**,"73,468","17,333,987",,,
104,中山區,10低壓綜合用電小計,**,"120,966","25,271,291",,,
104,中山區,11低壓裝置電力,226,"2,594","245,232",,,
104,中山區,12低壓需量電力,8,642,"120,141",,,
104,中山區,13低壓電力小計,**,"3,236","365,373",,,
104,中山區,14高壓電力,319,"212,012","59,106,772",,,
104,中山區,15特高壓電力,*,"24,200","7,563,200",,,
104,中山區,16高＆特高壓電力小計,**,"236,212","66,669,972",,,
104,中山區,17電力小計,**,"239,448","67,035,345",,,
104,中山區,18綜合＆電力小計,**,"360,414","92,306,636",,,
104,中山區,19電燈＆綜合＆電力小計,**,"402,969","183,068,015",,,
104,中山區,20臨時電燈,33,0,"49,942",,,
104,中山區,21臨時電力,31,"2,075","187,556",,,
104,中山區,22臨時用電小計,**,"2,075","237,498",,,
104,中山區,23總計（含臨時用電）,**,"402,969","183,305,513",,,
104,中山區,24表燈合計,**,"42,555","90,811,321",,,
104,中山區,25綜合＆電力合計,**,"360,414","92,494,192",,,
105,松山區,1表燈非營業用,"72,472","1,127","24,432,288",,,
105,松山區,2表燈營業用,"11,685","20,151","18,151,705",,,
105,松山區,3表燈小計,**,"21,278","42,583,993",,,
105,松山區,4低壓綜合裝置非營業用,*,137,"6,457",,,
105,松山區,5低壓綜合需量非營業用,549,"21,788","3,997,934",,,
105,松山區,6低壓綜合非營業用電小計,**,"21,925","4,004,391",,,
105,松山區,7低壓綜合裝置營業用,*,154,"13,084",,,
105,松山區,8低壓綜合需量營業用,828,"40,590","9,657,206",,,
105,松山區,9低壓綜合營業用電小計,**,"40,744","9,670,290",,,
105,松山區,10低壓綜合用電小計,**,"62,669","13,674,681",,,
105,松山區,11低壓裝置電力,62,561,"50,165",,,
105,松山區,12低壓需量電力,12,652,"140,072",,,
105,松山區,13低壓電力小計,**,"1,213","190,237",,,
105,松山區,14高壓電力,159,"131,546","36,456,103",,,
105,松山區,15特高壓電力,*,"8,600","4,072,000",,,
105,松山區,16高＆特高壓電力小計,**,"140,146","40,528,103",,,
105,松山區,17電力小計,**,"141,359","40,718,340",,,
105,松山區,18綜合＆電力小計,**,"204,028","54,393,021",,,
105,松山區,19電燈＆綜合＆電力小計,**,"225,306","96,977,014",,,
105,松山區,20臨時電燈,11,0,"9,939",,,
105,松山區,21臨時電力,15,999,"142,500",,,
105,松山區,22臨時用電小計,**,999,"152,439",,,
105,松山區,23總計（含臨時用電）,**,"225,306","97,129,453",,,
105,松山區,24表燈合計,**,"21,278","42,593,932",,,
105,松山區,25綜合＆電力合計,**,"204,028","54,535,521",,,
106,大安區,1表燈非營業用,"110,842","1,837","60,197,735",,,
106,大安區,2表燈營業用,"17,389","41,748","39,093,332",,,
106,大安區,3表燈小計,**,"43,585","99,291,067",,,
106,大安區,4低壓綜合裝置非營業用,6,235,"14,853",,,
106,大安區,5低壓綜合需量非營業用,"1,070","40,566","6,995,079",,,
106,大安區,6低壓綜合非營業用電小計,**,"40,801","7,009,932",,,
106,大安區,7低壓綜合裝置營業用,11,398,"75,172",,,
106,大安區,8低壓綜合需量營業用,"1,451","64,579","14,537,994",,,
106,大安區,9低壓綜合營業用電小計,**,"64,977","14,613,166",,,
106,大安區,10低壓綜合用電小計,**,"105,778","21,623,098",,,
106,大安區,11低壓裝置電力,129,"1,496","165,570",,,
106,大安區,12低壓需量電力,*,296,"51,739",,,
106,大安區,13低壓電力小計,**,"1,792","217,309",,,
106,大安區,14高壓電力,281,"207,120","60,126,958",,,
106,大安區,15特高壓電力,*,"23,095","8,800,141",,,
106,大安區,16高＆特高壓電力小計,**,"230,215","68,927,099",,,
106,大安區,17電力小計,**,"232,007","69,144,408",,,
106,大安區,18綜合＆電力小計,**,"337,785","90,767,506",,,
