郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月)
100,中正區,1表燈非營業用,"60,185 ","1,178 ","31,433,200 "
100,中正區,2表燈營業用,"9,889 ","18,481 ","22,188,345 "
100,中正區,3表燈小計,**,"19,659 ","53,621,545 "
100,中正區,4低壓綜合裝置非營業用,*,217 ,"16,271 "
100,中正區,5低壓綜合需量非營業用,687 ,"30,123 ","5,383,256 "
100,中正區,6低壓綜合非營業用電小計,**,"30,340 ","5,399,527 "
100,中正區,7低壓綜合裝置營業用,27 ,"1,117 ","146,763 "
100,中正區,8低壓綜合需量營業用,911 ,"39,928 ","9,955,730 "
100,中正區,9低壓綜合營業用電小計,**,"41,045 ","10,102,493 "
100,中正區,10低壓綜合用電小計,**,"71,385 ","15,502,020 "
100,中正區,11低壓裝置電力,249 ,"2,609 ","349,650 "
100,中正區,12低壓需量電力,6 ,107 ,"10,851 "
100,中正區,13低壓電力小計,**,"2,716 ","360,501 "
100,中正區,14高壓電力,294 ,"223,119 ","74,642,069 "
100,中正區,15特高壓電力,*,"18,040 ","9,478,200 "
100,中正區,16高＆特高壓電力小計,**,"241,159 ","84,120,269 "
100,中正區,17電力小計,**,"243,875 ","84,480,770 "
100,中正區,18綜合＆電力小計,**,"315,260 ","99,982,790 "
100,中正區,19電燈＆綜合＆電力小計,**,"334,919 ","153,604,335 "
100,中正區,20臨時電燈,34 ,0 ,"39,775 "
100,中正區,21臨時電力,22 ,"1,233 ","157,292 "
100,中正區,22臨時用電小計,**,"1,233 ","197,067 "
100,中正區,23總計（含臨時用電）,**,"334,919 ","153,801,402 "
100,中正區,24表燈合計,**,"19,659 ","53,661,320 "
100,中正區,25綜合＆電力合計,**,"315,260 ","100,140,082 "
103,大同區,1表燈非營業用,"52,741 ",378 ,"22,932,026 "
103,大同區,2表燈營業用,"10,641 ","8,193 ","14,749,342 "
103,大同區,3表燈小計,**,"8,571 ","37,681,368 "
103,大同區,4低壓綜合裝置非營業用,*,0 ,0 
103,大同區,5低壓綜合需量非營業用,425 ,"15,751 ","2,534,963 "
103,大同區,6低壓綜合非營業用電小計,**,"15,751 ","2,534,963 "
103,大同區,7低壓綜合裝置營業用,17 ,745 ,"104,171 "
103,大同區,8低壓綜合需量營業用,462 ,"19,400 ","4,777,286 "
103,大同區,9低壓綜合營業用電小計,**,"20,145 ","4,881,457 "
103,大同區,10低壓綜合用電小計,**,"35,896 ","7,416,420 "
103,大同區,11低壓裝置電力,263 ,"2,376 ","228,385 "
103,大同區,12低壓需量電力,25 ,820 ,"143,699 "
103,大同區,13低壓電力小計,**,"3,196 ","372,084 "
103,大同區,14高壓電力,88 ,"45,630 ","15,128,277 "
103,大同區,15特高壓電力,*,"25,608 ","13,458,000 "
103,大同區,16高＆特高壓電力小計,**,"71,238 ","28,586,277 "
103,大同區,17電力小計,**,"74,434 ","28,958,361 "
103,大同區,18綜合＆電力小計,**,"110,330 ","36,374,781 "
103,大同區,19電燈＆綜合＆電力小計,**,"118,901 ","74,056,149 "
103,大同區,20臨時電燈,19 ,0 ,"21,622 "
103,大同區,21臨時電力,15 ,718 ,"159,529 "
103,大同區,22臨時用電小計,**,718 ,"181,151 "
103,大同區,23總計（含臨時用電）,**,"118,901 ","74,237,300 "
103,大同區,24表燈合計,**,"8,571 ","37,702,990 "
103,大同區,25綜合＆電力合計,**,"110,330 ","36,534,310 "
104,中山區,1表燈非營業用,"111,039 ","1,363 ","54,217,969 "
104,中山區,2表燈營業用,"21,132 ","40,672 ","48,349,378 "
104,中山區,3表燈小計,**,"42,035 ","102,567,347 "
104,中山區,4低壓綜合裝置非營業用,*,130 ,"11,544 "
104,中山區,5低壓綜合需量非營業用,"1,231 ","47,414 ","8,809,120 "
104,中山區,6低壓綜合非營業用電小計,**,"47,544 ","8,820,664 "
104,中山區,7低壓綜合裝置營業用,40 ,"1,622 ","227,617 "
104,中山區,8低壓綜合需量營業用,"1,563 ","71,792 ","18,435,611 "
104,中山區,9低壓綜合營業用電小計,**,"73,414 ","18,663,228 "
104,中山區,10低壓綜合用電小計,**,"120,958 ","27,483,892 "
104,中山區,11低壓裝置電力,226 ,"2,594 ","280,403 "
104,中山區,12低壓需量電力,8 ,642 ,"111,883 "
104,中山區,13低壓電力小計,**,"3,236 ","392,286 "
104,中山區,14高壓電力,319 ,"212,342 ","68,090,232 "
104,中山區,15特高壓電力,*,"24,200 ","8,601,600 "
104,中山區,16高＆特高壓電力小計,**,"236,542 ","76,691,832 "
104,中山區,17電力小計,**,"239,778 ","77,084,118 "
104,中山區,18綜合＆電力小計,**,"360,736 ","104,568,010 "
104,中山區,19電燈＆綜合＆電力小計,**,"402,771 ","207,135,357 "
104,中山區,20臨時電燈,32 ,0 ,"46,013 "
104,中山區,21臨時電力,29 ,"1,728 ","205,326 "
104,中山區,22臨時用電小計,**,"1,728 ","251,339 "
104,中山區,23總計（含臨時用電）,**,"402,771 ","207,386,696 "
104,中山區,24表燈合計,**,"42,035 ","102,613,360 "
104,中山區,25綜合＆電力合計,**,"360,736 ","104,773,336 "
105,松山區,1表燈非營業用,"72,483 ","1,233 ","48,238,283 "
105,松山區,2表燈營業用,"11,663 ","20,108 ","30,389,025 "
105,松山區,3表燈小計,**,"21,341 ","78,627,308 "
105,松山區,4低壓綜合裝置非營業用,*,137 ,"6,567 "
105,松山區,5低壓綜合需量非營業用,550 ,"21,743 ","4,180,461 "
105,松山區,6低壓綜合非營業用電小計,**,"21,880 ","4,187,028 "
105,松山區,7低壓綜合裝置營業用,*,154 ,"17,572 "
105,松山區,8低壓綜合需量營業用,831 ,"40,795 ","10,080,180 "
105,松山區,9低壓綜合營業用電小計,**,"40,949 ","10,097,752 "
105,松山區,10低壓綜合用電小計,**,"62,829 ","14,284,780 "
105,松山區,11低壓裝置電力,62 ,561 ,"58,537 "
105,松山區,12低壓需量電力,12 ,652 ,"141,101 "
105,松山區,13低壓電力小計,**,"1,213 ","199,638 "
105,松山區,14高壓電力,159 ,"131,996 ","42,190,617 "
105,松山區,15特高壓電力,*,"8,600 ","4,376,000 "
105,松山區,16高＆特高壓電力小計,**,"140,596 ","46,566,617 "
105,松山區,17電力小計,**,"141,809 ","46,766,255 "
105,松山區,18綜合＆電力小計,**,"204,638 ","61,051,035 "
105,松山區,19電燈＆綜合＆電力小計,**,"225,979 ","139,678,343 "
105,松山區,20臨時電燈,12 ,0 ,"21,706 "
105,松山區,21臨時電力,15 ,999 ,"128,360 "
105,松山區,22臨時用電小計,**,999 ,"150,066 "
105,松山區,23總計（含臨時用電）,**,"225,979 ","139,828,409 "
105,松山區,24表燈合計,**,"21,341 ","78,649,014 "
105,松山區,25綜合＆電力合計,**,"204,638 ","61,179,395 "
106,大安區,1表燈非營業用,"110,798 ","1,793 ","50,748,332 "
106,大安區,2表燈營業用,"17,404 ","41,405 ","32,598,804 "
106,大安區,3表燈小計,**,"43,198 ","83,347,136 "
106,大安區,4低壓綜合裝置非營業用,6 ,235 ,"17,306 "
106,大安區,5低壓綜合需量非營業用,"1,066 ","40,404 ","7,817,423 "
106,大安區,6低壓綜合非營業用電小計,**,"40,639 ","7,834,729 "
106,大安區,7低壓綜合裝置營業用,11 ,398 ,"92,556 "
106,大安區,8低壓綜合需量營業用,"1,452 ","64,754 ","16,162,415 "
106,大安區,9低壓綜合營業用電小計,**,"65,152 ","16,254,971 "
106,大安區,10低壓綜合用電小計,**,"105,791 ","24,089,700 "
106,大安區,11低壓裝置電力,129 ,"1,496 ","200,912 "
106,大安區,12低壓需量電力,*,296 ,"55,761 "
106,大安區,13低壓電力小計,**,"1,792 ","256,673 "
106,大安區,14高壓電力,282 ,"208,183 ","69,922,855 "
106,大安區,15特高壓電力,*,"23,095 ","6,471,535 "
106,大安區,16高＆特高壓電力小計,**,"231,278 ","76,394,390 "
106,大安區,17電力小計,**,"233,070 ","76,651,063 "
106,大安區,18綜合＆電力小計,**,"338,861 ","100,740,763 "
106,大安區,19電燈＆綜合＆電力小計,**,"382,059 ","184,087,899 "
106,大安區,20臨時電燈,16 ,0 ,"35,982 "
106,大安區,21臨時電力,30 ,"2,588 ","436,074 "
106,大安區,22臨時用電小計,**,"2,588 ","472,056 "
106,大安區,23總計（含臨時用電）,**,"382,059 ","184,559,955 "
106,大安區,24表燈合計,**,"43,198 ","83,383,118 "
106,大安區,25綜合＆電力合計,**,"338,861 ","101,176,837 "
108,萬華區,1表燈非營業用,"77,602 ","1,036 ","35,510,705 "
108,萬華區,2表燈營業用,"9,187 ","15,485 ","13,444,547 "
108,萬華區,3表燈小計,**,"16,521 ","48,955,252 "
108,萬華區,4低壓綜合裝置非營業用,*,0 ,0 
108,萬華區,5低壓綜合需量非營業用,334 ,"11,536 ","2,022,294 "
108,萬華區,6低壓綜合非營業用電小計,**,"11,536 ","2,022,294 "
108,萬華區,7低壓綜合裝置營業用,36 ,"1,646 ","300,420 "
108,萬華區,8低壓綜合需量營業用,714 ,"23,988 ","6,796,567 "
108,萬華區,9低壓綜合營業用電小計,**,"25,634 ","7,096,987 "
108,萬華區,10低壓綜合用電小計,**,"37,170 ","9,119,281 "
108,萬華區,11低壓裝置電力,299 ,"3,142 ","429,573 "
108,萬華區,12低壓需量電力,39 ,"1,326 ","225,911 "
108,萬華區,13低壓電力小計,**,"4,468 ","655,484 "
108,萬華區,14高壓電力,108 ,"45,126 ","14,984,024 "
108,萬華區,15特高壓電力,*,0 ,0 
108,萬華區,16高＆特高壓電力小計,**,"45,126 ","14,984,024 "
108,萬華區,17電力小計,**,"49,594 ","15,639,508 "
108,萬華區,18綜合＆電力小計,**,"86,764 ","24,758,789 "
108,萬華區,19電燈＆綜合＆電力小計,**,"103,285 ","73,714,041 "
108,萬華區,20臨時電燈,16 ,0 ,"24,032 "
108,萬華區,21臨時電力,17 ,"1,151 ","168,000 "
108,萬華區,22臨時用電小計,**,"1,151 ","192,032 "
108,萬華區,23總計（含臨時用電）,**,"103,285 ","73,906,073 "
108,萬華區,24表燈合計,**,"16,521 ","48,979,284 "
108,萬華區,25綜合＆電力合計,**,"86,764 ","24,926,789 "
110,信義區,1表燈非營業用,"84,333 ",843 ,"29,959,718 "
110,信義區,2表燈營業用,"10,298 ","13,537 ","13,730,646 "
110,信義區,3表燈小計,**,"14,380 ","43,690,364 "
110,信義區,4低壓綜合裝置非營業用,*,138 ,"4,520 "
110,信義區,5低壓綜合需量非營業用,558 ,"25,903 ","5,194,017 "
110,信義區,6低壓綜合非營業用電小計,**,"26,041 ","5,198,537 "
110,信義區,7低壓綜合裝置營業用,*,28 ,"11,750 "
110,信義區,8低壓綜合需量營業用,541 ,"24,157 ","6,360,428 "
110,信義區,9低壓綜合營業用電小計,**,"24,185 ","6,372,178 "
110,信義區,10低壓綜合用電小計,**,"50,226 ","11,570,715 "
110,信義區,11低壓裝置電力,22 ,234 ,"41,083 "
110,信義區,12低壓需量電力,6 ,705 ,"187,459 "
110,信義區,13低壓電力小計,**,939 ,"228,542 "
110,信義區,14高壓電力,143 ,"200,631 ","70,231,986 "
110,信義區,15特高壓電力,*,"7,825 ","3,374,400 "
110,信義區,16高＆特高壓電力小計,**,"208,456 ","73,606,386 "
110,信義區,17電力小計,**,"209,395 ","73,834,928 "
110,信義區,18綜合＆電力小計,**,"259,621 ","85,405,643 "
110,信義區,19電燈＆綜合＆電力小計,**,"274,001 ","129,096,007 "
110,信義區,20臨時電燈,9 ,0 ,"21,553 "
110,信義區,21臨時電力,25 ,"2,926 ","591,867 "
110,信義區,22臨時用電小計,**,"2,926 ","613,420 "
110,信義區,23總計（含臨時用電）,**,"274,001 ","129,709,427 "
110,信義區,24表燈合計,**,"14,380 ","43,711,917 "
110,信義區,25綜合＆電力合計,**,"259,621 ","85,997,510 "
111,士林區,1表燈非營業用,"107,000 ","2,061 ","54,891,687 "
111,士林區,2表燈營業用,"9,664 ","18,148 ","14,682,694 "
111,士林區,3表燈小計,**,"20,209 ","69,574,381 "
111,士林區,4低壓綜合裝置非營業用,*,0 ,0 
111,士林區,5低壓綜合需量非營業用,646 ,"23,886 ","4,074,370 "
111,士林區,6低壓綜合非營業用電小計,**,"23,886 ","4,074,370 "
111,士林區,7低壓綜合裝置營業用,*,47 ,"7,987 "
111,士林區,8低壓綜合需量營業用,818 ,"30,289 ","7,437,913 "
111,士林區,9低壓綜合營業用電小計,**,"30,336 ","7,445,900 "
111,士林區,10低壓綜合用電小計,**,"54,222 ","11,520,270 "
111,士林區,11低壓裝置電力,114 ,"1,489 ","198,961 "
111,士林區,12低壓需量電力,121 ,"5,979 ","969,232 "
111,士林區,13低壓電力小計,**,"7,468 ","1,168,193 "
111,士林區,14高壓電力,139 ,"96,827 ","31,590,961 "
111,士林區,15特高壓電力,*,0 ,0 
111,士林區,16高＆特高壓電力小計,**,"96,827 ","31,590,961 "
111,士林區,17電力小計,**,"104,295 ","32,759,154 "
111,士林區,18綜合＆電力小計,**,"158,517 ","44,279,424 "
111,士林區,19電燈＆綜合＆電力小計,**,"178,726 ","113,853,805 "
111,士林區,20臨時電燈,64 ,0 ,"87,267 "
111,士林區,21臨時電力,23 ,"3,460 ","555,050 "
111,士林區,22臨時用電小計,**,"3,460 ","642,317 "
111,士林區,23總計（含臨時用電）,**,"178,726 ","114,496,122 "
111,士林區,24表燈合計,**,"20,209 ","69,661,648 "
111,士林區,25綜合＆電力合計,**,"158,517 ","44,834,474 "
112,北投區,1表燈非營業用,"93,820 ",822 ,"62,875,879 "
112,北投區,2表燈營業用,"5,945 ","9,395 ","17,335,787 "
112,北投區,3表燈小計,**,"10,217 ","80,211,666 "
112,北投區,4低壓綜合裝置非營業用,*,0 ,0 
112,北投區,5低壓綜合需量非營業用,629 ,"20,294 ","3,379,791 "
112,北投區,6低壓綜合非營業用電小計,**,"20,294 ","3,379,791 "
112,北投區,7低壓綜合裝置營業用,*,70 ,"8,340 "
112,北投區,8低壓綜合需量營業用,424 ,"20,906 ","5,629,362 "
112,北投區,9低壓綜合營業用電小計,**,"20,976 ","5,637,702 "
112,北投區,10低壓綜合用電小計,**,"41,270 ","9,017,493 "
112,北投區,11低壓裝置電力,66 ,801 ,"106,828 "
112,北投區,12低壓需量電力,95 ,"5,108 ","782,663 "
112,北投區,13低壓電力小計,**,"5,909 ","889,491 "
112,北投區,14高壓電力,124 ,"99,018 ","39,243,604 "
112,北投區,15特高壓電力,*,"10,537 ","5,849,463 "
112,北投區,16高＆特高壓電力小計,**,"109,555 ","45,093,067 "
112,北投區,17電力小計,**,"115,464 ","45,982,558 "
112,北投區,18綜合＆電力小計,**,"156,734 ","55,000,051 "
112,北投區,19電燈＆綜合＆電力小計,**,"166,951 ","135,211,717 "
112,北投區,20臨時電燈,38 ,0 ,"40,232 "
112,北投區,21臨時電力,43 ,"2,171 ","315,067 "
112,北投區,22臨時用電小計,**,"2,171 ","355,299 "
112,北投區,23總計（含臨時用電）,**,"166,951 ","135,567,016 "
112,北投區,24表燈合計,**,"10,217 ","80,251,898 "
112,北投區,25綜合＆電力合計,**,"156,734 ","55,315,118 "
114,內湖區,1表燈非營業用,"103,102 ",527 ,"49,119,072 "
114,內湖區,2表燈營業用,"13,183 ","21,096 ","14,687,111 "
114,內湖區,3表燈小計,**,"21,623 ","63,806,183 "
114,內湖區,4低壓綜合裝置非營業用,*,0 ,0 
114,內湖區,5低壓綜合需量非營業用,"1,143 ","49,813 ","9,382,347 "
114,內湖區,6低壓綜合非營業用電小計,**,"49,813 ","9,382,347 "
114,內湖區,7低壓綜合裝置營業用,*,0 ,0 
114,內湖區,8低壓綜合需量營業用,"1,757 ","110,834 ","28,332,154 "
114,內湖區,9低壓綜合營業用電小計,**,"110,834 ","28,332,154 "
114,內湖區,10低壓綜合用電小計,**,"160,647 ","37,714,501 "
114,內湖區,11低壓裝置電力,21 ,175 ,"9,360 "
114,內湖區,12低壓需量電力,343 ,"13,062 ","2,915,154 "
114,內湖區,13低壓電力小計,**,"13,237 ","2,924,514 "
114,內湖區,14高壓電力,163 ,"135,804 ","55,507,645 "
114,內湖區,15特高壓電力,*,"11,700 ","4,611,600 "
114,內湖區,16高＆特高壓電力小計,**,"147,504 ","60,119,245 "
114,內湖區,17電力小計,**,"160,741 ","63,043,759 "
114,內湖區,18綜合＆電力小計,**,"321,388 ","100,758,260 "
114,內湖區,19電燈＆綜合＆電力小計,**,"343,011 ","164,564,443 "
114,內湖區,20臨時電燈,26 ,0 ,"10,539 "
114,內湖區,21臨時電力,51 ,"4,478 ","923,579 "
114,內湖區,22臨時用電小計,**,"4,478 ","934,118 "
114,內湖區,23總計（含臨時用電）,**,"343,011 ","165,498,561 "
114,內湖區,24表燈合計,**,"21,623 ","63,816,722 "
114,內湖區,25綜合＆電力合計,**,"321,388 ","101,681,839 "
115,南港區,1表燈非營業用,"44,035 ",63 ,"11,173,025 "
115,南港區,2表燈營業用,"4,353 ","6,046 ","4,066,583 "
115,南港區,3表燈小計,**,"6,109 ","15,239,608 "
115,南港區,4低壓綜合裝置非營業用,*,0 ,0 
115,南港區,5低壓綜合需量非營業用,357 ,"13,403 ","2,330,994 "
115,南港區,6低壓綜合非營業用電小計,**,"13,403 ","2,330,994 "
115,南港區,7低壓綜合裝置營業用,*,0 ,0 
115,南港區,8低壓綜合需量營業用,247 ,"13,026 ","3,218,467 "
115,南港區,9低壓綜合營業用電小計,**,"13,026 ","3,218,467 "
115,南港區,10低壓綜合用電小計,**,"26,429 ","5,549,461 "
115,南港區,11低壓裝置電力,31 ,543 ,"57,653 "
115,南港區,12低壓需量電力,150 ,"4,753 ","674,209 "
115,南港區,13低壓電力小計,**,"5,296 ","731,862 "
115,南港區,14高壓電力,84 ,"101,031 ","35,705,788 "
115,南港區,15特高壓電力,*,"39,685 ","17,637,390 "
115,南港區,16高＆特高壓電力小計,**,"140,716 ","53,343,178 "
115,南港區,17電力小計,**,"146,012 ","54,075,040 "
115,南港區,18綜合＆電力小計,**,"172,441 ","59,624,501 "
115,南港區,19電燈＆綜合＆電力小計,**,"178,550 ","74,864,109 "
115,南港區,20臨時電燈,10 ,0 ,"3,452 "
115,南港區,21臨時電力,17 ,"1,999 ","527,986 "
115,南港區,22臨時用電小計,**,"1,999 ","531,438 "
115,南港區,23總計（含臨時用電）,**,"178,550 ","75,395,547 "
115,南港區,24表燈合計,**,"6,109 ","15,243,060 "
115,南港區,25綜合＆電力合計,**,"172,441 ","60,152,487 "
116,文山區,1表燈非營業用,"99,743 ",355 ,"40,578,323 "
116,文山區,2表燈營業用,"5,029 ","9,293 ","9,243,554 "
116,文山區,3表燈小計,**,"9,648 ","49,821,877 "
116,文山區,4低壓綜合裝置非營業用,*,0 ,0 
116,文山區,5低壓綜合需量非營業用,792 ,"24,579 ","3,879,126 "
116,文山區,6低壓綜合非營業用電小計,**,"24,579 ","3,879,126 "
116,文山區,7低壓綜合裝置營業用,*,74 ,"9,361 "
116,文山區,8低壓綜合需量營業用,314 ,"10,630 ","3,120,785 "
116,文山區,9低壓綜合營業用電小計,**,"10,704 ","3,130,146 "
116,文山區,10低壓綜合用電小計,**,"35,283 ","7,009,272 "
116,文山區,11低壓裝置電力,28 ,297 ,"85,344 "
116,文山區,12低壓需量電力,25 ,992 ,"170,130 "
116,文山區,13低壓電力小計,**,"1,289 ","255,474 "
116,文山區,14高壓電力,97 ,"44,955 ","13,554,844 "
116,文山區,15特高壓電力,*,"24,796 ","10,690,697 "
116,文山區,16高＆特高壓電力小計,**,"69,751 ","24,245,541 "
116,文山區,17電力小計,**,"71,040 ","24,501,015 "
116,文山區,18綜合＆電力小計,**,"106,323 ","31,510,287 "
116,文山區,19電燈＆綜合＆電力小計,**,"115,971 ","81,332,164 "
116,文山區,20臨時電燈,15 ,0 ,"7,017 "
116,文山區,21臨時電力,26 ,"1,951 ","357,723 "
116,文山區,22臨時用電小計,**,"1,951 ","364,740 "
116,文山區,23總計（含臨時用電）,**,"115,971 ","81,696,904 "
116,文山區,24表燈合計,**,"9,648 ","49,828,894 "
116,文山區,25綜合＆電力合計,**,"106,323 ","31,868,010 "
200,仁愛區,1表燈非營業用,"22,716 ",435 ,"9,881,413 "
200,仁愛區,2表燈營業用,"3,227 ","5,460 ","4,941,494 "
200,仁愛區,3表燈小計,**,"5,895 ","14,822,907 "
200,仁愛區,4低壓綜合裝置非營業用,*,0 ,0 
200,仁愛區,5低壓綜合需量非營業用,136 ,"3,765 ","515,425 "
200,仁愛區,6低壓綜合非營業用電小計,**,"3,765 ","515,425 "
200,仁愛區,7低壓綜合裝置營業用,*,106 ,"11,944 "
200,仁愛區,8低壓綜合需量營業用,323 ,"9,824 ","2,578,187 "
200,仁愛區,9低壓綜合營業用電小計,**,"9,930 ","2,590,131 "
200,仁愛區,10低壓綜合用電小計,**,"13,695 ","3,105,556 "
200,仁愛區,11低壓裝置電力,60 ,533 ,"82,565 "
200,仁愛區,12低壓需量電力,14 ,468 ,"132,825 "
200,仁愛區,13低壓電力小計,**,"1,001 ","215,390 "
200,仁愛區,14高壓電力,24 ,"7,360 ","2,198,677 "
200,仁愛區,15特高壓電力,*,0 ,0 
200,仁愛區,16高＆特高壓電力小計,**,"7,360 ","2,198,677 "
200,仁愛區,17電力小計,**,"8,361 ","2,414,067 "
200,仁愛區,18綜合＆電力小計,**,"22,056 ","5,519,623 "
200,仁愛區,19電燈＆綜合＆電力小計,**,"27,951 ","20,342,530 "
200,仁愛區,20臨時電燈,9 ,0 ,"15,800 "
200,仁愛區,21臨時電力,*,0 ,0 
200,仁愛區,22臨時用電小計,**,0 ,"15,800 "
200,仁愛區,23總計（含臨時用電）,**,"27,951 ","20,358,330 "
200,仁愛區,24表燈合計,**,"5,895 ","14,838,707 "
200,仁愛區,25綜合＆電力合計,**,"22,056 ","5,519,623 "
201,信義區,1表燈非營業用,"24,997 ",261 ,"884,366 "
201,信義區,2表燈營業用,"1,166 ","1,798 ","776,297 "
201,信義區,3表燈小計,**,"2,059 ","1,660,663 "
201,信義區,4低壓綜合裝置非營業用,*,0 ,0 
201,信義區,5低壓綜合需量非營業用,124 ,"4,664 ","736,898 "
201,信義區,6低壓綜合非營業用電小計,**,"4,664 ","736,898 "
201,信義區,7低壓綜合裝置營業用,*,68 ,"17,840 "
201,信義區,8低壓綜合需量營業用,48 ,"3,065 ","765,753 "
201,信義區,9低壓綜合營業用電小計,**,"3,133 ","783,593 "
201,信義區,10低壓綜合用電小計,**,"7,797 ","1,520,491 "
201,信義區,11低壓裝置電力,*,103 ,"48,447 "
201,信義區,12低壓需量電力,21 ,911 ,"158,234 "
201,信義區,13低壓電力小計,**,"1,014 ","206,681 "
201,信義區,14高壓電力,33 ,"12,730 ","3,884,491 "
201,信義區,15特高壓電力,*,0 ,"106,400 "
201,信義區,16高＆特高壓電力小計,**,"12,730 ","3,990,891 "
201,信義區,17電力小計,**,"13,744 ","4,197,572 "
201,信義區,18綜合＆電力小計,**,"21,541 ","5,718,063 "
201,信義區,19電燈＆綜合＆電力小計,**,"23,600 ","7,378,726 "
201,信義區,20臨時電燈,10 ,0 ,28 
201,信義區,21臨時電力,*,356 ,"128,976 "
201,信義區,22臨時用電小計,**,356 ,"129,004 "
201,信義區,23總計（含臨時用電）,**,"23,600 ","7,507,730 "
201,信義區,24表燈合計,**,"2,059 ","1,660,691 "
201,信義區,25綜合＆電力合計,**,"21,541 ","5,847,039 "
202,中正區,1表燈非營業用,"31,052 ",224 ,"111,720 "
202,中正區,2表燈營業用,"2,083 ","3,203 ","1,067,581 "
202,中正區,3表燈小計,**,"3,427 ","1,179,301 "
202,中正區,4低壓綜合裝置非營業用,*,43 ,"7,880 "
202,中正區,5低壓綜合需量非營業用,208 ,"8,825 ","1,393,160 "
202,中正區,6低壓綜合非營業用電小計,**,"8,868 ","1,401,040 "
202,中正區,7低壓綜合裝置營業用,*,0 ,0 
202,中正區,8低壓綜合需量營業用,121 ,"4,228 ","1,148,326 "
202,中正區,9低壓綜合營業用電小計,**,"4,228 ","1,148,326 "
202,中正區,10低壓綜合用電小計,**,"13,096 ","2,549,366 "
202,中正區,11低壓裝置電力,40 ,436 ,"58,258 "
202,中正區,12低壓需量電力,35 ,"1,329 ","328,354 "
202,中正區,13低壓電力小計,**,"1,765 ","386,612 "
202,中正區,14高壓電力,40 ,"21,864 ","7,029,022 "
202,中正區,15特高壓電力,*,"7,000 ","1,969,200 "
202,中正區,16高＆特高壓電力小計,**,"28,864 ","8,998,222 "
202,中正區,17電力小計,**,"30,629 ","9,384,834 "
202,中正區,18綜合＆電力小計,**,"43,725 ","11,934,200 "
202,中正區,19電燈＆綜合＆電力小計,**,"47,152 ","13,113,501 "
202,中正區,20臨時電燈,8 ,0 ,0 
202,中正區,21臨時電力,7 ,488 ,"50,000 "
202,中正區,22臨時用電小計,**,488 ,"50,000 "
202,中正區,23總計（含臨時用電）,**,"47,152 ","13,163,501 "
202,中正區,24表燈合計,**,"3,427 ","1,179,301 "
202,中正區,25綜合＆電力合計,**,"43,725 ","11,984,200 "
203,中山區,1表燈非營業用,"21,900 ",88 ,"15,416,482 "
203,中山區,2表燈營業用,"1,077 ","1,312 ","2,300,215 "
203,中山區,3表燈小計,**,"1,400 ","17,716,697 "
203,中山區,4低壓綜合裝置非營業用,*,0 ,0 
203,中山區,5低壓綜合需量非營業用,71 ,"2,264 ","307,297 "
203,中山區,6低壓綜合非營業用電小計,**,"2,264 ","307,297 "
203,中山區,7低壓綜合裝置營業用,*,0 ,0 
203,中山區,8低壓綜合需量營業用,37 ,"1,271 ","373,200 "
203,中山區,9低壓綜合營業用電小計,**,"1,271 ","373,200 "
203,中山區,10低壓綜合用電小計,**,"3,535 ","680,497 "
203,中山區,11低壓裝置電力,16 ,216 ,"64,975 "
203,中山區,12低壓需量電力,14 ,402 ,"97,292 "
203,中山區,13低壓電力小計,**,618 ,"162,267 "
203,中山區,14高壓電力,30 ,"15,618 ","3,318,508 "
203,中山區,15特高壓電力,*,0 ,0 
203,中山區,16高＆特高壓電力小計,**,"15,618 ","3,318,508 "
203,中山區,17電力小計,**,"16,236 ","3,480,775 "
203,中山區,18綜合＆電力小計,**,"19,771 ","4,161,272 "
203,中山區,19電燈＆綜合＆電力小計,**,"21,171 ","21,877,969 "
203,中山區,20臨時電燈,6 ,0 ,"30,923 "
203,中山區,21臨時電力,*,75 ,"6,920 "
203,中山區,22臨時用電小計,**,75 ,"37,843 "
203,中山區,23總計（含臨時用電）,**,"21,171 ","21,915,812 "
203,中山區,24表燈合計,**,"1,400 ","17,747,620 "
203,中山區,25綜合＆電力合計,**,"19,771 ","4,168,192 "
204,安樂區,1表燈非營業用,"40,118 ",131 ,"28,732,759 "
204,安樂區,2表燈營業用,"1,342 ","2,711 ","3,617,251 "
204,安樂區,3表燈小計,**,"2,842 ","32,350,010 "
204,安樂區,4低壓綜合裝置非營業用,*,0 ,0 
204,安樂區,5低壓綜合需量非營業用,273 ,"9,246 ","1,243,248 "
204,安樂區,6低壓綜合非營業用電小計,**,"9,246 ","1,243,248 "
204,安樂區,7低壓綜合裝置營業用,*,0 ,0 
204,安樂區,8低壓綜合需量營業用,82 ,"3,983 ","1,261,789 "
204,安樂區,9低壓綜合營業用電小計,**,"3,983 ","1,261,789 "
204,安樂區,10低壓綜合用電小計,**,"13,229 ","2,505,037 "
204,安樂區,11低壓裝置電力,8 ,60 ,"18,335 "
204,安樂區,12低壓需量電力,57 ,"3,182 ","573,685 "
204,安樂區,13低壓電力小計,**,"3,242 ","592,020 "
204,安樂區,14高壓電力,52 ,"25,477 ","9,691,471 "
204,安樂區,15特高壓電力,*,0 ,0 
204,安樂區,16高＆特高壓電力小計,**,"25,477 ","9,691,471 "
204,安樂區,17電力小計,**,"28,719 ","10,283,491 "
204,安樂區,18綜合＆電力小計,**,"41,948 ","12,788,528 "
