1810449532.0,21.7,28.5,14.7,70.0,0.0
1700067238.0,21.1,29.8,13.8,67.0,0.0
1927972425.0,23.5,33.0,17.5,69.0,3.5
1905370107.0,25.6,32.7,16.6,71.0,113.5
2025790610.0,28.2,33.5,22.8,74.0,129.0
2001097322.0,29.7,34.3,24.9,77.0,256.0
2047196608.0,30.4,35.6,24.3,71.0,285.0
2071526742.0,30.1,34.7,24.9,75.0,211.0
1999631336.0,30.2,35.1,25.3,74.0,32.5
2047263621.0,28.0,34.5,21.3,73.0,82.5
1960544809.0,25.5,32.1,19.6,74.0,11.0
1948424141.0,21.4,29.4,15.5,69.0,0.5
1901625651.0,20.4,29.3,10.4,72.0,23.5
1763103475.0,19.3,27.7,7.0,76.0,179.5
1566376429.0,19.6,29.2,10.1,70.0,24.5
1841166357.0,21.6,29.7,12.8,74.0,79.0
1882540847.0,26.9,33.0,21.8,77.0,182.5
2016116697.0,28.9,33.6,24.8,76.0,97.5
1923115909.0,29.7,34.8,24.6,79.0,383.0
1978830996.0,30.2,35.1,25.4,77.0,315.0
1981207759.0,29.4,34.2,24.8,79.0,427.0
1823160682.0,28.4,33.9,23.4,81.0,1098.0
2007562566.0,28.4,33.0,24.0,79.0,259.5
1947443748.0,25.7,31.9,19.7,72.0,57.0
1945829209.0,22.9,30.0,16.2,71.0,1.0
1828188575.0,26.2,31.8,18.5,70.0,7.0
1954517837.0,28.3,33.6,24.7,77.0,300.5
1872992092.0,30.6,34.7,25.9,75.0,10.0
1997895534.0,29.5,34.7,25.0,78.0,200.0
1900885991.0,28.8,34.1,23.8,80.0,548.0
1774982586.0,28.8,33.5,24.5,76.0,140.5
1820539793.0,27.7,32.5,23.8,76.0,25.5
1820539793.0,26.2,32.9,17.4,74.0,41.0
1831124189.0,22.4,29.7,13.9,71.0,27.5
